T, °C;плотность, кг/м³;плотность, г/см³;pdens точки;оценочных фаз, % молей;покрытие по массе, %;прямая модель, % молей;оценочные фазы;фазы без данных;равновесные фазы;качество;предупреждений;время, с
25,0;8480,6;8,4806;100;82,281;100,0;12,415;DELTA, GAMMA_PRIME, M23C6_WY, MNS_Q, NI2CR;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR;с оценкой по правилу смеси для 82.28 % мольной доли фаз;2;23,4
50,0;8471,5;8,4715;100;81,741;100,0;12,83;DELTA, GAMMA_PRIME, M23C6_WY, MNS_Q, NI2CR;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR;с оценкой по правилу смеси для 81.74 % мольной доли фаз;2;5,1
100,0;8452,9;8,4529;100;81,881;100,0;12,436;DELTA, GAMMA_PRIME, M23C6_WY, MNS_Q, NI2CR;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR;с оценкой по правилу смеси для 81.88 % мольной доли фаз;2;5,2
150,0;8434,0;8,434;100;82,322;100,0;11,978;DELTA, GAMMA_PRIME, MNS_Q, NI2CR;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + NI2CR;с оценкой по правилу смеси для 82.32 % мольной доли фаз;2;6,4
200,0;8414,2;8,4142;100;83,8;100,0;10,761;DELTA, GAMMA_PRIME, MNS_Q, NI2CR;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + NI2CR;с оценкой по правилу смеси для 83.80 % мольной доли фаз;2;4,7
250,0;8394,0;8,394;100;85,096;100,0;9,868;DELTA, GAMMA_PRIME, MNS_Q, NI2CR;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + NI2CR;с оценкой по правилу смеси для 85.10 % мольной доли фаз;2;5,2
300,0;8373,1;8,3731;100;85,879;100,0;9,461;DELTA, GAMMA_PRIME, MNS_Q, NI2CR;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + NI2CR;с оценкой по правилу смеси для 85.88 % мольной доли фаз;2;4,9
350,0;8352,0;8,352;200;86,148;100,0;9,407;DELTA, GAMMA_PRIME, M23C6_WY, MNS_Q, MU_PHASE, NI2CR;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + MU_PHASE + NI2CR;с оценкой по правилу смеси для 86.15 % мольной доли фаз;2;12,0
400,0;8329,8;8,3298;100;84,461;100,0;11,247;DELTA, GAMMA_PRIME, M23C6_WY, MNS_Q, NI2CR, P_PHASE;нет;DELTA + FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + P_PHASE;с оценкой по правилу смеси для 84.46 % мольной доли фаз;2;5,8
450,0;8306,6;8,3066;100;78,985;100,0;17,051;GAMMA_PRIME, MNS_Q, NI2CR, P_PHASE;нет;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + NI2CR + P_PHASE;с оценкой по правилу смеси для 78.99 % мольной доли фаз;2;5,2
500,0;8283,1;8,2831;100;63,645;100,0;33,305;GAMMA_PRIME, MNS_Q, NI2CR, P_PHASE;нет;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + NI2CR + P_PHASE;с оценкой по правилу смеси для 63.64 % мольной доли фаз;2;5,0
550,0;8258,8;8,2588;100;29,515;100,0;68,783;GAMMA_PRIME, MNS_Q, P_PHASE;нет;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;с оценкой по правилу смеси для 29.52 % мольной доли фаз;2;3,8
600,0;8233,9;8,2339;100;27,428;100,0;71,329;GAMMA_PRIME, MNS_Q, P_PHASE;нет;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;с оценкой по правилу смеси для 27.43 % мольной доли фаз;2;5,2
650,0;8208,2;8,2082;100;25,064;100,0;74,253;GAMMA_PRIME, MNS_Q, P_PHASE;нет;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;с оценкой по правилу смеси для 25.06 % мольной доли фаз;2;4,9
700,0;8181,6;8,1816;100;22,381;100,0;77,619;MNS_Q, P_PHASE;нет;FCC_A1 + M23C6 + MNS_Q + P_PHASE;с оценкой по правилу смеси для 22.38 % мольной доли фаз;1;4,2
750,0;8154,3;8,1543;100;19,17;100,0;80,83;MNS_Q, P_PHASE;нет;FCC_A1 + M23C6 + MNS_Q + P_PHASE;с оценкой по правилу смеси для 19.17 % мольной доли фаз;1;4,3
800,0;8129,2;8,1292;100;15,413;100,0;84,587;MNS_Q, P_PHASE;нет;FCC_A1 + M6C + MNS_Q + P_PHASE;с оценкой по правилу смеси для 15.41 % мольной доли фаз;1;4,4
850,0;8099,9;8,0999;100;11,245;100,0;88,755;MNS_Q, P_PHASE;нет;FCC_A1 + M6C + MNS_Q + P_PHASE;с оценкой по правилу смеси для 11.24 % мольной доли фаз;1;4,9
