T, °C;источник;текст
25,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, NI2CR оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 82.28 %."
25,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
25,0;качество результата;с оценкой по правилу смеси для 82.28 % мольной доли фаз
50,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, NI2CR оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 81.74 %."
50,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
50,0;качество результата;с оценкой по правилу смеси для 81.74 % мольной доли фаз
100,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, NI2CR оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 81.88 %."
100,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
100,0;качество результата;с оценкой по правилу смеси для 81.88 % мольной доли фаз
150,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, NI2CR оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 82.32 %."
150,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
150,0;качество результата;с оценкой по правилу смеси для 82.32 % мольной доли фаз
200,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, NI2CR оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 83.80 %."
200,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
200,0;качество результата;с оценкой по правилу смеси для 83.80 % мольной доли фаз
250,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, NI2CR оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 85.10 %."
250,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
250,0;качество результата;с оценкой по правилу смеси для 85.10 % мольной доли фаз
300,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, NI2CR оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 85.88 %."
300,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
300,0;качество результата;с оценкой по правилу смеси для 85.88 % мольной доли фаз
350,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, MU_PHASE, NI2CR оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 86.15 %."
350,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
350,0;качество результата;с оценкой по правилу смеси для 86.15 % мольной доли фаз
400,0;предупреждение расчёта;"Плотность фаз DELTA, MNS_Q, NI2CR, P_PHASE оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 84.46 %."
400,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
400,0;качество результата;с оценкой по правилу смеси для 84.46 % мольной доли фаз
450,0;предупреждение расчёта;"Плотность фаз MNS_Q, NI2CR, P_PHASE оценена по правилу смеси; погрешность до 10 %. Суммарная мольная доля таких фаз 78.99 %."
450,0;предупреждение расчёта;"Для упорядоченных или структурно родственных фаз использованы плотности связанных базовых моделей; такие значения являются оценочными."
