T, °C;фаза;статус данных;мольная доля, %;массовая доля, %;плотность фазы, кг/м³;модель плотности;примечание;диагностика
25,0;NI2CR;оценка по правилу смеси;80,60333729447066;80,91502962306781;8477,444517261314;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
25,0;FCC_A1;прямая модель;12,415220967534673;12,076200420146451;8679,867847212143;FCC_A1;Прямая DP-модель из physical_data.pdb.;
25,0;GAMMA_PRIME;оценка по связанной фазе;5,183998797210657;5,034150090620076;7962,808189210315;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
25,0;DELTA;оценка по правилу смеси;1,6031857500161086;1,8219567805074623;9287,782136172857;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
25,0;M23C6_WY;оценка по связанной фазе;0,1199133022592933;0,0983975063368827;7000,591204392871;M23C6;Использована общая модель карбида M23C6.;
25,0;MNS_Q;оценка по правилу смеси;0,07434386097584961;0,054265579321305636;4121,299067597288;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
50,0;NI2CR;оценка по правилу смеси;78,88951631402901;79,12303860327746;8466,783349040785;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
50,0;FCC_A1;прямая модель;12,83047682882375;12,407491348178691;8589,639048089244;FCC_A1;Прямая DP-модель из physical_data.pdb.;
50,0;GAMMA_PRIME;оценка по связанной фазе;5,308197339872538;5,162376950266062;7974,909993880198;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
50,0;DELTA;оценка по правилу смеси;2,7775523297216522;3,154629021609937;9275,921626917423;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
50,0;M23C6_WY;оценка по связанной фазе;0,11991331144229952;0,09819850004980309;6991,683036879645;M23C6;Использована общая модель карбида M23C6.;
50,0;MNS_Q;оценка по правилу смеси;0,07434385727828832;0,05426557661802709;4102,538018587025;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
100,0;NI2CR;оценка по правилу смеси;79,52761312488667;79,83870515532094;8458,143216177614;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
100,0;FCC_A1;прямая модель;12,435550318111341;12,004426114915617;8539,614941821708;FCC_A1;Прямая DP-модель из physical_data.pdb.;
100,0;GAMMA_PRIME;оценка по связанной фазе;5,563364043721765;5,418845765203256;7989,695599470643;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
100,0;DELTA;оценка по правилу смеси;2,279215299717104;2,58601297175134;9249,132791428738;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
100,0;M23C6_WY;оценка по связанной фазе;0,11991333718926335;0,0977444041353365;6973,549538321041;M23C6;Использована общая модель карбида M23C6.;
100,0;MNS_Q;оценка по правилу смеси;0,07434387379655527;0,054265588673518036;4064,97876617296;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
150,0;NI2CR;оценка по правилу смеси;81,61971813320305;82,17273504782548;8462,052896559546;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
150,0;FCC_A1;прямая модель;11,8583879926543;11,430706725275044;8488,288659385407;FCC_A1;Прямая DP-модель из physical_data.pdb.;
150,0;GAMMA_PRIME;оценка по связанной фазе;5,700051370600623;5,531895891507219;7965,633337887618;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
150,0;DELTA;оценка по правилу смеси;0,6275853596239453;0,7105281183920941;9163,176188449333;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
150,0;M23C6;прямая модель;0,11991328120397676;0,0998686400651085;7154,464972189869;M23C6;Прямая DP-модель из physical_data.pdb.;
150,0;MNS_Q;оценка по правилу смеси;0,07434385772107696;0,054265576935055536;4027,369890449166;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
200,0;NI2CR;оценка по правилу смеси;83,51144657959652;84,16954905590518;8457,297863629123;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
200,0;FCC_A1;прямая модель;10,640993750794154;10,233434357421064;8420,314146271468;FCC_A1;Прямая DP-модель из physical_data.pdb.;
200,0;GAMMA_PRIME;оценка по связанной фазе;5,438657750027548;5,201028804384937;7850,162248071935;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
200,0;DELTA;оценка по правилу смеси;0,21464470512546624;0,24211781940775487;9004,65962431761;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
200,0;M23C6;прямая модель;0,1199133048908638;0,09960437052199148;7138,306734057591;M23C6;Прямая DP-модель из physical_data.pdb.;
200,0;MNS_Q;оценка по правилу смеси;0,07434387883084918;0,054265592359073626;3989,711277237806;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
250,0;NI2CR;оценка по правилу смеси;84,86591785405395;85,5863440906559;8447,318887208141;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
250,0;FCC_A1;прямая модель;9,74804945585904;9,352069235879528;8351,464581778517;FCC_A1;Прямая DP-модель из physical_data.pdb.;
250,0;GAMMA_PRIME;оценка по связанной фазе;5,035644639309207;4,732384988178386;7703,802402843681;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
250,0;DELTA;оценка по правилу смеси;0,15613086229324824;0,17563879179630731;8898,971521775182;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
250,0;M23C6;прямая модель;0,11991335010233528;0,09929731006246666;7121,6987345431935;M23C6;Прямая DP-модель из physical_data.pdb.;
250,0;MNS_Q;оценка по правилу смеси;0,07434386664205105;0,0542655834274158;3952,00279678386;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
300,0;NI2CR;оценка по правилу смеси;85,6661369270131;86,43177302654777;8434,128679154175;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
300,0;FCC_A1;прямая модель;9,340873801226424;8,942998362226007;8284,898281320842;FCC_A1;Прямая DP-модель из physical_data.pdb.;
300,0;GAMMA_PRIME;оценка по связанной фазе;4,660548185319464;4,316820821145511;7569,205750094284;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
300,0;DELTA;оценка по правилу смеси;0,13818392343537073;0,1551523163814082;8829,640073004884;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
300,0;M23C6;прямая модель;0,11991326310343141;0,0989898876096839;7104,579034310879;M23C6;Прямая DP-модель из physical_data.pdb.;
300,0;MNS_Q;оценка по правилу смеси;0,0743438702560059;0,054265586089629066;3914,244303238688;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
350,0;NI2CR;оценка по правилу смеси;85,909767860816;86,70466227284632;8418,719754199929;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
350,0;FCC_A1;прямая модель;9,407393317634762;8,996027588592336;8224,537524519541;FCC_A1;Прямая DP-модель из physical_data.pdb.;
350,0;GAMMA_PRIME;оценка по связанной фазе;4,324814122386138;3,965019074626616;7454,742077405166;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
350,0;DELTA;оценка по правилу смеси;0,12627934284963338;0,14162646830359762;8780,740895704517;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
350,0;M23C6_WY;оценка по связанной фазе;0,11991329837372383;0,09121123544513456;6865,640988868421;M23C6;Использована общая модель карбида M23C6.;
350,0;MNS_Q;оценка по правилу смеси;0,07434380062421247;0,05426553524450561;3876,4356341333896;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
350,0;MU_PHASE;оценка по правилу смеси;0,03748824675494137;0,04718782494149402;9350,174174028747;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
