T, °C;Доля твёрдого;Доля жидкого;x(LIQUID,AL);x(LIQUID,C);x(LIQUID,CR);x(LIQUID,FE);x(LIQUID,MN);x(LIQUID,MO);x(LIQUID,NB);x(LIQUID,NI);x(LIQUID,S);x(LIQUID,SI);x(LIQUID,TI);накоплено ALPHA_MN;накоплено BETA_MN;накоплено BETA_RHOMBO_B;накоплено CEMENTITE;накоплено CHI_A12;накоплено CR3MN5;накоплено CU2S;накоплено DELTA;накоплено DIAMOND_A4;накоплено DIGENITE;накоплено DISULF;накоплено D_NIMO;накоплено ETA;накоплено FCC_A1;накоплено FC_MONO;накоплено FC_ORTHO;накоплено FES_P;накоплено GAMMA_DP;накоплено GAMMA_PRIME;накоплено GRAPHITE;накоплено G_PHASE;накоплено HCP_A3;накоплено KSI_CARBIDE;накоплено LAVES;накоплено LAV_C14;накоплено M23C6;накоплено M23C6_WY;накоплено M3C2;накоплено M6C;накоплено M6C_WY;накоплено M7C3;накоплено MNS_Q;накоплено MOB2;накоплено MU_PHASE;накоплено NBB;накоплено NI2CR;накоплено NIAL;накоплено NITI2;накоплено PYRR;накоплено P_PHASE;накоплено R_PHASE;накоплено SIGMA;накоплено TI4C2S2;накоплено TIB;накоплено TIB2;накоплено TIS;накоплено ZET;прирост ALPHA_MN;прирост BETA_MN;прирост BETA_RHOMBO_B;прирост CEMENTITE;прирост CHI_A12;прирост CR3MN5;прирост CU2S;прирост DELTA;прирост DIAMOND_A4;прирост DIGENITE;прирост DISULF;прирост D_NIMO;прирост ETA;прирост FCC_A1;прирост FC_MONO;прирост FC_ORTHO;прирост FES_P;прирост GAMMA_DP;прирост GAMMA_PRIME;прирост GRAPHITE;прирост G_PHASE;прирост HCP_A3;прирост KSI_CARBIDE;прирост LAVES;прирост LAV_C14;прирост M23C6;прирост M23C6_WY;прирост M3C2;прирост M6C;прирост M6C_WY;прирост M7C3;прирост MNS_Q;прирост MOB2;прирост MU_PHASE;прирост NBB;прирост NI2CR;прирост NIAL;прирост NITI2;прирост PYRR;прирост P_PHASE;прирост R_PHASE;прирост SIGMA;прирост TI4C2S2;прирост TIB;прирост TIB2;прирост TIS;прирост ZET;x(ALPHA_MN,CR);x(ALPHA_MN,MO);x(ALPHA_MN,NI);x(BETA_MN,CR);x(BETA_MN,MO);x(BETA_MN,NI);x(BETA_RHOMBO_B,CR);x(BETA_RHOMBO_B,MO);x(BETA_RHOMBO_B,NI);x(CEMENTITE,CR);x(CEMENTITE,MO);x(CEMENTITE,NI);x(CHI_A12,CR);x(CHI_A12,MO);x(CHI_A12,NI);x(CR3MN5,CR);x(CR3MN5,MO);x(CR3MN5,NI);x(CU2S,CR);x(CU2S,MO);x(CU2S,NI);x(DELTA,CR);x(DELTA,MO);x(DELTA,NI);x(DIAMOND_A4,CR);x(DIAMOND_A4,MO);x(DIAMOND_A4,NI);x(DIGENITE,CR);x(DIGENITE,MO);x(DIGENITE,NI);x(DISULF,CR);x(DISULF,MO);x(DISULF,NI);x(D_NIMO,CR);x(D_NIMO,MO);x(D_NIMO,NI);x(ETA,CR);x(ETA,MO);x(ETA,NI);x(FCC_A1,CR);x(FCC_A1,MO);x(FCC_A1,NI);x(FC_MONO,CR);x(FC_MONO,MO);x(FC_MONO,NI);x(FC_ORTHO,CR);x(FC_ORTHO,MO);x(FC_ORTHO,NI);x(FES_P,CR);x(FES_P,MO);x(FES_P,NI);x(GAMMA_DP,CR);x(GAMMA_DP,MO);x(GAMMA_DP,NI);x(GAMMA_PRIME,CR);x(GAMMA_PRIME,MO);x(GAMMA_PRIME,NI);x(GRAPHITE,CR);x(GRAPHITE,MO);x(GRAPHITE,NI);x(G_PHASE,CR);x(G_PHASE,MO);x(G_PHASE,NI);x(HCP_A3,CR);x(HCP_A3,MO);x(HCP_A3,NI);x(KSI_CARBIDE,CR);x(KSI_CARBIDE,MO);x(KSI_CARBIDE,NI);x(LAVES,CR);x(LAVES,MO);x(LAVES,NI);x(LAV_C14,CR);x(LAV_C14,MO);x(LAV_C14,NI);x(M23C6,CR);x(M23C6,MO);x(M23C6,NI);x(M23C6_WY,CR);x(M23C6_WY,MO);x(M23C6_WY,NI);x(M3C2,CR);x(M3C2,MO);x(M3C2,NI);x(M6C,CR);x(M6C,MO);x(M6C,NI);x(M6C_WY,CR);x(M6C_WY,MO);x(M6C_WY,NI);x(M7C3,CR);x(M7C3,MO);x(M7C3,NI);x(MNS_Q,CR);x(MNS_Q,MO);x(MNS_Q,NI);x(MOB2,CR);x(MOB2,MO);x(MOB2,NI);x(MU_PHASE,CR);x(MU_PHASE,MO);x(MU_PHASE,NI);x(NBB,CR);x(NBB,MO);x(NBB,NI);x(NI2CR,CR);x(NI2CR,MO);x(NI2CR,NI);x(NIAL,CR);x(NIAL,MO);x(NIAL,NI);x(NITI2,CR);x(NITI2,MO);x(NITI2,NI);x(PYRR,CR);x(PYRR,MO);x(PYRR,NI);x(P_PHASE,CR);x(P_PHASE,MO);x(P_PHASE,NI);x(R_PHASE,CR);x(R_PHASE,MO);x(R_PHASE,NI);x(SIGMA,CR);x(SIGMA,MO);x(SIGMA,NI);x(TI4C2S2,CR);x(TI4C2S2,MO);x(TI4C2S2,NI);x(TIB,CR);x(TIB,MO);x(TIB,NI);x(TIB2,CR);x(TIB2,MO);x(TIB2,NI);x(TIS,CR);x(TIS,MO);x(TIS,NI);x(ZET,CR);x(ZET,MO);x(ZET,NI)
1476,85;0,0;1,0;;;;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1476,85;0,0;1,0;0,005522086015727746;0,0002480965537138933;0,2693567228917502;0,005335806210460383;0,005424092057123056;0,08075576407463274;0,0003848890101428896;0,6292340806972433;0,00037171929075513797;0,0021220114965603003;0,0012447317018903503;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1471,85;0,0;1,0;0,005522086015822922;0,00024809655055944515;0,2693567228917599;0,0053358062104685655;0,005424092057207828;0,0807557640749113;0,00038488901015438614;0,6292340806998055;0,0003717192907624046;0,0021220114966161233;0,0012447317019315405;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1466,85;0,0;1,0;0,005522086015828462;0,0002480965504598657;0,26935672289176027;0,005335806210468922;0,005424092057210562;0,0807557640749153;0,0003848890101547795;0,629234080699889;0,0003717192907626397;0,0021220114966176264;0,0012447317019328677;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1461,85;0,0;1,0;0,0055220860157825504;0,00024809655164169966;0,26935672289175905;0,005335806210466119;0,005424092057178734;0,08075576407480499;0,0003848890101504614;0,6292340806989422;0,00037171929075992174;0,002122011496596791;0,0012447317019173725;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1456,85;0,0;1,0;0,005522086015626542;0,0002480965558231146;0,26935672289175183;0,005335806210455591;0,005424092057066166;0,08075576407442077;0,00038488901013517283;0,6292340806955857;0,0003717192907502436;0,002122011496522725;0,0012447317018621342;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1451,85;0,0;1,0;0,005522086015615922;0,0002480965562154601;0,26935672289175044;0,005335806210454821;0,005424092057055514;0,0807557640743802;0,0003848890101337602;0,629234080695272;0,00037171929074935917;0,002122011496515627;0,0012447317018570185;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1446,85;0,0;1,0;0,00552208601564549;0,0002480965553502623;0,26935672289174334;0,005335806210456945;0,005424092057078922;0,08075576407445219;0,00038488901013697055;0,6292340806959849;0,0003717192907513951;0,0021220114965308412;0,0012447317018686541;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1441,85;0,0;1,0;0,005522086015458771;0,0002480965604356628;0,2693567228917361;0,005335806210444776;0,0054240920569417275;0,08075576407397252;0,0003848890101182355;0,629234080691912;0,00037171929073949006;0,00212201149643995;0,0012447317018005704;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1436,85;0,0;1,0;0,005522086015678704;0,0002480965546075166;0,2693567228917468;0,005335806210459021;0,005424092057099246;0,08075576407451625;0,00038488901013976915;0,6292340806965758;0,00037171929075319426;0,002122011496544614;0,0012447317018789608;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
