T, K;T, °C;элемент;ρ из функции базы, кг/м³;ρ через код приложения, кг/м³;разность, кг/м³;покрытие эндмемберов;предупреждения
298,15;25,0;NI;8909,4523;8909,4523;0,0;1,0;нет
298,15;25,0;CR;7181,9137;7181,9137;0,0;1,0;нет
298,15;25,0;MO;10223,6814;10223,6814;0,0;1,0;нет
500,0;226,85;NI;8830,0528;8830,0528;0,0;1,0;нет
500,0;226,85;CR;7100,4521;7100,4521;0,0;1,0;нет
500,0;226,85;MO;10190,1881;10190,1881;0,0;1,0;нет
800,0;526,85;NI;8702,5997;8702,5997;0,0;1,0;нет
800,0;526,85;CR;6941,9475;6941,9475;0,0;1,0;нет
800,0;526,85;MO;10139,2082;10139,2082;0,0;1,0;нет
1100,0;826,85;NI;8563,854;8563,854;0,0;1,0;нет
1100,0;826,85;CR;6728,0404;6728,0404;0,0;1,0;нет
1100,0;826,85;MO;10084,6136;10084,6136;0,0;1,0;нет
1400,0;1126,85;NI;8413,8158;8413,8158;0,0;1,0;нет
1400,0;1126,85;CR;6446,7778;6446,7778;0,0;1,0;нет
1400,0;1126,85;MO;10023,9581;10023,9581;0,0;1,0;нет
