T, °C;ячейка (полуволна), мкм;состояние;D(Mo) при среднем составе, м²/с;τ = L²/π²D, с;аналитически до 5 %, с;аналитически до 5 %, удобно;вилка по профилю, удобно;численно до 5 %, с;численно до 5 %, удобно;численно / аналитически;остаток на последнем прогоне;чем посчитано
1150,0;0,5;лазерная печать, ячеистая структура;1,1487750735219313e-14;2,2049830723543167;7,138184531345646;7 с;7 с … 7 с;5,776515570169042;6 с;0,8092415578222786;0,050429785815552644;численный прогон kawin
1150,0;1,0;лазерная печать, ячеистая структура;1,1487750735219313e-14;8,819932289417267;28,552738125382582;29 с;28 с … 29 с;23,106062280676166;23 с;0,8092415578222786;0,050429785815552644;численный прогон kawin
1150,0;5,0;мелкая дендритная структура, быстрая кристаллизация;1,1487750735219313e-14;220,49830723543164;713,8184531345645;0.20 ч;0.19 ч … 0.20 ч;577,651557017774;0.16 ч;0,8092415578234973;0,05042978581571133;численный прогон kawin
1150,0;25,0;литая заготовка, вторичные оси дендритов;1,1487750735219313e-14;5512,457680885792;17845,461328364116;4.96 ч;4.86 ч … 5.06 ч;14441,288925439132;4.01 ч;0,8092415578232046;0,050429785815566404;численный прогон kawin
1150,0;50,0;литая заготовка, вторичные оси дендритов;1,1487750735219313e-14;22049,830723543168;71381,84531345646;19.83 ч;19.43 ч … 20.24 ч;57765,15570175653;16.05 ч;0,8092415578232046;0,050429785815566404;численный прогон kawin
1150,0;100,0;литая заготовка, вторичные оси дендритов;1,1487750735219313e-14;88199,32289417267;285527,38125382585;3.30 сут;3.24 сут … 3.37 сут;231060,6228070261;2.67 сут;0,8092415578232046;0,050429785815566404;численный прогон kawin
1175,0;0,5;лазерная печать, ячеистая структура;1,694431575516852e-14;1,4949140630159674;4,839480435973587;5 с;5 с … 5 с;3,9454989745201945;4 с;0,8152732564413095;0,05026928507675713;численный прогон kawin
1175,0;1,0;лазерная печать, ячеистая структура;1,694431575516852e-14;5,97965625206387;19,357921743894348;19 с;19 с … 20 с;15,781995898080778;16 с;0,8152732564413095;0,05026928507675713;численный прогон kawin
1175,0;5,0;мелкая дендритная структура, быстрая кристаллизация;1,694431575516852e-14;149,4914063015967;483,94804359735855;484 с;474 с … 494 с;394,54989745285275;395 с;0,8152732564430316;0,05026928507682005;численный прогон kawin
1175,0;25,0;литая заготовка, вторичные оси дендритов;1,694431575516852e-14;3737,2851575399177;12098,701089933966;3.36 ч;3.29 ч … 3.43 ч;9863,747436322541;2.74 ч;0,8152732564431325;0,05026928507624427;численный прогон kawin
1175,0;50,0;литая заготовка, вторичные оси дендритов;1,694431575516852e-14;14949,14063015967;48394,80435973586;13.44 ч;13.18 ч … 13.71 ч;39454,989745290164;10.96 ч;0,8152732564431325;0,05026928507624427;численный прогон kawin
1175,0;100,0;литая заготовка, вторичные оси дендритов;1,694431575516852e-14;59796,56252063868;193579,21743894345;2.24 сут;2.20 сут … 2.29 сут;157819,95898116066;1.83 сут;0,8152732564431325;0,05026928507624427;численный прогон kawin
1200,0;0,5;лазерная печать, ячеистая структура;2,4665176112772956e-14;1,0269659456218945;3,324593516915218;3 с;3 с … 3 с;2,728640363912748;3 с;0,8207440548836071;0,050146687033292;численный прогон kawin
1200,0;1,0;лазерная печать, ячеистая структура;2,4665176112772956e-14;4,107863782487578;13,298374067660871;13 с;13 с … 14 с;10,914561455650992;11 с;0,8207440548836071;0,050146687033292;численный прогон kawin
1200,0;5,0;мелкая дендритная структура, быстрая кристаллизация;2,4665176112772956e-14;102,69659456218943;332,45935169152176;332 с;326 с … 339 с;272,8640363906829;273 с;0,8207440548818268;0,050146687033493106;численный прогон kawin
1200,0;25,0;литая заготовка, вторичные оси дендритов;2,4665176112772956e-14;2567,414864054736;8311,483792288045;2.31 ч;2.26 ч … 2.35 ч;6821,600909769575;1.89 ч;0,8207440548821278;0,05014668703344845;численный прогон kawin
1200,0;50,0;литая заготовка, вторичные оси дендритов;2,4665176112772956e-14;10269,659456218944;33245,93516915218;9.23 ч;9.06 ч … 9.42 ч;27286,4036390783;7.58 ч;0,8207440548821278;0,05014668703344845;численный прогон kawin
1200,0;100,0;литая заготовка, вторичные оси дендритов;2,4665176112772956e-14;41078,637824875776;132983,74067660872;36.94 ч;36.23 ч … 37.67 ч;109145,6145563132;30.32 ч;0,8207440548821278;0,05014668703344845;численный прогон kawin
