T, °C;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
500,0;NI;61,964999999999996;61,965000081238784;8,123878814103591e-08
500,0;CR;23,5;23,49999976919594;-2,3080405853193042e-07
500,0;MO;13,0;13,000000217853838;2,1785383808037295e-07
500,0;AL;0,25;0,24999999585653834;-4,143461657113434e-09
500,0;C;0,005;0,004999952909380701;-4,709061929893815e-08
500,0;FE;0,5;0,49999999769959885;-2,3004011473481967e-09
500,0;MN;0,5;0,4999999932135934;-6,786406603342954e-09
500,0;NB;0,06;0,05999999969394389;-3,0605611101020003e-10
500,0;S;0,02;0,019999997187086376;-2,8129136242505126e-09
500,0;SI;0,1;0,09999999953643532;-4,635646866368859e-10
500,0;TI;0,1;0,09999999561486653;-4,385133478557179e-09
525,0;NI;61,964999999999996;61,965000064331264;6,433126742422246e-08
525,0;CR;23,5;23,499999913832806;-8,616719426868258e-08
525,0;MO;13,0;13,00000005230448;5,230448074655669e-08
525,0;AL;0,25;0,24999999815433072;-1,845669284072926e-09
525,0;C;0,005;0,00499998419796588;-1,580203412045178e-08
525,0;FE;0,5;0,4999999992743125;-7,256875100836169e-10
525,0;MN;0,5;0,49999999365614994;-6,343850056378386e-09
525,0;NB;0,06;0,05999999991915618;-8,084381775130822e-11
525,0;S;0,02;0,019999996715154518;-3,2848454824263573e-09
525,0;SI;0,1;0,09999999991270665;-8,72933531015363e-11
525,0;TI;0,1;0,099999997701688;-2,298311999049396e-09
550,0;NI;61,964999999999996;61,964999932866355;-6,713364086863294e-08
550,0;CR;23,5;23,50000003724377;3,7243768957750945e-08
550,0;MO;13,0;13,000000018447347;1,844734676126336e-08
550,0;AL;0,25;0,2500000016752642;1,6752642051365285e-09
550,0;C;0,005;0,005000007154953236;7,154953235791184e-09
550,0;FE;0,5;0,49999999884723384;-1,152766160306129e-09
550,0;MN;0,5;0,5000000021472153;2,147215294456828e-09
550,0;NB;0,06;0,0599999998579393;-1,420606965396587e-10
550,0;S;0,02;0,020000001747712586;1,7477125857645603e-09
550,0;SI;0,1;0,0999999997853736;-2,1462639998581778e-10
550,0;TI;0,1;0,10000000022682791;2,2682790368211414e-10
575,0;NI;61,964999999999996;61,96499998868255;-1,1317446535485942e-08
575,0;CR;23,5;23,50000001428722;1,428722029572782e-08
575,0;MO;13,0;12,999999996985288;-3,014712035565026e-09
575,0;AL;0,25;0,250000001763053;1,763052981385016e-09
575,0;C;0,005;0,00500000283030411;2,8303041100033455e-09
575,0;FE;0,5;0,5000000000060829;6,082911951921233e-12
575,0;MN;0,5;0,49999999708324494;-2,916755059700904e-09
575,0;NB;0,06;0,0599999999906103;-9,389697352979454e-12
575,0;S;0,02;0,01999999813163433;-1,868365670509853e-09
575,0;SI;0,1;0,10000000000024092;2,4091839634365897e-13
575,0;TI;0,1;0,10000000023975743;2,3975742224902064e-10
580,0;NI;61,964999999999996;61,965000038666936;3,86669398722006e-08
580,0;CR;23,5;23,49999999547066;-4,5293404582480434e-09
580,0;MO;13,0;12,999999970449087;-2,9550912827858156e-08
580,0;AL;0,25;0,2499999985727328;-1,4272671933213132e-09
580,0;C;0,005;0,00500000069804772;6,980477203211155e-10
580,0;FE;0,5;0,5000000005336144;5,336143749090638e-10
580,0;MN;0,5;0,4999999972816234;-2,718376579391446e-09
580,0;NB;0,06;0,06000000007956894;7,956894171323725e-11
580,0;S;0,02;0,019999997996633267;-2,0033667329222293e-09
580,0;SI;0,1;0,10000000014217918;1,42179171214174e-10
580,0;TI;0,1;0,10000000010890313;1,0890312263089896e-10
595,0;NI;61,964999999999996;61,965000073085285;7,308528893190669e-08
595,0;CR;23,5;23,499999955559822;-4,444017775995235e-08
595,0;MO;13,0;12,999999978427882;-2,1572118313883948e-08
595,0;AL;0,25;0,25000000076377327;7,63773266854173e-10
595,0;C;0,005;0,004999993692307502;-6,307692498527806e-09
595,0;FE;0,5;0,5000000010596948;1,0596947763730213e-09
595,0;MN;0,5;0,49999999925343075;-7,465692508645816e-10
595,0;NB;0,06;0,06000000014601218;1,4601218151222284e-10
595,0;S;0,02;0,019999998934826985;-1,0651730157629213e-09
595,0;SI;0,1;0,10000000024088347;2,408834659517467e-10
595,0;TI;0,1;0,09999999883609847;-1,1639015307096656e-09
600,0;NI;61,964999999999996;61,9649999700649;-2,9935094403299445e-08
600,0;CR;23,5;23,500000000219565;2,1956481077722856e-10
600,0;MO;13,0;13,000000038183934;3,818393423671296e-08
