T, °C;точка ТЗ;FCC_A1 есть;мольная доля FCC_A1, %;массовая доля FCC_A1, %;CR в сплаве, масс. %;CR в FCC_A1, масс. %;CR, сдвиг, масс. %;CR, доля от исходного, %;MO в сплаве, масс. %;MO в FCC_A1, масс. %;MO, сдвиг, масс. %;MO, доля от исходного, %
500,0;нет;да;33,18527055615894;32,108363309762986;23,5;18,80608524139471;-4,693914758605288;80,02589464423282;13,0;3,533554318928497;-9,466445681071503;27,181187068680746
525,0;нет;да;57,88594622078654;56,07080700074175;23,5;20,417009814257437;-3,0829901857425632;86,88089282662739;13,0;3,8679971773276964;-9,132002822672304;29,753824440982278
550,0;нет;да;68,66377655641126;66,58088182927268;23,5;20,965105127047792;-2,534894872952208;89,21321330658634;13,0;4,2198559051165505;-8,78014409488345;32,46043003935808
575,0;нет;да;69,89623041214024;67,87333213491188;23,5;21,04861451206933;-2,4513854879306685;89,56857239178439;13,0;4,656035126789133;-8,343964873210867;35,81565482145487
580,0;да;да;70,15210844374981;68,14164931592602;23,5;21,06548326690337;-2,434516733096629;89,64035432724839;13,0;4,744683999142969;-8,255316000857032;36,49756922417668
595,0;да;да;70,94025139871913;68,96785645178821;23,5;21,116059412793327;-2,3839405872066735;89,8555719693333;13,0;5,013123420280399;-7,986876579719601;38,56248784831076
600,0;нет;да;71,21013935600608;69,25065655680454;23,5;21,1328420520897;-2,3671579479103;89,92698745570085;13,0;5,103374612519281;-7,896625387480719;39,25672778860986
625,0;нет;да;72,61816739400597;70,72460067799604;23,5;21,21532474103434;-2,2846752589656596;90,27797762142274;13,0;5,55965371591129;-7,44034628408871;42,76656704547146
650,0;нет;да;74,13433990078784;72,30829789520607;23,5;21,293791298935762;-2,206208701064238;90,61187786781176;13,0;6,022901702196857;-6,977098297803143;46,330013093821975
664,0;да;да;75,0364103002809;73,24856948821932;23,5;21,335220989272734;-2,1647790107272655;90,78817442243717;13,0;6,284740223196707;-6,715259776803293;48,34415556305159
675,0;нет;да;75,77437674196007;74,01663038151949;23,5;21,366243869149866;-2,1337561308501343;90,92018667723347;13,0;6,491485634667911;-6,508514365332089;49,93450488206085
700,0;да;да;77,50216252218527;75,82023366079082;23,5;21,447747559743387;-2,0522524402566127;91,26701089252506;13,0;6,97356574292102;-6,02643425707898;53,642813407084766
725,0;нет;да;79,05757942261641;77,49647867784041;23,5;21,62009294741613;-1,8799070525838708;92,0003955209197;13,0;7,514740340657604;-5,485259659342396;57,805694928135416
750,0;да;да;80,71636788152864;79,28380814790653;23,5;21,79809790253938;-1,7019020974606214;92,7578634150612;13,0;8,066597796509091;-4,933402203490909;62,05075228083917
775,0;нет;да;82,48647355831478;81,19071644372693;23,5;21,981762888615783;-1,5182371113842166;93,53941654730122;13,0;8,628603546580464;-4,3713964534195355;66,37387343523434
800,0;нет;да;84,43083818655504;83,2637029154948;23,5;22,217654158186157;-1,282345841813843;94,54320918377087;13,0;9,165099311317498;-3,8349006886825023;70,50076393321152
825,0;нет;да;86,44876908881845;85,4375482988337;23,5;22,40975872391992;-1,0902412760800786;95,36067542093583;13,0;9,747276738130545;-3,2527232618694555;74,97905183177342
850,0;нет;да;88,60947677579037;87,76489724148497;23,5;22,60743871112437;-0,8925612888756298;96,20186685584838;13,0;10,33886501717709;-2,66113498282291;79,52973090136223
875,0;нет;да;90,92723885864865;90,26108104521782;23,5;22,810813526779736;-0,6891864732202642;97,06729160331801;13,0;10,939755154125768;-2,060244845874232;84,15196272404438
900,0;нет;да;93,41874414680706;92,94401964560159;23,5;23,020048557091105;-0,47995144290889513;97,95765343443023;13,0;11,549935473544176;-1,450064526455824;88,84565748880135
