T, °C;точка ТЗ;фаза постановки;имена в mc_ni;тип;есть;найдено как;мольная доля, %;массовая доля, %;NI, масс. %;CR, масс. %;MO, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;SI, масс. %;TI, масс. %
500,0;нет;P;P_PHASE;ТКП;да;P_PHASE;19,7508566149027;21,285651503877155;38,445049647013114;29,546693193188247;32,008257159798646;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
500,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
500,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
500,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
500,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
500,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
500,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
500,0;нет;Ni2Cr;NI2CR;упорядочение;да;NI2CR;43,819307643733836;43,67757206428769;63,46395714633005;25,110123499987026;11,425919290514006;0,0;0,0;6,316892138454411e-08;0,0;0,0;0,0;0,0;0,0
525,0;нет;P;P_PHASE;ТКП;да;P_PHASE;27,651741060290192;29,79756555780767;38,362602775111476;29,62599208894801;32,011405135940514;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
525,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
525,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
525,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
525,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
525,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
525,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
525,0;нет;Ni2Cr;NI2CR;упорядочение;да;NI2CR;12,158244953484077;12,063370960346049;64,14376572752968;25,479517748870165;10,376716493892289;0,0;0,0;2,9707864966538152e-08;0,0;0,0;0,0;0,0;0,0
550,0;нет;P;P_PHASE;ТКП;да;P_PHASE;29,440771894209444;31,723176160408755;38,303081381363505;29,68324084429105;32,01367777434544;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
550,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
550,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
550,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
550,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
550,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
550,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
550,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
575,0;нет;P;P_PHASE;ТКП;да;P_PHASE;28,431015195709254;30,633828158624958;38,267234948395625;29,717718593242783;32,0150464583616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
575,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
575,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
575,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
575,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
575,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
575,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
575,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
580,0;да;P;P_PHASE;ТКП;да;P_PHASE;28,221016672713027;30,40729335789976;38,259905567779136;29,724768124366086;32,015326307854764;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
580,0;да;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
580,0;да;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
580,0;да;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
580,0;да;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
580,0;да;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
