B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;NI;61,964999;61,96499897562419;-2,437580803871242e-08
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;CR;23,5;23,50000000874921;8,749211133363133e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;MO;13,0;13,000000025135398;2,51353977631652e-08
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;B;1e-06;9,99489293059795e-07;-5,107069402049991e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;SI;0,1;0,09999999975939286;-2,406071453187053e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;AL;0,25;0,24999999927776004;-7,22239962280824e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;C;0,005;0,004999999633664597;-3,663354029848076e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;FE;0,5;0,49999999937093237;-6,290676313192023e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;MN;0,5;0,49999999554958124;-4,450418755741481e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;NB;0,06;0,05999999991137605;-8,862394845765564e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;S;0,02;0,019999997532466476;-2,467533524730392e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;TI;0,1;0,09999999996674963;-3,3250374675830585e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;NI;61,964999;61,96499898086128;-1,9138717277655815e-08
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;CR;23,5;23,500000014877703;1,4877702625426537e-08
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;MO;13,0;12,999999998181499;-1,8185009054150214e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;B;1e-06;1,0031092024692737e-06;3,1092024692737722e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;SI;0,1;0,09999999993876688;-6,123312967787342e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;AL;0,25;0,250000002773965;2,773965002145218e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;C;0,005;0,005000003191871538;3,1918715379108953e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;FE;0,5;0,4999999996709697;-3,290303030034636e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;MN;0,5;0,4999999979568324;-2,043167579568461e-09
