B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;P-фаза есть;мольная доля, %;массовая доля, %;без припоя, мольная доля, %;изменение, мольн. %;куда двинулась;NI, масс. %;CR, масс. %;MO, масс. %;B, масс. %;SI, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;TI, масс. %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;700,0;служба;да;22,306609681233112;24,029162978593384;22,306609681233112;0,0;на месте;38,06671165336514;29,91058553292484;32,022702813710026;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;750,0;служба;да;19,095606614789094;20,568146482504993;19,095606614789094;0,0;на месте;37,98293875530762;29,991159824675798;32,02590142001658;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1050,0;пайка и ТО;нет;0,0;0,0;0,0;0,0;на месте;;;;;;;;;;;;
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1150,0;пайка и ТО;нет;0,0;0,0;0,0;0,0;на месте;;;;;;;;;;;;
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;1200,0;пайка и ТО;нет;0,0;0,0;0,0;0,0;на месте;;;;;;;;;;;;
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;да;28,54271284011798;31,038195814040172;22,306609681233112;6,236103158884866;выросла;37,66579421131289;30,29619519539333;32,038010593293784;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;да;25,945254816169573;28,211953231347174;19,095606614789094;6,849648201380479;выросла;37,61554667490798;30,34452418665345;32,03992913843857;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;нет;0,0;0,0;0,0;0,0;на месте;;;;;;;;;;;;
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;нет;0,0;0,0;0,0;0,0;на месте;;;;;;;;;;;;
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;нет;0,0;0,0;0,0;0,0;на месте;;;;;;;;;;;;
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;да;30,707975037571988;33,72475516666709;22,306609681233112;8,401365356338875;выросла;36,82300285847067;31,10680719430582;32,07018994722352;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;да;28,502898106519677;31,303946607524193;19,095606614789094;9,407291491730582;выросла;36,84707543009273;31,08365375859992;32,06927081130735;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;нет;0,0;0,0;0,0;0,0;на месте;;;;;;;;;;;;
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;нет;0,0;0,0;0,0;0,0;на месте;;;;;;;;;;;;
