случай;ступень;T, °C;фаза;фаза постановки;мольная доля;мольная доля, %;видимая;состав, масс. %
MO верхний;А;700,0;GAMMA_PRIME;;0,00041003732906696723;0,041003732906696726;да;"CR 23.5; MO 14; TI 0.1; NB 0.06; FE 0.5"
TI верхний;А;700,0;GAMMA_PRIME;;0,005190008004690459;0,519000800469046;да;"CR 23.5; MO 13; TI 0.16; NB 0.06; FE 0.5"
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;M6C;;0,0016548359083222912;0,16548359083222913;да;"CR 23; MO 14; TI 0.03; NB 0.02; FE 0.5"
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,0034819125235180364;0,34819125235180365;да;"CR 23; MO 12; TI 0.16; NB 0.02; FE 0.5"
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,005810357421389254;0,5810357421389254;да;"CR 23; MO 14; TI 0.16; NB 0.02; FE 0.5"
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;M6C;;0,0015198013710468446;0,15198013710468447;да;"CR 23; MO 14; TI 0.16; NB 0.02; FE 0.5"
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,004637691649563016;0,46376916495630166;да;"CR 24; MO 12; TI 0.16; NB 0.02; FE 0.5"
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,006851056517916205;0,6851056517916205;да;"CR 24; MO 14; TI 0.16; NB 0.02; FE 0.5"
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;M6C;;0,0016549205680205894;0,16549205680205895;да;"CR 23; MO 14; TI 0.03; NB 0.1; FE 0.5"
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,003518253442961326;0,3518253442961326;да;"CR 23; MO 12; TI 0.16; NB 0.1; FE 0.5"
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,0058432892284067785;0,5843289228406778;да;"CR 23; MO 14; TI 0.16; NB 0.1; FE 0.5"
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,00469773710286935;0,469773710286935;да;"CR 24; MO 12; TI 0.16; NB 0.1; FE 0.5"
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,006907664673630651;0,6907664673630651;да;"CR 24; MO 14; TI 0.16; NB 0.1; FE 0.5"
собранный худший;Б;700,0;GAMMA_PRIME;;0,006907664673630651;0,6907664673630651;да;"CR 24; MO 14; TI 0.16; NB 0.1; FE 0.5"
собранный лучший;Б;750,0;M6C;;0,0016168458698213744;0,16168458698213745;да;"CR 23; MO 12; TI 0.03; NB 0.02; FE 0.001"
