элемент;предел;значение, масс. %;T, °C;доля P-фазы, мольн. %;CR в FCC_A1, масс. %;MO в FCC_A1, масс. %;мольная доля FCC_A1, %;сдвиг доли P, п.п.;сдвиг CR в матрице, масс. %;сдвиг MO в матрице, масс. %;случай
MO;верхний;14,0;750,0;22,497270164464368;21,421585461284693;8,258217261133913;77,31377401371884;3,4016532276271523;-0,3765124412546861;0,1916194646248215;MO верхний
MO;нижний;12,0;750,0;15,704796628505497;22,146672925021157;7,8965202877656235;84,10812811359692;-3,3908203083317185;0,3485750224817785;-0,17007750874346783;MO нижний
MO;верхний;14,0;700,0;25,618377153124346;21,064690790813945;7,161384362634107;74,14855212429147;3,3117582760221143;-0,3830567689294426;0,1878186197130871;MO верхний
MO;нижний;12,0;700,0;18,99784818266315;21,811681034761047;6,812881415111487;80,81178571775503;-3,3087706944390782;0,36393347501766016;-0,16068432780953223;MO нижний
CR;нижний;23,0;750,0;17,93402692261967;21,318954260360833;8,442670983080165;81,8782832285204;-1,161590014217545;-0,47914364217854555;0,37607318657107314;CR нижний
CR;верхний;24,0;750,0;20,185177152762506;22,2973173386178;7,702021582158912;79,62651846389687;1,089560215925292;0,4992194360784197;-0,36457621435017895;CR верхний
CR;нижний;23,0;700,0;21,251589122543415;20,941589144997934;7,34843580907997;78,55729689127648;-1,0550297545588172;-0,5061584147454532;0,3748700661589508;CR нижний
CR;верхний;24,0;700,0;23,28828288759427;21,974390309812257;6,613530560997135;76,52041370031202;0,9816640104920393;0,52664275006887;-0,36003518192388473;CR верхний
TI;нижний;0,03;750,0;18,732534386179008;21,84300473268844;8,184873848765815;81,07983124098301;-0,3630825506582058;0,04490683014905983;0,11827605225672322;TI нижний
TI;нижний;0,03;700,0;21,96656170087684;21,494371021138953;7,094921876337643;77,8423992392451;-0,340057176225389;0,04662346139556561;0,1213561334166231;TI нижний
TI;верхний;0,16;750,0;19,403051373062162;21,759422310885753;7,965325887418194;80,40873762933268;0,3074344362249487;-0,03867559165362522;-0,10127190909089734;TI верхний
FE;нижний;0,001;700,0;22,05007250972203;21,48662414783407;7,066612246980347;77,75880134492115;-0,2565463673802004;0,03887658809068384;0,0930465040593278;FE нижний
FE;нижний;0,001;750,0;18,89501798665058;21,827164421371684;8,13336540803023;80,91713810917835;-0,20059895018663398;0,029066518832305377;0,06676761152113819;FE нижний
TI;верхний;0,16;700,0;22,49206291163742;21,5386614363347;6,943062471556534;76,79772089062571;0,1854440345351871;0,090913876591312;-0,03050327136448594;TI верхний
NB;нижний;0,02;750,0;18,931921710634224;21,817425431283525;8,118862397905644;80,88013263486012;-0,16369522620298949;0,019327528744145894;0,05226460139655309;NB нижний
NB;верхний;0,1;750,0;19,25863968043535;21,7787260249563;8,01433997470352;80,55327646683536;0,1630227435981374;-0,019371877583079566;-0,052257821805572036;NB верхний
NB;нижний;0,02;700,0;22,154122339264955;21,467514344932713;7,026563021581545;77,65470966204438;-0,1524965378372739;0,01976678518932573;0,05299727866052528;NB нижний
NB;верхний;0,1;700,0;22,458343247838563;21,427948202541796;6,92063557110534;77,35038803808678;0,1517243707363336;-0,01979935720159176;-0,05293017181567983;NB верхний
FE;верхний;0,5;700,0;22,30661887710223;21,447747559743387;6,97356574292102;77,50216252218527;0,0;0,0;0,0;FE верхний
FE;верхний;0,5;750,0;19,095616936837214;21,79809790253938;8,066597796509091;80,71636788152864;0,0;0,0;0,0;FE верхний
—;контроль;;700,0;22,30661887710223;21,447747559743387;6,97356574292102;77,50216252218527;0,0;0,0;0,0;контроль
—;контроль;;750,0;19,095616936837214;21,79809790253938;8,066597796509091;80,71636788152864;0,0;0,0;0,0;контроль
