случай;CR, масс. %;MO, масс. %;TI, масс. %;NB, масс. %;FE, масс. %;NI, масс. %;доля P-фазы 700, мольн. %;CR в FCC_A1 700, масс. %;MO в FCC_A1 700, масс. %;сдвиг доли P 700, п.п.;сдвиг MO 700, масс. %;доля P-фазы 750, мольн. %;CR в FCC_A1 750, масс. %;MO в FCC_A1 750, масс. %;сдвиг доли P 750, п.п.;сдвиг MO 750, масс. %
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;24,0;14,0;0,16;0,1;0,5;60,365;26,93595783692264;21,716866597095166;6,706106011688398;4,629338959820411;-0,2674597312326217;24,078835944566517;21,870916524169008;7,707749767870385;4,9832190077293035;-0,3588480286387066
собранный худший;24,0;14,0;0,16;0,1;0,5;60,365;26,93595783692264;21,716866597095166;6,706106011688398;4,629338959820411;-0,2674597312326217;24,078835944566517;21,870916524169008;7,707749767870385;4,9832190077293035;-0,3588480286387066
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;24,0;14,0;0,16;0,02;0,5;60,445;26,64221890936004;21,756809911282957;6,8157198631655636;4,335600032257808;-0,15784587975545605;23,76119791925062;21,91197488281242;7,816849920502895;4,665580982413406;-0,24974787600619663
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;24,0;14,0;0,03;0,1;0,5;60,495;26,463126344132387;21,622569122742448;6,838908099125492;4,156507467030157;-0,1346576437955278;23,43034151060576;21,9598680659291;7,936428203045051;4,334724573768545;-0,1301695934640401
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;24,0;14,0;0,03;0,02;0,5;60,574999999999996;26,161575396888022;21,664049432112357;6,94958338821761;3,8549565197857905;-0,023982354703409925;23,105909715200024;22,000426424270916;8,045853293946001;4,010292778362809;-0,02074450256309035
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;23,0;14,0;0,16;0,1;0,5;61,365;24,88592509645744;20,61311159659619;7,476962173658243;2,5793062193552125;0,5033964307372232;21,79996455316877;20,86390778553497;8,49583373272112;2,7043476163315567;0,42923593621202905
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;23,0;14,0;0,16;0,02;0,5;61,445;24,561602419207315;20,659228874418513;7,591042015925802;2,254983542105085;0,6174762730047823;21,35964595895871;20,958537237785027;8,568529724768831;2,2640290221214943;0,5019319282597401
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;23,0;14,0;0,03;0,1;0,5;61,495;24,329050025699473;20,569585521827538;7,632946809621484;2,022431148597242;0,6593810667004645;20,981026294731013;21,015906446191536;8,689655003480292;1,885409357893797;0,6230572069712004
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;23,0;14,0;0,03;0,02;0,5;61,574999999999996;23,997723586488256;20,616400155160168;7,74731122396279;1,6911047093860265;0,7737454810417708;20,630092475761018;21,060956437293797;8,800621663033093;1,5344755389238018;0,7340238665240015
контроль;23,5;13,0;0,1;0,06;0,5;61,964999999999996;22,30661887710223;21,447747559743387;6,97356574292102;0,0;0,0;19,095616936837214;21,79809790253938;8,066597796509091;0,0;0,0
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;24,0;12,0;0,16;0,1;0,5;62,365;20,266679518820595;22,393987486505832;6,394366559905515;-2,039939358281634;-0,579199183015505;17,19991002465368;22,58547603878567;7,412736822734719;-1,8957069121835368;-0,6538609737743721
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;24,0;12,0;0,16;0,02;0,5;62,445;19,988158176788172;22,425383105969768;6,491186199533498;-2,3184607003140596;-0,48237954338752154;16,89718815474251;22,618096201380553;7,509974881296035;-2,198428782094708;-0,5566229152130564
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;24,0;12,0;0,03;0,1;0,5;62,495;19,778711815379076;22,347571967411177;6,538699310207126;-2,527907061723153;-0,4348664327138936;16,57995455838413;22,65540575277727;7,615508623278146;-2,5156623784530847;-0,45108917323094566
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;24,0;12,0;0,03;0,02;0,5;62,574999999999996;19,49268884101046;22,380491850723203;6,636824663202771;-2,813930036091772;-0,33674107971824885;16,270968018767924;22,687717014972876;7,713186323544416;-2,824648918069289;-0,3534114729646758
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;23,0;12,0;0,16;0,1;0,5;63,365;18,35502273912576;21,34317177201042;7,060215075244662;-3,951596137976468;0,0866493323236428;15,057571060728295;21,622257363372967;8,101897231375982;-4,03804587610892;0,03529943486689113
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;23,0;12,0;0,16;0,02;0,5;63,445;18,048488572045574;21,3799707019471;7,161521684203229;-4,258130305056657;0,18795594128220916;14,728616266224401;21,65926112432261;8,201898750676799;-4,367000670612814;0,1353009541677075
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;23,0;12,0;0,03;0,1;0,5;63,495;17,784122674093656;21,341959863938673;7,228814456426333;-4,522496203008575;0,2552487135053134;14,373642188046624;21,701620802416627;8,312513796325721;-4,721974748790592;0,2459159998166296
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;23,0;12,0;0,03;0,02;0,5;63,574999999999996;17,470722805476434;21,37952866074018;7,330802859960809;-4,835896071625795;0,357237117039789;14,038991185081587;21,73827305570069;8,412511932692667;-5,056625751755628;0,34591413618357514
собранный лучший;23,0;12,0;0,03;0,02;0,001;64,074;17,194189976906145;21,416091024822677;7,423104191274532;-5,112428900196086;0,4495384483535121;13,71837224862819;21,812938964182262;8,443337055012826;-5,377244688209023;0,3767392585037346
