B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;чем является по модели базы;мольная доля, %;массовая доля, %;x(B) в фазе;x(SI) в фазе;NI, масс. %;CR, масс. %;MO, масс. %;B, масс. %;SI, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;TI, масс. %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;FCC_A1;бор в подрешётке внедрения;70,15211416001122;68,1416543787429;7,670582457379343e-08;0,0030228196443454866;72,28360264655723;21,06548404091871;4,74468664082934;1,4324927343968192e-06;0,14665356121633333;0,2512821957250083;2,7999348086271054e-05;0,7123093857847329;0,6834782787390699;0,08587006888956111;5,539140568524921e-13;0,026603749498669255
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;GAMMA_PRIME;кремний в растворе;1,4330764087135646;1,2984022873084817;0,0;0,0001004491907438521;81,32135208199793;4,0874970297359265;1,0247403738877823;0,0;0,005224669271916801;6,0668526046212765;0,0;1,1241379168511743;0,0;0,11450337660488727;0,0;6,255691947029085
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M23C6;бор в подрешётке внедрения;0,11945635254807248;0,09839113319232029;1,1114244957849042e-06;0,0;20,40722693792794;54,94707430627127;18,89879443704029;2,4477623278131617e-05;0,0;0,0;5,0623655402344925;0,02516493699218824;0,0010408247597604259;0,0;0,0;0,6583085391507931
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;FCC_A1;бор в подрешётке внедрения;70,94025738602238;68,96786181778029;7,600773550888855e-08;0,002989253042636247;71,96533537249704;21,116060222546054;5,013126127973934;1,418207528979478e-06;0,14489752433623915;0,2591774179091625;3,6008708563036225e-05;0,7070128578811997;0,6752903084599545;0,08502435655989939;5,534267235581691e-13;0,034038384919877804
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;GAMMA_PRIME;кремний в растворе;1,2913320771087435;1,169415630353438;0,0;0,00011055237066267989;81,34187274947693;3,876064788591943;1,0236823674493498;0,0;0,005752934008431581;6,092861644676344;0,0;1,0571054480514825;0,0;0,1163418082293689;0,0;6,486318259516139
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;M23C6;бор в подрешётке внедрения;0,11931824358865223;0,09828771284100374;1,0297656924673681e-06;0,0;20,72429459461939;54,65682237756029;18,844868492961925;2,267681391868517e-05;0,0;0,0;5,061835275383652;0,02684220458199978;0,0011663626537100494;0,0;0,0;0,6841480154251147
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;FCC_A1;бор в подрешётке внедрения;65,38782663403741;62,69844037011486;8,21828625414108e-09;0,03200758427581744;74,04061388784469;20,055612285210273;2,4241891145395416;1,5702222417448477e-07;1,588726174638093;0,24633100412501766;4,9437109837245125e-06;0,7775731719542912;0,7428166096606149;0,0944184977391132;5,667071298724366e-13;0,029714153554593756
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;GAMMA_PRIME;кремний в растворе;1,5126773172279295;1,3673112506547727;0,0;0,005407970081717781;82,2641183204589;2,9296374597121506;0,6110740349261019;0,0;0,284753568978671;6,988482344033067;0,0;0,912282644770999;0,0;0,05858757501101464;0,0;5,951064052109099
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;M23C6_WY;бор в подрешётке внедрения;0,11868111453268321;0,09138144397962492;4,1474754848647086e-05;0,0;1,6497918308772326;85,0603310197899;7,82057626593335;0,0009868408603418807;0,0;0,0;5,468179718100376;0,0;0,0;0,0;0,0;0,0001343244388115023
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;FCC_A1;бор в подрешётке внедрения;65,96846199306387;63,30389660165352;1,040266048358176e-08;0,03173499483923445;73,78974995657632;20,095058906853836;2,642225174375854;1,9860493489754726e-07;1,573984081181979;0,2585598527683956;7,021208303063933e-06;0,7730887725220699;0,7357121051541152;0,09359813830909215;5,662710817661117e-13;0,03801579244454246
