B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;NI;61,964999;61,96499902369485;2,369485230246937e-08
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;CR;23,5;23,499999989493574;-1,0506425951462006e-08
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MO;13,0;13,000000000017227;1,722710862850363e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;B;1e-06;1,000208058995185e-06;2,080589951849617e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;SI;0,1;0,10000000004348286;4,34828562045908e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;AL;0,25;0,2499999983122883;-1,6877116926217184e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;C;0,005;0,004999998040375492;-1,9596245078024044e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;FE;0,5;0,5000000000537371;5,373712586020929e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MN;0,5;0,49999999405748463;-5,942515368673185e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;NB;0,06;0,06000000001839647;1,8396471845871787e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;S;0,02;0,01999999646660336;-3,5333966412476325e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;TI;0,1;0,09999999959394017;-4,060598385313696e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;NI;61,964999;61,96499902687746;2,687745848106715e-08
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;CR;23,5;23,499999974649377;-2,5350622934183775e-08
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MO;13,0;13,000000002687477;2,68747690768123e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;B;1e-06;1,0003959306218086e-06;3,9593062180866987e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;SI;0,1;0,10000000007110049;7,110048660941004e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;AL;0,25;0,24999999985513682;-1,4486317700956874e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;C;0,005;0,004999996556317838;-3,443682162346251e-09
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;FE;0,5;0,5000000002574086;2,574086499507189e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MN;0,5;0,49999999963696007;-3,630399314502597e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;NB;0,06;0,06000000003375828;3,375828089291488e-11
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;S;0,02;0,019999999704488746;-2,955112543556737e-10
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;TI;0,1;0,09999999927460478;-7,253952299945965e-10
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;NI;61,064999;61,06499902214678;2,2146778633214126e-08
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;CR;23,5;23,499999998293013;-1,7069865521079919e-09
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;MO;13,0;12,999999972112633;-2,7887367082257697e-08
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;B;1e-06;1,0002399135532318e-06;2,3991355323179687e-10
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;SI;1,0;1,000000000835158;8,351579428023115e-10
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;AL;0,25;0,2500000030744159;3,0744158885376294e-09
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;C;0,005;0,005000001215484308;1,215484307821868e-09
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;FE;0,5;0,5000000006604839;6,604838898027765e-10
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;MN;0,5;0,4999999998837031;-1,1629691654135854e-10
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;NB;0,06;0,060000000007927545;7,92754750733593e-12
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;S;0,02;0,019999999616801444;-3,8319855621971044e-10
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;TI;0,1;0,10000000191368265;1,9136826429067e-09
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;NI;61,064999;61,06499897614032;-2,3859676900883642e-08
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;CR;23,5;23,50000001828221;1,8282211300402196e-08
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;MO;13,0;12,99999999821622;-1,7837802346321041e-09
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;B;1e-06;1,0003761957692371e-06;3,7619576923717526e-10
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;SI;1,0;0,9999999994491559;-5,508441480728266e-10
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;AL;0,25;0,24999999981247156;-1,8752843722324997e-10
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;C;0,005;0,005000003080310839;3,08031083886412e-09
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;FE;0,5;0,5000000000381686;3,816857940819318e-11
