B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;FCC_A1 есть;мольная доля FCC_A1, %;массовая доля FCC_A1, %;CR в сплаве, масс. %;CR в FCC_A1, масс. %;CR, сдвиг от состава сплава, масс. %;CR в FCC_A1 без припоя, масс. %;CR, добавка от припоя, масс. %;CR, доля от состава без припоя, %;MO в сплаве, масс. %;MO в FCC_A1, масс. %;MO, сдвиг от состава сплава, масс. %;MO в FCC_A1 без припоя, масс. %;MO, добавка от припоя, масс. %;MO, доля от состава без припоя, %
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;да;70,15211416001122;68,1416543787429;23,5;21,06548404091871;-2,4345159590812884;21,06548404091871;0,0;100,00000000000001;13,0;4,74468664082934;-8,25531335917066;4,74468664082934;0,0;100,0
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;да;70,94025738602238;68,96786181778029;23,5;21,116060222546054;-2,3839397774539464;21,116060222546054;0,0;100,0;13,0;5,013126127973934;-7,986873872026066;5,013126127973934;0,0;100,0
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;да;65,38782663403741;62,69844037011486;23,5;20,055612285210273;-3,444387714789727;21,06548404091871;-1,0098717557084385;95,2060358368846;13,0;2,4241891145395416;-10,57581088546046;4,74468664082934;-2,320497526289799;51,092712713179495
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;да;65,96846199306387;63,30389660165352;23,5;20,095058906853836;-3,4049410931461637;21,116060222546054;-1,0210013156922173;95,16481149924894;13,0;2,642225174375854;-10,357774825624146;5,013126127973934;-2,3709009535980803;52,70613798507629
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;да;63,58884674716509;60,49623474950143;23,5;19,327373337422074;-4,172626662577926;21,06548404091871;-1,7381107034966377;91,74901132050685;13,0;1,5877646920215065;-11,412235307978493;4,74468664082934;-3,1569219488078337;33,46405805513798
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;да;64,10480240847485;61,021941733893314;23,5;19,359124350963405;-4,1408756490365946;21,116060222546054;-1,7569358715826482;91,67962274654468;13,0;1,7609328546851553;-11,239067145314845;5,013126127973934;-3,2521932732887793;35,12644225843246
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;нет;;;23,5;;;21,06548404091871;;;13,0;;;4,74468664082934;;
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;да;50,34003443420353;48,42554345858425;23,5;18,7792414267311;-4,720758573268899;21,116060222546054;-2,3368187958149527;88,93345268394393;13,0;1,7364724983418076;-11,263527501658192;5,013126127973934;-3,2766536296321265;34,638516047941664
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;нет;;;23,5;;;21,06548404091871;;;13,0;;;4,74468664082934;;
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;да;32,32834879179842;31,600089449433383;23,5;18,37095587581663;-5,12904412418337;21,116060222546054;-2,7451043467294234;86,99992177613503;13,0;1,797667748696414;-11,202332251303586;5,013126127973934;-3,2154583792775204;35,85921644111806
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;да;72,67046406824296;70,73062064076652;23,5;21,907663954360764;-1,592336045639236;21,06548404091871;0,8421799134420525;103,99791389462573;13,0;4,346225229139692;-8,65377477086031;4,74468664082934;-0,39846141168964877;91,601944620309
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;да;73,4526303973465;71,55270618991302;23,5;21,953482667618612;-1,5465173323813879;21,116060222546054;0,8374224450725585;103,96580818697622;13,0;4,605055189107395;-8,394944810892605;5,013126127973934;-0,40807093886653956;91,85995068846468
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;да;74,82501990651065;73,46701109327348;23,5;22,077558540872946;-1,4224414591270538;21,06548404091871;1,0120744999542346;104,80442081458146;13,0;4,314202377320467;-8,685797622679534;4,74468664082934;-0,43048426350887325;90,92702435173616
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;да;76,1602819930399;74,78237385786846;23,5;22,383988303809627;-1,1160116961903732;21,116060222546054;1,2679280812635731;106,00456746145184;13,0;4,447512915399042;-8,552487084600958;5,013126127973934;-0,5656132125748927;88,71735523631267
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;да;76,82206098353215;76,09942240342583;23,5;22,17037284483168;-1,3296271551683212;21,06548404091871;1,1048888039129672;105,24501977626895;13,0;4,314070518024104;-8,685929481975897;4,74468664082934;-0,43061612280523676;90,92424525784978
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;да;78,17023435982233;77,43962436656388;23,5;22,47393311299895;-1,0260668870010505;21,116060222546054;1,3578728904528958;106,43052196357664;13,0;4,447282280686485;-8,552717719313515;5,013126127973934;-0,5658438472874492;88,71275461971797
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;да;64,00341797697678;62,459359203245256;23,5;17,85213526043142;-5,647864739568579;21,06548404091871;-3,2133487804872907;84,74590579430546;13,0;1,8411465216295235;-11,158853478370476;4,74468664082934;-2,9035401191998167;38,80438606389616
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;да;65,31784504153202;63,76063870660552;23,5;18,289604261826806;-5,210395738173194;21,116060222546054;-2,8264559607192474;86,61466234264012;13,0;1,9698362301733503;-11,03016376982665;5,013126127973934;-3,043289897800584;39,29357011748403
0,5;5,0;"B=0.5; Si=5";перекрёстные узлы;580,0;служба;нет;;;23,5;;;21,06548404091871;;;13,0;;;4,74468664082934;;
0,5;5,0;"B=0.5; Si=5";перекрёстные узлы;595,0;служба;нет;;;23,5;;;21,116060222546054;;;13,0;;;5,013126127973934;;
1,0;0,1;"B=1; Si=0.1";ось бора;580,0;служба;нет;;;23,5;;;21,06548404091871;;;13,0;;;4,74468664082934;;
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;да;83,03642082133096;84,07423462216383;23,5;22,650249554056618;-0,849750445943382;21,116060222546054;1,5341893315105644;107,26550935800267;13,0;4,4381652310593935;-8,561834768940606;5,013126127973934;-0,5749608969145408;88,53089106004775
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;580,0;служба;да;75,87494087280835;78,41228319379563;23,5;19,251121893520466;-4,248878106479534;21,06548404091871;-1,8143621473982456;91,38703794380451;13,0;3,2181797650037542;-9,781820234996246;4,74468664082934;-1,5265068758255862;67,82702438787902
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;595,0;служба;да;76,7499740249346;79,27596954061679;23,5;19,311359540891196;-4,188640459108804;21,116060222546054;-1,8047006816548574;91,45342141178428;13,0;3,2449771259885654;-9,755022874011434;5,013126127973934;-1,768149001985369;64,72961268381312
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;580,0;служба;да;72,10754630467481;73,73123968267903;23,5;18,400662443338966;-5,099337556661034;21,06548404091871;-2,6648215975797456;87,34982024432263;13,0;1,9562479864641538;-11,043752013535846;4,74468664082934;-2,7884386543651867;41,230288416311815
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;да;73,41343545674201;75,08739936239859;23,5;18,810688095515715;-4,689311904484285;21,116060222546054;-2,3053721270303384;89,0823756764586;13,0;2,087623241585032;-10,912376758414968;5,013126127973934;-2,925502886388902;41,643142188978786
1,5;5,0;"B=1.5; Si=5";перекрёстные узлы;580,0;служба;нет;;;23,5;;;21,06548404091871;;;13,0;;;4,74468664082934;;
1,5;5,0;"B=1.5; Si=5";перекрёстные узлы;595,0;служба;нет;;;23,5;;;21,116060222546054;;;13,0;;;5,013126127973934;;
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;да;70,70887671740086;74,58799686247112;23,5;16,241522356622664;-7,258477643377336;21,06548404091871;-4,823961684296048;77,100162166102;13,0;2,3436456459913066;-10,656354354008693;4,74468664082934;-2,401040994838034;49,395161860081295
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;да;70,79340174451265;74,688872989909;23,5;16,29854412077534;-7,20145587922466;21,116060222546054;-4,817516101770714;77,18553531767752;13,0;2,4045228441567996;-10,5954771558432;5,013126127973934;-2,6086032838171347;47,96453914732428
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;да;64,60512661908805;71,01194117889061;23,5;13,643948700335764;-9,856051299664236;21,06548404091871;-7,421535340582947;64,76921524249353;13,0;1,7658148379242775;-11,234185162075722;4,74468664082934;-2,978871802905063;37,21667986941335
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;да;65,04946146134589;71,50510785130139;23,5;14,005992094136923;-9,494007905863077;21,116060222546054;-7,1100681284091305;66,32862355252442;13,0;1,894012516075178;-11,105987483924823;5,013126127973934;-3,119113611898756;37,78106649873274
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;да;59,792517687029665;65,02803764966207;23,5;7,939540034275692;-15,56045996572431;21,06548404091871;-13,12594400664302;37,68980583998692;13,0;0,4859722712472314;-12,514027728752769;4,74468664082934;-4,258714369582109;10,242452411194147
3,0;2,0;"B=3; Si=2";перекрёстные узлы;595,0;служба;да;60,006903841139305;65,25893748471046;23,5;8,200492834119261;-15,299507165880739;21,116060222546054;-12,915567388426792;38,83533551094643;13,0;0,5299998109481316;-12,470000189051868;5,013126127973934;-4,483126317025802;10,57224169945894
3,0;5,0;"B=3; Si=5";перекрёстные узлы;580,0;служба;да;33,00781754744093;36,29568606026689;23,5;8,64808986187405;-14,85191013812595;21,06548404091871;-12,417394179044662;41,053364095861944;13,0;0,44803703823102853;-12,551962961768972;4,74468664082934;-4,296649602598312;9,44292156989981
3,0;5,0;"B=3; Si=5";перекрёстные узлы;595,0;служба;да;33,33320097944777;36,632354246283896;23,5;8,747685040090044;-14,752314959909956;21,116060222546054;-12,36837518245601;41,42669109623944;13,0;0,4733127181404751;-12,526687281859525;5,013126127973934;-4,539813409833459;9,441468378370233
