B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;мольная доля, %;массовая доля, %;молярная масса фазы, г/моль;pdens точки;сошлась
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;FCC_A1;70,15211416001122;68,1416543787429;57,88976443335755;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;P_PHASE;28,221009192277986;30,40728663297063;64,21478022691292;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;GAMMA_PRIME;1,4330764087135646;1,2984022873084817;53,99702066885935;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M23C6;0,11945635254807248;0,09839113319232029;49,08814098248412;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MNS_Q;0,0743438416491912;0,054265567785663625;43,502000101689276;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;FCC_A1;70,94025738602238;68,96786181778029;57,94071825143193;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;P_PHASE;27,57474832560498;29,71016926241074;64,21307108172552;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;GAMMA_PRIME;1,2913320771087435;1,169415630353438;53,97104506493701;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;M23C6;0,11931824358865223;0,09828771284100374;49,09330270638923;100;да
0,0;0,1;"B=0; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MNS_Q;0,07434385363583773;0,054265576614539644;43,50200013664244;100;да
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;FCC_A1;65,38782663403741;62,69844037011486;56,58300483299134;100;да
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;P_PHASE;32,90720408939064;35,788601358948966;64,1770740679179;100;да
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;GAMMA_PRIME;1,5126773172279295;1,3673112506547727;53,339294139439374;100;да
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;M23C6_WY;0,11868111453268321;0,09138144397962492;45,436259551857816;100;да
0,0;1,0;"B=0; Si=1";ось кремния;580,0;служба;MNS_Q;0,0736107709542433;0,05426557630176682;43,50200007657941;100;да
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;FCC_A1;65,96846199306387;63,30389660165352;56,62657000241101;400;да
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;P_PHASE;32,47030580302274;35,31309917046087;64,1764407188952;400;да
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;GAMMA_PRIME;1,3689729142616671;1,2373192571314329;53,33509690090357;400;да
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;M23C6_WY;0,11864850269949347;0,09141939026947914;45,4676208981629;400;да
0,0;1,0;"B=0; Si=1";ось кремния;595,0;служба;MNS_Q;0,07361077663130165;0,054265580484687506;43,50200010409088;400;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;FCC_A1;63,58884674716509;60,49623474950143;55,53172593596413;100;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;P_PHASE;34,15412089930079;37,50483009237145;64,09702401179155;100;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;GAMMA_PRIME;2,0667616836054767;1,8534054068826646;52,3448306708006;100;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;M23C6_WY;0,11745767689148917;0,0912641610570669;45,35369069758439;100;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;580,0;служба;MNS_Q;0,07281302617069754;0,05426559018739425;43,50200006167673;100;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;FCC_A1;64,10480240847485;61,021941733893314;55,56345365593883;400;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;P_PHASE;33,83056215731009;37,150427482706796;64,09857524939603;400;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;GAMMA_PRIME;1,8743712083556927;1,6820692948024192;52,38199730185841;400;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;M23C6_WY;0,11745122604446766;0,09129590832967259;45,37195938052857;400;да
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;MNS_Q;0,07281301287462436;0,05426558026777943;43,502000084117086;400;да
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;FCC_A1;50,34003443420353;48,42554345858425;55,2524422638337;300;да
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;P_PHASE;33,94465222821103;37,868476834093016;64,0762309253684;300;да
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;G_PHASE;14,376969467958;12,52515815981076;50,03873851606539;300;да
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;GAMMA_PRIME;1,1511141792792088;1,0352507876912642;51,655628554170676;300;да
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;M23C6_WY;0,11558093608663922;0,09130518347067028;45,373231438315;300;да
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;MNS_Q;0,0716482652423947;0,05426557635003645;43,50200006540297;300;да
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;P_PHASE;34,15425079661401;38,71487063659219;64,08131109365235;500;да
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;FCC_A1;32,32834879179842;31,600089449433383;55,25901360992412;500;да
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;G_PHASE;31,26374125390676;27,65167645510002;50,001019374852994;500;да
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;GAMMA_PRIME;2,0693742433561164;1,8877698955984765;51,57133290469685;500;да
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;M23C6_WY;0,11376438784274091;0,09132798879299128;45,38328192709544;500;да
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;MNS_Q;0,07052019750818553;0,054265574482927126;43,50200004807887;500;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;FCC_A1;72,67046406824296;70,73062064076652;57,74716731007246;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;P_PHASE;24,116644606645917;26,099079656874952;64,20804689590845;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;M2B;1,646232106213462;1,7681590095281106;63,725228448163136;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;GAMMA_PRIME;1,3737062078480125;1,2495907656017258;53,970332845944796;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;M23C6;0,11894210128277442;0,09828435209876225;49,02639078248776;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;MNS_Q;0,07401101075401574;0,05426557512994125;43,50200009987957;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;FCC_A1;73,4526303973465;71,55270618991302;57,79627644575234;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;P_PHASE;23,472914391952678;25,40177270426909;64,20637625659408;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;M2B;1,646184212475231;1,769707253018286;63,78288323904491;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;GAMMA_PRIME;1,2354497766500385;1,1233612134978375;53,94801608375782;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;M23C6;0,11881000541058195;0,09818707279877165;49,03232035662847;100;да
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;MNS_Q;0,07401099867754535;0,05426556650299034;43,50200013411154;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;FCC_A1;74,82501990651065;73,46701109327348;57,73713536307096;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;P_PHASE;18,786137736327223;20,51218516967528;64,20725868683064;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;M2B;3,4379897537530324;3,7207988839808666;63,64163379609492;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;CR2B;1,457207623193652;0,9523726740091047;38,43219536402677;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;GAMMA_PRIME;1,3024226433444193;1,1951167568833498;53,95952273069741;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;M23C6;0,11786813312929298;0,09824983985581;49,01682175623363;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;MNS_Q;0,07335419321282605;0,05426558232210431;43,502000087989046;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;FCC_A1;76,1602819930399;74,78237385786846;57,74048212889528;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;P_PHASE;17,592444265935487;19,20761595974887;64,20324546749836;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;M2B;3,7329570149174316;4,033228013227676;63,53448122302115;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;CR2B;1,162176264599536;0,7594981881859291;38,42947424357328;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;GAMMA_PRIME;1,1610434836976922;1,0648992639383752;53,93488334138037;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;M23C6;0,11774283384431097;0,098119130325002;49,003704030357206;100;да
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;MNS_Q;0,07335419911431289;0,05426558670567869;43,502000120766645;100;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;FCC_A1;76,82206098353215;76,09942240342583;57,73881518792807;50;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;P_PHASE;13,664019572464085;15,051814960059975;64,20707072204141;50;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M2B;5,138304634931876;5,607154708224561;63,605570431462475;50;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;CR2B;2,9487003828347813;1,9437553369374687;38,42230491838267;50;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;GAMMA_PRIME;1,2373945436226754;1,1453628096879922;53,951974367713284;50;да
