T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;мольная доля P-фазы, %;объёмная доля P-фазы, %;движущая сила, Дж/м³
700,0;0,05;границы зёрен;0,001;4,863099704846652e-09;5,193527475085465e-09;209012354,69656003
700,0;0,05;границы зёрен;0,001758550994291671;5,877311377430036e-06;6,276650665027733e-06;209012319,5292123
700,0;0,05;границы зёрен;0,003144431583841334;0,0005444424990621051;0,0005814349289773768;209009094,28000042
700,0;0,05;границы зёрен;0,005563038647688266;0,004657179643243023;0,0049736002477488465;208984462,59411022
700,0;0,05;границы зёрен;0,009851880784696614;0,015983622378217207;0,017069458884057583;208916607,350606
700,0;0,05;границы зёрен;0,010000000000000002;0,01653869457493407;0,017662232871388565;208913281,23857674
700,0;0,05;границы зёрен;0,01743459800609729;0,056703955952075585;0,06055442521019417;208672417,000533
700,0;0,05;границы зёрен;0,03089122536549672;0,1804233016787806;0,1926587103267167;207928188,14293733
700,0;0,05;границы зёрен;0,05474807874872322;0,5220101844016725;0,5572809862206674;205855142,78873134
700,0;0,05;границы зёрен;0,09696159148094101;1,3913963962811764;1,4845326279637887;200454990,4237572
700,0;0,05;границы зёрен;0,10000000000000002;1,464119256540916;1,5620462443630032;199995007,43065533
700,0;0,05;границы зёрен;0,17122203867354005;3,4476921128691127;3,673343665875354;186927186,80233464
700,0;0,05;границы зёрен;0,3029758014642145;7,790276669248463;8,275788964615836;154302769,9991931
700,0;0,05;границы зёрен;0,5366716868538468;14,626447478699944;15,466547180222182;87789517,99346744
700,0;0,05;границы зёрен;0,9523836774933676;19,6098938270808;20,666937252632327;21386257,52329256
700,0;0,05;границы зёрен;1,0;19,79384639809333;20,858232770694812;18524277,669258416
700,0;0,05;границы зёрен;1,6923915131756633;20,446948121831;21,537023772345897;8074960,845294959
700,0;0,05;границы зёрен;2,913442049318541;20,45697047234147;21,547435715663593;7910989,121744803
700,0;0,05;границы зёрен;5,4168526654309;20,44841831267106;21,53855112178431;8050914,653749413
700,0;0,05;границы зёрен;9,383019072919792;20,450149105330397;21,540349200954374;8022603,010383837
700,0;0,05;границы зёрен;10,0;20,453796004845064;21,544137864134463;7962937,474074175
700,0;0,05;границы зёрен;16,532966982818923;20,460732177930872;21,55134361167463;7849416,371536545
700,0;0,05;границы зёрен;29,34706283553523;20,470269354766835;21,561251341631632;7693238,013362601
700,0;0,05;границы зёрен;51,98557984216094;20,510585677644062;21,603132697326288;7031901,963950619
700,0;0,05;границы зёрен;92,01021951540787;20,573573939346172;21,668561560638786;5995000,151507703
700,0;0,05;границы зёрен;100,0;20,583211640148026;21,67857220553562;5835950,266905381
700,0;0,05;границы зёрен;163,15871976695922;20,63700221630559;21,734441907441106;4946311,882089842
700,0;0,05;границы зёрен;200,0;20,656572140395664;21,754767253595087;4621827,92698753
700,0;0,05;границы зёрен;288,81076658805443;20,688871089954297;21,788311814700894;4085328,1796484636
700,0;0,05;границы зёрен;511,3979549496335;20,73184168410935;21,83293732254716;3369709,1960222055
700,0;0,05;границы зёрен;905,4185104477283;20,766943525201174;21,86938912353293;2783552,328288128
700,0;0,05;границы зёрен;1000,0;20,772246491712977;21,8748958844591;2694875,3417047835
700,0;0,05;границы зёрен;1602,8045085775154;20,781188832722624;21,88418179338491;2545266,289509741
700,0;0,05;границы зёрен;2841,7236491791305;20,80248667431455;21,906297457526016;2188570,400318023
700,0;0,05;границы зёрен;5031,5650216906015;20,820319420927913;21,924814483942363;1889501,6324021935
700,0;0,05;границы зёрен;8903,761934725824;20,835122129428793;21,94018486726379;1640967,0733893248
700,0;0,05;границы зёрен;10000,0;20,84211857747012;21,947449518709405;1523408,9674093628
700,0;0,05;границы зёрен;15774,537192291518;20,868448224589315;21,974787882010038;1080490,2604322108
700,0;0,05;границы зёрен;27940,04528267576;20,864872692654608;21,971075424320954;1140685,7363113544
700,0;0,05;границы зёрен;49430,41493006424;20,88859354208382;21,995704336308712;741055,3434711341
700,0;0,05;границы зёрен;87600,0;20,896260997390804;22,003665143591085;611738,5350830195
700,0;0,075;границы зёрен;0,001;5,852277790389004e-13;6,249916173017592e-13;209012354,7256645
700,0;0,075;границы зёрен;0,0017745224603522164;1,720904326656305e-08;1,8378327496556696e-08;209012354,6226733
700,0;0,075;границы зёрен;0,003139241999311441;8,511733002032188e-06;9,090070455902047e-06;209012303,75290555
700,0;0,075;границы зёрен;0,005513952717553709;0,0003970552619193011;0,00042403343150317817;209009976,92905527
700,0;0,075;границы зёрен;0,009816679858113478;0,004003946065046111;0,004275986220266875;208988375,14561087
700,0;0,075;границы зёрен;0,010000000000000002;0,004188834395640938;0,004473435858941306;208987267,76424947
700,0;0,075;границы зёрен;0,0174049905155721;0,013724942475461228;0,014657359593767601;208930141,12649384
700,0;0,075;границы зёрен;0,03077977306812218;0,05528784800142621;0,05904221357808106;208680915,38240787
700,0;0,075;границы зёрен;0,05465184617319617;0,20062852267732595;0,21423120792211495;207806312,6872931
700,0;0,075;границы зёрен;0,09700625120197565;0,6246502365085621;0,6668096595605396;205226943,93790886
700,0;0,075;границы зёрен;0,10000000000000002;0,6610976030139537;0,7056994937302042;205003277,68096265
700,0;0,075;границы зёрен;0,1718367179115419;1,7350079791228366;1,8507129431726905;198270096,00441384
700,0;0,075;границы зёрен;0,30355569836402024;4,349976969792131;4,631850101900585;180629641,53894642
700,0;0,075;границы зёрен;0,5373585435171915;9,612152278754305;10,19865073113854;138658175,76588175
700,0;0,075;границы зёрен;0,9515032072777568;16,622135885898327;17,55329415105965;63509657,7509033
700,0;0,075;границы зёрен;1,0;17,132183779576433;18,085716775542853;56848714,650415614
700,0;0,075;границы зёрен;1,685357233458416;20,033604541811336;21,10749067024736;14741349,54863986
700,0;0,075;границы зёрен;2,8332502071244856;20,3393353431076;21,42521901290729;9828532,095779222
700,0;0,075;границы зёрен;5,234637894841854;20,333736170046613;21,4194012865819;9919420,933176652
700,0;0,075;границы зёрен;9,399298273579955;20,33874330998527;21,424603872941887;9838143,934340606
700,0;0,075;границы зёрен;10,0;20,340680344596905;21,426616507514126;9806694,149626907
700,0;0,075;границы зёрен;16,608102590481604;20,34063975450886;21,426574333300938;9807353,214529725
700,0;0,075;границы зёрен;29,37467561130102;20,347178757693445;21,433368507113943;9701155,384125637
700,0;0,075;границы зёрен;52,01283826730367;20,39087930335334;21,478772844418977;8990216,020217024
700,0;0,075;границы зёрен;92,03015654091698;20,46583966065568;21,55664955395559;7765790,202208921
700,0;0,075;границы зёрен;100,0;20,47790027834916;21,569178662435647;7568202,649031274
700,0;0,075;границы зёрен;163,12719272588333;20,545033597771365;21,638916052862097;6465381,303455952
700,0;0,075;границы зёрен;200,0;20,57042472434532;21,665290454401838;6046948,469425669
700,0;0,075;границы зёрен;288,7174737159799;20,612998200883528;21,709510580901725;5343719,421552782
700,0;0,075;границы зёрен;511,4395446510807;20,66917876074499;21,767860222013564;4412568,718010103
700,0;0,075;границы зёрен;905,497150370787;20,715352492590995;21,81581339154847;3644566,5888761575
700,0;0,075;границы зёрен;1000,0;20,72265664597995;21,823398759711573;3522852,765705304
700,0;0,075;границы зёрен;1603,9362664671655;20,753179551226637;21,85509601378236;3013563,427907945
700,0;0,075;границы зёрен;2841,727665026608;20,784389098673184;21,88750498765329;2491701,957233481
700,0;0,075;границы зёрен;5031,067327929713;20,810103416527397;21,91420652420963;2060877,1725778126
700,0;0,075;границы зёрен;8909,298059709603;20,83075349245631;21,935648727444907;1714342,2509435904
700,0;0,075;границы зёрен;10000,0;20,831397015999286;21,936316926718824;1703535,0963973117
700,0;0,075;границы зёрен;15771,716424508822;20,843303697672074;21,948680062829133;1503490,265557923
700,0;0,075;границы зёрен;27935,287109384655;20,85965656918721;21,9656595163982;1228474,3108255384
700,0;0,075;границы зёрен;49472,72350967822;20,873198027654244;21,9797195522844;1000502,2635358234
700,0;0,075;границы зёрен;87600,0;20,88454035238981;21,991496041104146;809387,1711901911
700,0;0,1;границы зёрен;0,001;6,502774678968928e-18;6,944611669378005e-18;209012354,72573882
700,0;0,1;границы зёрен;0,001790152568779916;3,4504694180629847e-12;3,684914727709971e-12;209012354,72568357
700,0;0,1;границы зёрен;0,003142473614718385;8,395714468643885e-09;8,966168989361666e-09;209012354,67542487
700,0;0,1;границы зёрен;0,005517002650649044;1,2058428337283338e-06;1,2877749301029652e-06;209012347,5045091
700,0;0,1;границы зёрен;0,009860414740556824;3,239063098413769e-05;3,459144135624785e-05;209012160,7532153
700,0;0,1;границы зёрен;0,010000000000000002;3,4570144324916184e-05;3,6919043624284113e-05;209012147,70113558
