T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;средний радиус, нм;число выделений, 1/м³;критический радиус, нм;скорость зарождения, 1/(м³·с)
700,0;0,05;объём зерна;0,001;0,6993099834134548;6,154205040812865e+25;0,6504797166263118;8,617507134051528e+24
700,0;0,05;объём зерна;0,0017685442074876854;0,7195585888315682;7,243813769786176e+25;0,7565339279507157;2,1280601644325886e+24
700,0;0,05;объём зерна;0,0031316202968527567;0,7050965672132605;7,928787934243252e+25;0,8208996911398857;1,201297146204701e+24
700,0;0,05;объём зерна;0,00555430532202441;0,7618899043060267;6,065495541481284e+25;0,8633604747084417;8,384908941466155e+23
700,0;0,05;объём зерна;0,009832510942448254;0,9226817757769133;3,986233134209208e+25;0,9409390115051707;1,4280929238954737e+23
700,0;0,05;объём зерна;0,010000000000000002;0,9268118578557881;3,948136268186044e+25;0,9432576566579552;1,3474700801831588e+23
700,0;0,05;объём зерна;0,017427793273987413;1,045910802014283;3,0368678838223237e+25;1,027767924812083;1,3082967383956311e+22
700,0;0,05;объём зерна;0,03087734327759991;1,1404386480944855;2,437230677461763e+25;1,1265065759957995;5,6974169739568375e+20
700,0;0,05;объём зерна;0,05462087528803039;1,3095559897413216;1,6168535436277635e+25;1,2805632851824194;1,950081407118485e+18
700,0;0,05;объём зерна;0,09679668470671376;1,618069509579429;8,976064471912475e+24;1,5878880750940914;2177917510552,58
700,0;0,05;объём зерна;0,10000000000000002;1,63938971736968;8,663594840869321e+24;1,6086936521048798;773522196332,7284
700,0;0,05;объём зерна;0,17138700225073214;2,0113681552928244;4,907282699640701e+24;1,9917437469597943;365,268567347648
700,0;0,05;объём зерна;0,30346904889058246;2,4665110901670997;2,749001216486338e+24;2,4548050268468296;4,326925888405416e-12
700,0;0,05;объём зерна;0,5372344467182297;3,001335582584889;1,5615737794556732e+24;2,9992165137558913;3,522504684569787e-32
700,0;0,05;объём зерна;0,9510852943066899;3,6357320128206525;8,95164664885051e+23;3,6459176612027875;2,9121005958777537e-61
700,0;0,05;объём зерна;1,0;3,6970601199858137;8,527822639368533e+23;3,7085766516055005;2,2145472645156676e-64
700,0;0,05;объём зерна;1,6847749260777738;4,41532476705971;5,099655981691581e+23;4,431302932564967;3,3576851555954126e-104
700,0;0,05;объём зерна;2,9869342853008063;5,322553824782472;2,925111349472122e+23;5,3623583740827305;6,333808832560401e-166
700,0;0,05;объём зерна;5,287018601313384;6,432663009112491;1,6703942865711855e+23;6,490261946979287;2,0035162784893615e-256
700,0;0,05;объём зерна;9,365247158579479;7,782223065192653;9,532082332874662e+22;7,850985584151309;0,0
700,0;0,05;объём зерна;10,0;7,950973786476604;8,943085020515105e+22;8,021764582958498;0,0
700,0;0,05;объём зерна;16,559865706837414;9,410270312392884;5,427513617775549e+22;9,510980125901556;0,0
700,0;0,05;объём зерна;29,370193607489256;11,37423523255111;3,0833967922327467e+22;11,49632256354727;0,0
700,0;0,05;объём зерна;51,99822072419363;13,74667103449854;1,751081300800858e+22;13,905801011202552;0,0
700,0;0,05;объём зерна;92,03435666638124;16,60410357192444;9,971725790968063e+21;16,811974120776693;0,0
700,0;0,05;объём зерна;100,0;17,072031972081444;9,186192885363634e+21;17,273539647436273;0,0
700,0;0,05;объём зерна;162,97306544263503;20,104159745728676;5,641813371270797e+21;20,368421550703875;0,0
700,0;0,05;объём зерна;200,0;21,482225058167227;4,6124714253318766e+21;21,772410622955338;0,0
700,0;0,05;объём зерна;288,70452194463627;24,237963745972973;3,2070490253806797e+21;24,595471434290996;0,0
700,0;0,05;объём зерна;510,95112018128617;29,315484827344108;1,8154233125280431e+21;29,744661768373923;0,0
700,0;0,05;объём зерна;905,7007211636865;35,45305559634584;1,0291945579017796e+21;35,97368632778914;0,0
700,0;0,05;объём зерна;1000,0;36,63622475165537;9,332874579453338e+20;37,16794505153399;0,0
700,0;0,05;объём зерна;1604,016320673965;43,19306147856147;5,77252757323471e+20;42,3507039372163;0,0
700,0;0,05;объём зерна;2839,574892824825;52,04407593181487;3,279794136699071e+20;49,19975960145644;0,0
700,0;0,05;объём зерна;5027,681664992992;63,008636954356106;1,8518922022345166e+20;60,528991938249334;0,0
700,0;0,05;объём зерна;8904,89260602191;76,21678767512003;1,049070456004788e+20;72,21719202922584;0,0
700,0;0,05;объём зерна;10000,0;79,30819191941642;9,338768357022115e+19;78,72423963743142;0,0
700,0;0,05;объём зерна;15772,055099942716;92,98406764807308;5,869671222561154e+19;80,70338610219021;0,0
700,0;0,05;объём зерна;27936,995944406055;112,31068583424741;3,3227914594269745e+19;86,01392104024734;0,0
700,0;0,05;объём зерна;49461,82984480851;136,14022939175427;1,8740728504281182e+19;132,89136409196198;0,0
700,0;0,05;объём зерна;87600,0;164,56817737820145;1,0622444091759323e+19;163,58274577055516;0,0
700,0;0,075;объём зерна;0,001;0,8405130095865919;6,245797293100705e+22;0,7179412553410647;9,459513243697277e+22
700,0;0,075;объём зерна;0,0017659470015914864;0,8520957059536707;6,459412863010721e+23;0,7207023474882429;3,411496989760419e+23
700,0;0,075;объём зерна;0,003177098772755813;0,8761300114298851;2,8707700167566385e+24;0,7328117276805971;4,9191530753977194e+23
700,0;0,075;объём зерна;0,00554616263666566;0,9326845963769614;6,178028838167863e+24;0,7596788439512866;2,884336343402119e+23
700,0;0,075;объём зерна;0,009879315591670134;1,0595186437678188;8,395894789830392e+24;0,8124277081846752;5,229316071372299e+22
700,0;0,075;объём зерна;0,010000000000000002;1,0633337768538296;8,417361361519098e+24;0,8140447325737984;4,93404287404427e+22
700,0;0,075;объём зерна;0,01740423360334369;1,2906942831502708;8,714777586961516e+24;0,9488581575787293;2,0842244446689735e+20
700,0;0,075;объём зерна;0,030860091293433475;1,5092759003968637;8,36824617581424e+24;1,298236066712941;2180350153531,3545
700,0;0,075;объём зерна;0,05459900455318852;1,7409285834717412;6,334038447607185e+24;1,664184208562623;21,875097901627825
700,0;0,075;объём зерна;0,09667804047862147;2,0423236351952987;4,215568572433689e+24;1,9916431322646402;1,6184453085520308e-11
700,0;0,075;объём зерна;0,10000000000000002;2,065919130184176;4,0979960526029497e+24;2,0132074720729363;2,1549163571128237e-12
700,0;0,075;объём зерна;0,17130902361183714;2,426486592061905;2,647962039255422e+24;2,3905969718103552;2,988764248800887e-29
700,0;0,075;объём зерна;0,3036081019487765;2,902106396357486;1,6092173773452497e+24;2,8805245353270523;1,8471570487880354e-55
700,0;0,075;объём зерна;0,5371553852711012;3,48818895134562;9,592073750460454e+23;3,477390623764817;5,528580261580192e-94
700,0;0,075;объём зерна;0,9523275685371821;4,206689349005027;5,628180675731016e+23;4,210916393192473;3,0380140799757818e-151
