T, °C;межфазная энергия, Дж/м²;места зарождения;узлов;до, ч;равновесие 12-2, мольн. %;равновесие двухфазной задачи, мольн. %;P-фаза в конце, мольн. %;доля равновесия 12-2 в конце, %;доля двухфазного равновесия в конце, %;радиус в конце, нм;число выделений в конце, 1/м³;выделения появились;первый узел с выделениями, ч;дошло до 90 % равновесия;первый узел на 90 % равновесия, ч;критический радиус в конце, нм;движущая сила в конце, Дж/м³
580,0;0,05;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;26,7152182336465;94,664265796907;94,26489027455246;30,18532265971822;6,950742152382397e+21;да;0,9544750656424599;да;91,97350895623526;28,221595622728948;3543385,758084585
580,0;0,05;объём зерна;40;87600,0;28,221016672713027;28,34058169042232;26,725443625450595;94,70049904790103;94,30097066244213;30,458773114884316;2,1418461496262881e+21;да;0,018225078629878277;да;100,0;30,442473871319866;3284884,1530651986
580,0;0,075;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;26,6855806188099;94,55924614017275;94,16031368131118;34,505292113668546;4,6417778607201777e+21;да;1,685226342719292;да;163,2622860918517;34,956274751100246;4291075,095045097
580,0;0,075;объём зерна;41;87600,0;28,221016672713027;28,34058169042232;26,6859219974421;94,56045580117171;94,16151823891671;34,578563635585176;1,4419968450687305e+21;да;0,05578890415939769;да;288,72174904660227;35,02646546515158;4282476,065112465
580,0;0,1;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;26,64944552393969;94,43120293290889;94,03281067073458;37,9106480544234;3,4954273651799396e+21;да;2,9910703324141736;да;200,0;38,46480748418595;5199558,065700085
580,0;0,1;объём зерна;41;87600,0;28,221016672713027;28,34058169042232;26,64987025006865;94,43270793229954;94,03430932073971;38,02373655614791;1,0835172104880996e+21;да;0,3070478726385391;да;511,03793869255117;38,54381657950259;5188899,744462747
580,0;0,125;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;26,614380842576253;94,30695269143072;93,9090846239425;40,70151442259295;2,8356729558917663e+21;да;5,307270271100993;да;511,6819484678698;41,132824930741556;6077870,907746889
580,0;0,125;объём зерна;40;87600,0;28,221016672713027;28,34058169042232;26,688561056105858;94,56980719589417;94,17083018139053;60,59453306188129;3,075773349209942e+20;да;52,03141444802488;да;2836,0715497986175;59,29805144099298;4215990,136687257
580,0;0,15;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;26,698416724938458;94,60473034890066;94,20560599841593;78,36576096010229;4,689140936818921e+20;да;51,97604324081826;да;5024,1431342140895;75,61372332795361;3967533,759696411
580,0;0,15;объём зерна;40;87600,0;28,221016672713027;28,34058169042232;26,59322855022712;94,23200042236672;93,83444856819678;47,80267774519903;5,2975949181496223e+20;да;8903,151200440574;да;8903,151200440574;45,41217015013049;6606158,635630364
580,0;0,175;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;26,58021086662138;94,18587280139292;93,78851555331394;50,08947550311866;1,43216164506385e+21;да;1602,2410425869841;да;8901,479421980508;50,49990159627638;6930706,574402659
580,0;0,175;объём зерна;41;87600,0;28,221016672713027;28,34058169042232;7,648906211101993e-27;2,710358134793117e-26;2,6989235064596207e-26;0,9970000000000002;0,02136589032712822;нет;;нет;;1,1311890602339156;309408932,86894447
580,0;0,2;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;26,549937593491503;94,07860071590797;93,6816960340092;51,674659202337935;1,3490369634620358e+21;да;15769,380722010059;да;15769,380722010059;52,057752795328625;7683773,857328199
580,0;0,2;объём зерна;41;87600,0;28,221016672713027;28,34058169042232;0,0;0,0;0,0;0,0;2,0813077863621485e-19;нет;;нет;;1,292787497409968;309408932,86899745
580,0;0,25;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;2,402904298579946e-29;8,514591541641094e-29;8,478669650566862e-29;0,9970000000000002;0,00021478705914014818;нет;;нет;;1,615984371762563;309408932,8689777
580,0;0,25;объём зерна;41;87600,0;28,221016672713027;28,34058169042232;0,0;0,0;0,0;0,0;1,450214058900452e-68;нет;;нет;;1,615984371762685;309408932,86895436
580,0;0,5;границы зёрен;41;87600,0;28,221016672713027;28,34058169042232;0,0;0,0;0,0;0,0;8,230886804137878e-225;нет;;нет;;3,2319687435252984;309408932,8689613
580,0;0,5;объём зерна;41;87600,0;28,221016672713027;28,34058169042232;0,0;0,0;0,0;0,0;0,0;нет;;нет;;3,2319687435249596;309408932,86899364
