T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;CR в сплаве, масс. %;CR в матрице, масс. %;CR, сдвиг от сплава, масс. %;CR равновесно в двухфазной задаче, масс. %;CR равновесно по 12-2, масс. %;MO в сплаве, масс. %;MO в матрице, масс. %;MO, сдвиг от сплава, масс. %;MO равновесно в двухфазной задаче, масс. %;MO равновесно по 12-2, масс. %
664,0;0,125;объём зерна;0,001;23,5;23,500000000000004;3,552713678800501e-15;21,26733773910605;21,33522098927273;13,0;12,999999999999998;-1,7763568394002505e-15;6,314368866491948;6,284740223196707
664,0;0,125;объём зерна;0,0017440984717019639;23,5;23,500000000000004;3,552713678800501e-15;21,26733773905459;21,33522098927273;13,0;12,999999999999998;-1,7763568394002505e-15;6,314368866269454;6,284740223196707
664,0;0,125;объём зерна;0,0033218317745330136;23,5;23,500000000000004;3,552713678800501e-15;21,26733773923576;21,33522098927273;13,0;12,999999999999998;-1,7763568394002505e-15;6,314368866540713;6,284740223196707
664,0;0,125;объём зерна;0,005921797047682754;23,5;23,500000000000004;3,552713678800501e-15;21,267337739085185;21,33522098927273;13,0;12,999999999999998;-1,7763568394002505e-15;6,314368866047261;6,284740223196707
664,0;0,125;объём зерна;0,00979795946779563;23,5;23,500000000000004;3,552713678800501e-15;21,26733773931592;21,33522098927273;13,0;12,999999999999998;-1,7763568394002505e-15;6,314368866167187;6,284740223196707
664,0;0,125;объём зерна;0,010000000000000002;23,5;23,500000000000004;3,552713678800501e-15;21,267337739206873;21,33522098927273;13,0;12,999999999999998;-1,7763568394002505e-15;6,314368866653552;6,284740223196707
664,0;0,125;объём зерна;0,017581200052690617;23,5;23,5;0,0;21,26733773906759;21,33522098927273;13,0;12,999999999999993;-7,105427357601002e-15;6,314368866017361;6,284740223196707
664,0;0,125;объём зерна;0,031046457863324148;23,5;23,499999999999993;-7,105427357601002e-15;21,26733773912595;21,33522098927273;13,0;12,999999999999964;-3,552713678800501e-14;6,314368866622436;6,284740223196707
664,0;0,125;объём зерна;0,05471907153953587;23,5;23,499999999999964;-3,552713678800501e-14;21,267337739014003;21,33522098927273;13,0;12,999999999999886;-1,1368683772161603e-13;6,314368866072782;6,284740223196707
664,0;0,125;объём зерна;0,09653327841548859;23,5;23,499999999999858;-1,4210854715202004e-13;21,267337739171808;21,33522098927273;13,0;12,999999999999577;-4,227729277772596e-13;6,314368866382428;6,284740223196707
664,0;0,125;объём зерна;0,10000000000000002;23,5;23,499999999999847;-1,5276668818842154e-13;21,26733773918551;21,33522098927273;13,0;12,99999999999954;-4,600764214046649e-13;6,314368866549783;6,284740223196707
664,0;0,125;объём зерна;0,17156076131466094;23,5;23,4999999999993;-6,998845947236987e-13;21,267337739261578;21,33522098927273;13,0;12,999999999997895;-2,104982854689297e-12;6,314368866393527;6,284740223196707
664,0;0,125;объём зерна;0,3042707661891717;23,5;23,499999999995694;-4,305888978706207e-12;21,267337739291733;21,33522098927273;13,0;12,999999999987091;-1,290878515192162e-11;6,314368866612924;6,284740223196707
664,0;0,125;объём зерна;0,5374637026226394;23,5;23,499999999974253;-2,574651603026723e-11;21,26733773929717;21,33522098927273;13,0;12,9999999999229;-7,709921590048907e-11;6,314368866755435;6,284740223196707
664,0;0,125;объём зерна;0,9508713168224479;23,5;23,499999999857366;-1,426343487764825e-10;21,267337739156932;21,33522098927273;13,0;12,999999999572868;-4,271321074611478e-10;6,314368866191317;6,284740223196707
664,0;0,125;объём зерна;1,0;23,5;23,499999999834728;-1,652722403377993e-10;21,267337739248678;21,33522098927273;13,0;12,99999999950508;-4,949196608095008e-10;6,314368866186142;6,284740223196707
664,0;0,125;объём зерна;1,6835835696478325;23,5;23,499999999270948;-7,290523740266508e-10;21,267337739145574;21,33522098927273;13,0;12,99999999781687;-2,183130121125032e-09;6,31436886651306;6,284740223196707
