T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;мольная доля P-фазы, %;объёмная доля P-фазы, %;движущая сила, Дж/м³
664,0;0,125;объём зерна;0,001;4,375112669649136e-23;4,6846572966550436e-23;239035263,589926
664,0;0,125;объём зерна;0,0017440984717019639;1,2145368717066332e-19;1,3004668559891868e-19;239035263,5899604
664,0;0,125;объём зерна;0,0033218317745330136;3,5053021465358185e-17;3,7533066043454625e-17;239035263,58992693
664,0;0,125;объём зерна;0,005921797047682754;1,0159739453824409e-15;1,0878553572950507e-15;239035263,58994162
664,0;0,125;объём зерна;0,00979795946779563;7,81371811976304e-15;8,366548330900281e-15;239035263,58986703
664,0;0,125;объём зерна;0,010000000000000002;8,407265623597118e-15;9,00209005398251e-15;239035263,58987755
664,0;0,125;объём зерна;0,017581200052690617;4,424063140683124e-14;4,737071073994968e-14;239035263,5899243
664,0;0,125;объём зерна;0,031046457863324148;1,6350542823408625e-13;1,7507363929920155e-13;239035263,58990324
664,0;0,125;объём зерна;0,05471907153953587;5,275255571648375e-13;5,648486421133602e-13;239035263,58989292
664,0;0,125;объём зерна;0,09653327841548859;1,9236735663774306e-12;2,0597758479749386e-12;239035263,58985958
664,0;0,125;объём зерна;0,10000000000000002;2,1036255429092025e-12;2,2524596491842606e-12;239035263,5898984
664,0;0,125;объём зерна;0,17156076131466094;9,585537408041774e-12;1,0263726022978886e-11;239035263,58989277
664,0;0,125;объём зерна;0,3042707661891717;5,883383190729048e-11;6,299639820630183e-11;239035263,5895643
664,0;0,125;объём зерна;0,5374637026226394;3,513239844100653e-10;3,76180590381942e-10;239035263,5878648
664,0;0,125;объём зерна;0,9508713168224479;1,9463601669957164e-09;2,0840675536143118e-09;239035263,57853156
664,0;0,125;объём зерна;1,0;2,255248287318802e-09;2,414809890093008e-09;239035263,57670787
664,0;0,125;объём зерна;1,6835835696478325;9,948032586478836e-09;1,0651868183092888e-08;239035263,5317508
664,0;0,125;объём зерна;2,9898597620739986;4,805534362171636e-08;5,145531855551933e-08;239035263,30880886
664,0;0,125;объём зерна;5,291923697953372;1,983120080142337e-07;2,1234282757393472e-07;239035262,430102
664,0;0,125;объём зерна;9,362453735090654;7,063016753639566e-07;7,562733911822517e-07;239035259,45912823
664,0;0,125;объём зерна;10,0;8,151300435807525e-07;8,728015007867914e-07;239035258,82273364
664,0;0,125;объём зерна;16,57803260261845;2,4701415309307566e-06;2,6449070915812487e-06;239035249,14355576
664,0;0,125;объём зерна;29,37898533210012;9,224394264749775e-06;9,877031491630932e-06;239035209,64218986
664,0;0,125;объём зерна;51,9909823052746;3,652430756380113e-05;3,9108446440578786e-05;239035049,98197907
664,0;0,125;объём зерна;92,16242023677853;0,00015778315560089078;0,00016894648994701542;239034340,81226194
664,0;0,125;объём зерна;100,0;0,00019454156380527615;0,00020830559113715276;239034125,83385575
664,0;0,125;объём зерна;163,1935830219518;0,0006713583891615414;0,0007188574832318516;239031337,18510228
664,0;0,125;объём зерна;200,0;0,0010740106583920443;0,0011499973656016037;239028982,2463889
664,0;0,125;объём зерна;289,3717434918904;22,295953419572196;23,502672937651173;11394891,894261442
664,0;0,125;объём зерна;511,3897205075709;22,422865252265233;23,63436438171282;9071629,259688575
664,0;0,125;объём зерна;907,3062767391416;22,512883097335436;23,727758266562844;7410143,7236378435
664,0;0,125;объём зерна;1000,0;22,526681011533462;23,742072624363715;7154462,978623057
664,0;0,125;объём зерна;1605,2716367799053;22,580108329885462;23,79749708470978;6161886,858922466
664,0;0,125;объём зерна;2840,896341842509;22,62277578899105;23,84175651454969;5366285,981647286
664,0;0,125;объём зерна;5024,644376638283;22,661114720729344;23,881523671476415;4649170,250595134
664,0;0,125;объём зерна;8893,686705782091;22,693599313144187;23,91521673796034;4039899,540709664
664,0;0,125;объём зерна;10000,0;22,70722827199348;23,929352259988036;3783824,372265395
664,0;0,125;объём зерна;15773,914414331944;22,747856586471197;23,97148906175351;3018855,6568985945
664,0;0,125;объём зерна;27937,134623865615;22,767424874606256;23,991783049532778;2649556,2627540664
664,0;0,125;объём зерна;49500,92726439408;22,79405063670317;24,019395353031708;2146165,71991859
664,0;0,125;объём зерна;87600,0;22,81362901690045;24,039698500878618;1775349,9959050992
664,0;0,15;объём зерна;0,001;0,0;0,0;239035263,58991128
664,0;0,15;объём зерна;0,001769908906321979;0,0;0,0;239035263,58992544
664,0;0,15;объём зерна;0,0031355141082460083;7,720805572928862e-34;8,267062106580384e-34;239035263,5899252
664,0;0,15;объём зерна;0,005554586920350339;1,9526193076197578e-32;2,0907695361737948e-32;239035263,58987278
664,0;0,15;объём зерна;0,009835356723973405;1,5471276248449001e-31;1,6565888158412812e-31;239035263,589932
664,0;0,15;объём зерна;0,010000000000000002;1,5344573023753804e-31;1,6430220524023482e-31;239035263,58985287
664,0;0,15;объём зерна;0,01590054447470125;9,230790461178103e-29;9,883880291320515e-29;239035263,58989334
664,0;0,15;объём зерна;0,025291960639474968;3,0284716230446584e-28;3,2427397321739516e-28;239035263,58990183
664,0;0,15;объём зерна;0,04904469344254844;1,2075282036542303e-27;1,292962316012584e-27;239035263,5898854
664,0;0,15;объём зерна;0,09662144099983742;2,00089898224788e-27;2,142465057433343e-27;239035263,58992845
664,0;0,15;объём зерна;0,10000000000000002;3,0339625283161477e-28;3,2486191257776335e-28;239035263,58993107
664,0;0,15;объём зерна;0,6706799316721115;5,1597828297505613e-26;5,524843840075287e-26;239035263,58996242
664,0;0,15;объём зерна;1,0;3,5147097976695644e-26;3,763379858420453e-26;239035263,58988953
664,0;0,15;объём зерна;1,6596284261808287;3,572836576612749e-26;3,8256191787918487e-26;239035263,58990416
664,0;0,15;объём зерна;2,9828476691377266;3,613462070763604e-26;3,869118976848313e-26;239035263,589935
664,0;0,15;объём зерна;5,311249217294933;3,651354421940157e-26;3,9096922586881365e-26;239035263,5899019
664,0;0,15;объём зерна;9,340891907655152;3,701888688455786e-26;3,963801886996871e-26;239035263,58986548
664,0;0,15;объём зерна;10,0;3,5211396880147865e-26;3,770264671451989e-26;239035263,58991215
664,0;0,15;объём зерна;16,49021999648011;3,595138851766945e-26;3,8494993674685657e-26;239035263,589908
664,0;0,15;объём зерна;29,184852665014454;3,7362927332760145e-26;4,000640060495717e-26;239035263,5899573
664,0;0,15;объём зерна;52,049007900957854;3,988279904366994e-26;4,2704556352817006e-26;239035263,5898596
664,0;0,15;объём зерна;91,86649277936745;4,425893092552311e-26;4,7390304972198786e-26;239035263,5899169
664,0;0,15;объём зерна;100,0;4,408877938111317e-26;4,720811499579275e-26;239035263,58988196
664,0;0,15;объём зерна;163,11933063855682;5,1019516379345156e-26;5,462921019985486e-26;239035263,58991528
664,0;0,15;объём зерна;200,0;2,115958354699467e-26;2,2656650226463762e-26;239035263,58993664
664,0;0,15;объём зерна;288,78988255255405;3,090548095440078e-26;3,309208191689334e-26;239035263,58992562
664,0;0,15;объём зерна;511,48852885567817;5,534972304822901e-26;5,92657843407073e-26;239035263,58989537
664,0;0,15;объём зерна;905,8136828876837;9,863236510173173e-26;1,0561072679694595e-25;239035263,58987635
664,0;0,15;объём зерна;1000,0;7,919272634554193e-26;8,479570958029769e-26;239035263,58996454
664,0;0,15;объём зерна;1603,312874325018;1,454144581146751e-25;1,5570271069171858e-25;239035263,5899065
664,0;0,15;объём зерна;2840,889550896684;2,812555022564673e-25;3,011546765436336e-25;239035263,5898644
664,0;0,15;объём зерна;5029,378769997585;2,911883297785763e-25;3,1179026388534093e-25;239035263,58989158
664,0;0,15;объём зерна;8905,812459359193;5,451387911058694e-25;5,837080341175814e-25;239035263,58998644
664,0;0,15;объём зерна;10000,0;1,5083603877200743e-25;1,6150787487913879e-25;239035263,58991307
664,0;0,15;объём зерна;15772,553299019673;8,152009282987982e-25;8,728774011895769e-25;239035263,58991653
664,0;0,15;объём зерна;27931,866102759686;5,384219303131311e-25;5,7651594712480435e-25;239035263,58988732
664,0;0,15;объём зерна;49465,323750793024;1,2241088711321573e-25;1,310716086200658e-25;239035263,58993888
664,0;0,15;объём зерна;87600,0;9,396246378218013e-26;1,006104241891846e-25;239035263,5898748
664,0;0,175;объём зерна;0,001;0,0;0,0;239035263,58988386
664,0;0,175;объём зерна;0,001769908906321979;0,0;0,0;239035263,58988646
664,0;0,175;объём зерна;0,0031355141082460083;0,0;0,0;239035263,58991882
664,0;0,175;объём зерна;0,005554586920350339;0,0;0,0;239035263,58988923
664,0;0,175;объём зерна;0,009835356723973405;0,0;0,0;239035263,58989334
664,0;0,175;объём зерна;0,010000000000000002;0,0;0,0;239035263,5898959
664,0;0,175;объём зерна;0,01741420532255206;0,0;0,0;239035263,58987415
664,0;0,175;объём зерна;0,03084270003851134;0,0;0,0;239035263,58987233
664,0;0,175;объём зерна;0,054614930997190225;0,0;0,0;239035263,58986223
664,0;0,175;объём зерна;0,09671041261606801;0,0;0,0;239035263,5899101
664,0;0,175;объём зерна;0,10000000000000002;0,0;0,0;239035263,58990514
664,0;0,175;объём зерна;0,17127951419477566;0,0;0,0;239035263,5899094
664,0;0,175;объём зерна;0,3035281041009391;0,0;0,0;239035263,5899393
664,0;0,175;объём зерна;0,5373684155160052;0,0;0,0;239035263,58992872
664,0;0,175;объём зерна;0,9511271808247345;0,0;0,0;239035263,58992517
664,0;0,175;объём зерна;1,0;0,0;0,0;239035263,5899574
664,0;0,175;объём зерна;1,6852501600765406;0,0;0,0;239035263,5899747
664,0;0,175;объём зерна;2,9833301265324974;0,0;0,0;239035263,58988896
664,0;0,175;объём зерна;5,2830095737983225;0,0;0,0;239035263,5899161
664,0;0,175;объём зерна;9,35969844997168;0,0;0,0;239035263,58995637
664,0;0,175;объём зерна;10,0;0,0;0,0;239035263,58987975
664,0;0,175;объём зерна;16,570959545682157;0,0;0,0;239035263,58986932
664,0;0,175;объём зерна;29,350528588955715;0,0;0,0;239035263,58991173
664,0;0,175;объём зерна;51,97073204951477;0,0;0,0;239035263,58991018
664,0;0,175;объём зерна;92,06645694618066;0,0;0,0;239035263,58991554
664,0;0,175;объём зерна;100,0;0,0;0,0;239035263,5898969
664,0;0,175;объём зерна;163,07792971802743;0,0;0,0;239035263,58990732
664,0;0,175;объём зерна;200,0;0,0;0,0;239035263,589942
664,0;0,175;объём зерна;288,7106794656684;0,0;0,0;239035263,58990127
664,0;0,175;объём зерна;511,2587749415865;0,0;0,0;239035263,58994314
664,0;0,175;объём зерна;905,6521559651597;0,0;0,0;239035263,58993816
664,0;0,175;объём зерна;1000,0;0,0;0,0;239035263,5899223
664,0;0,175;объём зерна;1603,2837532047117;0,0;0,0;239035263,5899678
664,0;0,175;объём зерна;2839,0358009060474;0,0;0,0;239035263,5898877
664,0;0,175;объём зерна;5028,633571792196;0,0;0,0;239035263,58988634
664,0;0,175;объём зерна;8908,86767615496;0,0;0,0;239035263,58992025
664,0;0,175;объём зерна;10000,0;0,0;0,0;239035263,5899013
664,0;0,175;объём зерна;15765,470162594047;0,0;0,0;239035263,58989817
664,0;0,175;объём зерна;27940,049585849076;0,0;0,0;239035263,58988512
664,0;0,175;объём зерна;49468,135641063185;0,0;0,0;239035263,58986452
664,0;0,175;объём зерна;87600,0;0,0;0,0;239035263,58992708
664,0;0,2;объём зерна;0,001;0,0;0,0;239035263,58995146
664,0;0,2;объём зерна;0,001769908906321979;0,0;0,0;239035263,5898983
664,0;0,2;объём зерна;0,0031355141082460083;0,0;0,0;239035263,5898544
664,0;0,2;объём зерна;0,005554586920350339;0,0;0,0;239035263,5898816
664,0;0,2;объём зерна;0,009835356723973405;0,0;0,0;239035263,5898973
664,0;0,2;объём зерна;0,010000000000000002;0,0;0,0;239035263,58989444
664,0;0,2;объём зерна;0,01741420532255206;0,0;0,0;239035263,58990073
664,0;0,2;объём зерна;0,03084270003851134;0,0;0,0;239035263,58993047
664,0;0,2;объём зерна;0,054614930997190225;0,0;0,0;239035263,58986977
664,0;0,2;объём зерна;0,09671041261606801;0,0;0,0;239035263,5899046
664,0;0,2;объём зерна;0,10000000000000002;0,0;0,0;239035263,58990183
664,0;0,2;объём зерна;0,17127951419477566;0,0;0,0;239035263,5898973
664,0;0,2;объём зерна;0,3035281041009391;0,0;0,0;239035263,58990103
664,0;0,2;объём зерна;0,5373684155160052;0,0;0,0;239035263,58987632
664,0;0,2;объём зерна;0,9511271808247345;0,0;0,0;239035263,58990443
664,0;0,2;объём зерна;1,0;0,0;0,0;239035263,58988142
664,0;0,2;объём зерна;1,6852501600765406;0,0;0,0;239035263,58990335
664,0;0,2;объём зерна;2,9833301265324974;0,0;0,0;239035263,5899154
664,0;0,2;объём зерна;5,2830095737983225;0,0;0,0;239035263,589884
664,0;0,2;объём зерна;9,35969844997168;0,0;0,0;239035263,58988315
664,0;0,2;объём зерна;10,0;0,0;0,0;239035263,58988762
664,0;0,2;объём зерна;16,570959545682157;0,0;0,0;239035263,58987662
664,0;0,2;объём зерна;29,350528588955715;0,0;0,0;239035263,58991873
664,0;0,2;объём зерна;51,97073204951477;0,0;0,0;239035263,58992997
664,0;0,2;объём зерна;92,06645694618066;0,0;0,0;239035263,58990532
664,0;0,2;объём зерна;100,0;0,0;0,0;239035263,58996302
664,0;0,2;объём зерна;163,07792971802743;0,0;0,0;239035263,5899379
664,0;0,2;объём зерна;200,0;0,0;0,0;239035263,5899549
664,0;0,2;объём зерна;288,7106794656684;0,0;0,0;239035263,589866
664,0;0,2;объём зерна;511,2587749415865;0,0;0,0;239035263,58987623
664,0;0,2;объём зерна;905,6521559651597;0,0;0,0;239035263,58992407
664,0;0,2;объём зерна;1000,0;0,0;0,0;239035263,58994082
664,0;0,2;объём зерна;1603,2837532047117;0,0;0,0;239035263,58989155
664,0;0,2;объём зерна;2839,0358009060474;0,0;0,0;239035263,58991078
