вид;T, °C;Ni, ат. %;Cr, ат. %;Mo, ат. %;фазовый набор;фаз;в экспериментальном поле P (1100 °C);pdens;BCC_B2, мольн. %;DELTA, мольн. %;D_NIMO, мольн. %;FCC_A1, мольн. %;MU_PHASE, мольн. %;P_PHASE, мольн. %;SIGMA, мольн. %;до устойчивости D_NIMO, Дж/моль;до устойчивости MU_PHASE, Дж/моль;до устойчивости P_PHASE, Дж/моль;до устойчивости SIGMA, Дж/моль
ребро Ni–Mo;600,0;65,0;0,0;35,0;DELTA + D_NIMO;2;нет;100;0,0;57,988238734474166;42,011761261563755;0,0;0,0;0,0;0,0;2,7539230359252542e-05;1656,2175483157334;24911,04128145941;2482,18875200006
ребро Ni–Mo;600,0;62,5;0,0;37,5;DELTA + D_NIMO;2;нет;100;0,0;47,57925217892491;52,420747820877786;0,0;0,0;0,0;0,0;2,772649168036878e-05;1656,2178596961094;24398,077340919423;2482,189064823753
ребро Ni–Mo;600,0;60,0;0,0;40,0;DELTA + D_NIMO;2;нет;100;0,0;37,17027848362965;62,82972151630478;0,0;0,0;0,0;0,0;2,8019858291372657e-05;1656,2183454715196;23757,95426865114;2482,1895528508394
ребро Ni–Mo;600,0;57,5;0,0;42,5;DELTA + D_NIMO;2;нет;100;0,0;26,761332920311204;73,23866708010254;0,0;0,0;0,0;0,0;2,854523336282e-05;1656,2192091368706;22906,09597730392;2482,1904205194587
ребро Ni–Mo;600,0;55,0;0,0;45,0;DELTA + D_NIMO;2;нет;100;0,0;16,35246907265693;83,6475309273462;0,0;0,0;0,0;0,0;2,9757648007944226e-05;1656,221172303245;21628,956165006304;2482,1923927854295
ребро Ni–Mo;600,0;52,5;0,0;47,5;DELTA + D_NIMO;2;нет;100;0,0;5,944116550251374;94,05588344974996;0,0;0,0;0,0;0,0;3,5527744330465794e-05;1656,223739508183;19005,1748240225;2482,201271992264
ребро Ni–Mo;600,0;50,0;0,0;50,0;D_NIMO + FCC_A1;2;нет;100;0,0;0,0;99,99923472901557;0,0007652711251526768;0,0;0,0;0,0;7,916628965176642e-05;1263,8277997059195;321,8080256687608;338,3400303451999
ребро Ni–Mo;600,0;47,5;0,0;52,5;BCC_B2 + D_NIMO;2;нет;100;3,8213575515110545;0,0;96,1786424487117;0,0;0,0;0,0;0,0;2,0815808966290206e-05;1789,4902670274678;17235,95860329592;2478,8229686696723
ребро Ni–Mo;600,0;45,0;0,0;55,0;BCC_B2 + D_NIMO;2;нет;100;8,88727683859147;0,0;91,11272316124676;0,0;0,0;0,0;0,0;2,382714592386037e-05;1789,4999138160638;19424,26872457833;2478,816753182895
ребро Ni–Mo;600,0;42,5;0,0;57,5;BCC_B2 + D_NIMO;2;нет;100;13,953332570456453;0,0;86,04666743128777;0,0;0,0;0,0;0,0;2,4687338736839592e-05;1789,5025558496855;20593,85742110751;2478,8150509622865
ребро Ni–Mo;650,0;65,0;0,0;35,0;DELTA + D_NIMO;2;нет;100;0,0;57,695528438891145;42,304471565166644;0,0;0,0;0,0;0,0;2,9106719011906534e-05;1489,9435930720065;26554,94220443745;2277,0361690912396
ребро Ni–Mo;650,0;62,5;0,0;37,5;DELTA + D_NIMO;2;нет;100;0,0;47,24703184501098;52,752968154986654;0,0;0,0;0,0;0,0;2,889224560931325e-05;1489,9439137268564;26007,26834539279;2277,0365995419634
ребро Ni–Mo;650,0;60,0;0,0;40,0;DELTA + D_NIMO;2;нет;100;0,0;36,79855260230184;63,20144743735081;0,0;0,0;0,0;0,0;2,8557675250340253e-05;1489,9444164742235;25322,144643676656;2277,037274435177
ребро Ni–Mo;650,0;57,5;0,0;42,5;DELTA + D_NIMO;2;нет;100;0,0;26,35010301688925;73,64989698306482;0,0;0,0;0,0;0,0;2,7962560125160962e-05;1489,9453179254779;24406,60730811316;2277,0384845509398
ребро Ni–Mo;650,0;55,0;0,0;45,0;DELTA + D_NIMO;2;нет;100;0,0;15,901754908719692;84,0982450912779;0,0;0,0;0,0;0,0;2,660953759914264e-05;1489,947403988168;23022,167789455416;2277,0412848908018
ребро Ni–Mo;650,0;52,5;0,0;47,5;DELTA + D_NIMO;2;нет;100;0,0;5,454078359894389;94,54592164010589;0,0;0,0;0,0;0,0;2,0545892766676843e-05;1489,9574820006092;20088,90746252168;2277,05481349778
ребро Ni–Mo;650,0;50,0;0,0;50,0;D_NIMO + FCC_A1;2;нет;100;0,0;0,0;99,9991352697164;0,0008647304461262601;0,0;0,0;0,0;7,616840593982488e-05;1184,6625374260984;993,6301305362867;530,9815560249335
ребро Ni–Mo;650,0;47,5;0,0;52,5;BCC_B2 + D_NIMO;2;нет;100;3,6331848129543314;0,0;96,36681518714745;0,0;0,0;0,0;0,0;4,423112841323018e-06;1631,0806371517683;18502,849745125357;2305,740186132927
ребро Ni–Mo;650,0;45,0;0,0;55,0;BCC_B2 + D_NIMO;2;нет;100;8,71127966094119;0,0;91,28872033968764;0,0;0,0;0,0;0,0;2,9981019906699657e-06;1631,0918233195043;20900,067758065263;2305,7351956531493
ребро Ni–Mo;650,0;42,5;0,0;57,5;BCC_B2 + D_NIMO;2;нет;100;13,789539723482882;0,0;86,21046027887944;0,0;0,0;0,0;0,0;2,6685738703235984e-06;1631,0947707085434;22159,09525032134;2305,7338808023123
ребро Ni–Mo;750,0;65,0;0,0;35,0;DELTA + D_NIMO;2;нет;100;0,0;57,05253308603587;42,94746691397225;0,0;0,0;0,0;0,0;5,637558933813125e-05;1189,0952758145868;29848,132184024485;1894,5841555070729
ребро Ni–Mo;750,0;62,5;0,0;37,5;DELTA + D_NIMO;2;нет;100;0,0;46,51082709278291;53,48917290215791;0,0;0,0;0,0;0,0;5,6000186305027455e-05;1189,0956105089936;29227,4674164971;1894,5847977239973
ребро Ni–Mo;750,0;60,0;0,0;40,0;DELTA + D_NIMO;2;нет;100;0,0;35,96914321464611;64,03085678479823;0,0;0,0;0,0;0,0;5,54073994862847e-05;1189,0961413866025;28446,57989573894;1894,5858163778757
ребро Ni–Mo;750,0;57,5;0,0;42,5;DELTA + D_NIMO;2;нет;100;0,0;25,427507990600063;74,57249200940387;0,0;0,0;0,0;0,0;5,4331234423443675e-05;1189,0971124454372;27392,846021216385;1894,5876796489247
ребро Ni–Mo;750,0;55,0;0,0;45,0;DELTA + D_NIMO;2;нет;100;0,0;14,886025191473706;85,11397480852537;0,0;0,0;0,0;0,0;5,1774419262073934e-05;1189,0994588192261;25766,180454947178;1894,5921818391216
ребро Ni–Mo;750,0;52,5;0,0;47,5;DELTA + D_NIMO;2;нет;100;0,0;4,34580478626306;95,6541952155536;0,0;0,0;0,0;0,0;3,805171581916511e-05;1189,1131869320016;22025,603242573932;1894,618522020537
ребро Ni–Mo;750,0;50,0;0,0;50,0;D_NIMO + FCC_A1;2;нет;100;0,0;0,0;99,99887179468496;0,0011282055823265593;0,0;0,0;0,0;7,04619669704698e-05;1011,0076068468479;2486,6049073061586;890,8911875704725
ребро Ni–Mo;750,0;47,5;0,0;52,5;BCC_B2 + D_NIMO;2;нет;100;3,23299958873345;0,0;96,76700041122066;0,0;0,0;0,0;0,0;8,057542436290532e-05;1343,7799291967967;20975,357071546438;1979,9643177835023
ребро Ni–Mo;750,0;45,0;0,0;55,0;BCC_B2 + D_NIMO;2;нет;100;8,339422325484978;0,0;91,66057767449065;0,0;0,0;0,0;0,0;9,002911247080192e-05;1343,795111110303;23854,27780284537;1979,962446408841
