T, °C;фазовый набор;узлов;Ni мин, ат. %;Ni макс, ат. %;Cr мин, ат. %;Cr макс, ат. %;Mo мин, ат. %;Mo макс, ат. %
1100,0;BCC_B2 + SIGMA;134;15,0;30,0;10,0;72,5;10,0;75,0
1100,0;FCC_A1;125;52,5;100,0;0,0;47,5;0,0;22,5
1100,0;FCC_A1 + SIGMA;88;32,5;65,0;12,5;50,0;7,5;50,0
1100,0;BCC_B2 + FCC_A1;74;15,0;67,5;2,5;85,0;0,0;82,5
1100,0;BCC_B2 + FCC_A1 + SIGMA;73;15,0;62,5;5,0;77,5;7,5;80,0
1100,0;FCC_A1 + P_PHASE + SIGMA;30;32,5;57,5;27,5;47,5;10,0;35,0
1100,0;FCC_A1 + P_PHASE;22;42,5;60,0;27,5;40,0;7,5;20,0
1100,0;BCC_B2 + D_NIMO + FCC_A1;21;17,5;65,0;2,5;5,0;30,0;80,0
1100,0;D_NIMO + FCC_A1;19;50,0;75,0;0,0;5,0;25,0;50,0
1100,0;P_PHASE + SIGMA;17;30,0;40,0;35,0;47,5;20,0;32,5
1100,0;BCC_B2 + D_NIMO;13;17,5;47,5;0,0;0,0;52,5;82,5
1100,0;SIGMA;9;30,0;30,0;22,5;52,5;17,5;47,5
1100,0;BCC_B2 + P_PHASE;4;15,0;27,5;55,0;75,0;10,0;17,5
1250,0;BCC_B2 + SIGMA;145;15,0;32,5;10,0;70,0;10,0;75,0
1250,0;FCC_A1;143;50,0;100,0;0,0;47,5;0,0;25,0
1250,0;FCC_A1 + SIGMA;134;32,5;62,5;12,5;47,5;10,0;50,0
1250,0;BCC_B2 + FCC_A1;68;15,0;67,5;2,5;67,5;0,0;82,5
1250,0;BCC_B2 + FCC_A1 + SIGMA;52;15,0;62,5;5,0;60,0;7,5;80,0
1250,0;BCC_B2;31;15,0;30,0;65,0;85,0;0,0;12,5
1250,0;D_NIMO + FCC_A1;14;50,0;72,5;0,0;2,5;27,5;50,0
1250,0;BCC_B2 + D_NIMO;13;17,5;47,5;0,0;0,0;52,5;82,5
1250,0;SIGMA;13;30,0;32,5;17,5;47,5;22,5;50,0
1250,0;BCC_B2 + D_NIMO + FCC_A1;12;30,0;60,0;2,5;2,5;37,5;67,5
1250,0;FCC_A1 + P_PHASE;2;45,0;47,5;35,0;37,5;17,5;17,5
1250,0;D_NIMO + FCC_A1 + MU_PHASE;1;57,5;57,5;2,5;2,5;40,0;40,0
1250,0;P_PHASE + SIGMA;1;32,5;32,5;42,5;42,5;25,0;25,0
700,0;BCC_B2 + FCC_A1 + P_PHASE;94;15,0;60,0;35,0;82,5;2,5;20,0
700,0;BCC_B2 + SIGMA;87;15,0;27,5;5,0;60,0;25,0;80,0
700,0;FCC_A1;67;65,0;100,0;0,0;32,5;0,0;15,0
700,0;FCC_A1 + P_PHASE + SIGMA;55;32,5;65,0;17,5;35,0;17,5;45,0
700,0;BCC_B2 + P_PHASE + SIGMA;49;15,0;35,0;37,5;72,5;12,5;35,0
700,0;BCC_B2 + D_NIMO + SIGMA;47;15,0;45,0;2,5;15,0;52,5;82,5
700,0;D_NIMO + FCC_A1 + SIGMA;43;30,0;65,0;2,5;17,5;22,5;52,5
700,0;FCC_A1 + P_PHASE;39;42,5;70,0;17,5;37,5;5,0;20,0
700,0;BCC_B2 + FCC_A1;25;15,0;70,0;12,5;85,0;0,0;20,0
700,0;P_PHASE + SIGMA;24;27,5;40,0;22,5;40,0;22,5;47,5
700,0;D_NIMO + FCC_A1;21;50,0;75,0;0,0;10,0;17,5;50,0
700,0;FCC_A1 + SIGMA;19;30,0;70,0;15,0;20,0;15,0;50,0
700,0;BCC_B2 + D_NIMO;13;17,5;47,5;0,0;0,0;52,5;82,5
700,0;BCC_B2 + P_PHASE;13;15,0;37,5;30,0;75,0;10,0;40,0
700,0;DELTA + D_NIMO;9;52,5;75,0;0,0;0,0;25,0;47,5
700,0;DELTA + FCC_A1;7;77,5;85,0;0,0;2,5;15,0;22,5
700,0;DELTA + D_NIMO + FCC_A1;6;65,0;77,5;2,5;5,0;17,5;32,5
700,0;BCC_B2 + D_NIMO + FCC_A1;6;25,0;60,0;2,5;10,0;30,0;70,0
700,0;BCC_B2 + FCC_A1 + SIGMA;3;17,5;27,5;7,5;15,0;57,5;75,0
700,0;BCC_B2 + DELTA + SIGMA;1;22,5;22,5;5,0;5,0;72,5;72,5
