вид;T, °C;Ni, ат. %;Cr, ат. %;Mo, ат. %;фазовый набор;D_NIMO есть;D_NIMO, мольн. %;Mo в D_NIMO, ат. %;Cr в D_NIMO, ат. %;до устойчивости D_NIMO, Дж/моль;до устойчивости P_PHASE, Дж/моль;в экспериментальном поле P (1100 °C)
сечение;700,0;32,5;27,5;40,0;P_PHASE + SIGMA;нет;0,0;;;1832,886542485081;0,00032398179610027;да
сечение;700,0;30,0;30,0;40,0;BCC_B2 + P_PHASE;нет;0,0;;;3262,714945323889;2,535482053644955e-06;да
сечение;700,0;32,5;25,0;42,5;P_PHASE + SIGMA;нет;0,0;;;865,933543394458;0,00018679885397432372;да
сечение;700,0;30,0;27,5;42,5;P_PHASE + SIGMA;нет;0,0;;;2633,863181121793;6,383728759828955e-05;да
сечение;700,0;27,5;30,0;42,5;BCC_B2 + SIGMA;нет;0,0;;;4036,3754526371267;94,13088227353728;да
сечение;700,0;30,0;25,0;45,0;P_PHASE + SIGMA;нет;0,0;;;1812,1758754688271;1,5673882444389164e-05;да
сечение;700,0;27,5;27,5;45,0;BCC_B2 + SIGMA;нет;0,0;;;3348,889401559536;100,12649280779442;да
сечение;700,0;25,0;30,0;45,0;BCC_B2 + SIGMA;нет;0,0;;;4516,070367218155;99,28169968424481;да
сечение;1100,0;32,5;27,5;40,0;FCC_A1 + SIGMA;нет;0,0;;;3645,689087226041;368,9687377457012;да
сечение;1100,0;30,0;30,0;40,0;SIGMA;нет;0,0;;;4848,767624229047;617,2128339832125;да
сечение;1100,0;32,5;25,0;42,5;FCC_A1 + SIGMA;нет;0,0;;;3023,302867870603;693,307616457867;да
сечение;1100,0;30,0;27,5;42,5;SIGMA;нет;0,0;;;4273,533051093298;917,909484543663;да
сечение;1100,0;27,5;30,0;42,5;BCC_B2 + SIGMA;нет;0,0;;;6022,340425272836;1409,148506530939;да
сечение;1100,0;30,0;25,0;45,0;SIGMA;нет;0,0;;;3692,064332062815;1302,7576390917384;да
сечение;1100,0;27,5;27,5;45,0;BCC_B2 + SIGMA;нет;0,0;;;5241,893563921229;1519,0204409515281;да
сечение;1100,0;25,0;30,0;45,0;BCC_B2 + SIGMA;нет;0,0;;;6299,005184132911;1373,692272279266;да
сечение;1250,0;32,5;27,5;40,0;FCC_A1 + SIGMA;нет;0,0;;;4214,050049816447;893,3136678162264;да
сечение;1250,0;30,0;30,0;40,0;SIGMA;нет;0,0;;;5768,277710546579;1339,2912229171052;да
сечение;1250,0;32,5;25,0;42,5;FCC_A1 + SIGMA;нет;0,0;;;3532,1972807576676;1248,4626706270938;да
сечение;1250,0;30,0;27,5;42,5;SIGMA;нет;0,0;;;5125,15639144498;1680,8545146604592;да
сечение;1250,0;27,5;30,0;42,5;BCC_B2 + SIGMA;нет;0,0;;;6598,226792438305;1872,339078735822;да
сечение;1250,0;30,0;25,0;45,0;SIGMA;нет;0,0;;;4478,649769534764;2114,5036542445305;да
сечение;1250,0;27,5;27,5;45,0;BCC_B2 + SIGMA;нет;0,0;;;5794,590085715987;2022,5245432237862;да
сечение;1250,0;25,0;30,0;45,0;BCC_B2 + SIGMA;нет;0,0;;;6800,938138714322;1836,8270194532524;да
