вид;T, °C;Ni, ат. %;Cr, ат. %;Mo, ат. %;фазовый набор;D_NIMO есть;D_NIMO, мольн. %;Mo в D_NIMO, ат. %;Cr в D_NIMO, ат. %;до устойчивости D_NIMO, Дж/моль;до устойчивости P_PHASE, Дж/моль;в экспериментальном поле P (1100 °C)
ребро Ni–Mo;600,0;65,0;0,0;35,0;DELTA + D_NIMO;да;42,011761261563755;48,92747150706225;0,0;2,7539230359252542e-05;24911,04128145941;нет
ребро Ni–Mo;600,0;62,5;0,0;37,5;DELTA + D_NIMO;да;52,420747820877786;48,927477069261215;0,0;2,772649168036878e-05;24398,077340919423;нет
ребро Ni–Mo;600,0;60,0;0,0;40,0;DELTA + D_NIMO;да;62,82972151630478;48,927485746658725;0,0;2,8019858291372657e-05;23757,95426865114;нет
ребро Ni–Mo;600,0;57,5;0,0;42,5;DELTA + D_NIMO;да;73,23866708010254;48,92750117421413;0,0;2,854523336282e-05;22906,09597730392;нет
ребро Ni–Mo;600,0;55,0;0,0;45,0;DELTA + D_NIMO;да;83,6475309273462;48,92753624163625;0,0;2,9757648007944226e-05;21628,956165006304;нет
ребро Ni–Mo;600,0;52,5;0,0;47,5;DELTA + D_NIMO;да;94,05588344974996;48,927694109600516;0,0;3,5527744330465794e-05;19005,1748240225;нет
ребро Ni–Mo;600,0;50,0;0,0;50,0;D_NIMO + FCC_A1;да;99,99923472901557;50,000277139909564;0,0;7,916628965176642e-05;321,8080256687608;нет
ребро Ni–Mo;600,0;47,5;0,0;52,5;BCC_B2 + D_NIMO;да;96,1786424487117;50,61434769577251;0,0;2,0815808966290206e-05;17235,95860329592;нет
ребро Ni–Mo;600,0;45,0;0,0;55,0;BCC_B2 + D_NIMO;да;91,11272316124676;50,614440358753264;0,0;2,382714592386037e-05;19424,26872457833;нет
ребро Ni–Mo;600,0;42,5;0,0;57,5;BCC_B2 + D_NIMO;да;86,04666743128777;50,6144657365373;0,0;2,4687338736839592e-05;20593,85742110751;нет
