T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;CR в сплаве, масс. %;CR в матрице, масс. %;CR, сдвиг от сплава, масс. %;CR равновесно в двухфазной задаче, масс. %;CR равновесно по 12-2, масс. %;MO в сплаве, масс. %;MO в матрице, масс. %;MO, сдвиг от сплава, масс. %;MO равновесно в двухфазной задаче, масс. %;MO равновесно по 12-2, масс. %
595,0;0,05;объём зерна;0,001;23,5;23,500000000000004;3,552713678800501e-15;20,846723888697873;21,116059412793327;13,0;12,999999999999998;-1,7763568394002505e-15;4,9283418503844985;5,013123420280399
595,0;0,05;объём зерна;0,0017501240829663376;23,5;23,500000000000004;3,552713678800501e-15;20,84672388860848;21,116059412793327;13,0;12,999999999999998;-1,7763568394002505e-15;4,928341850279804;5,013123420280399
595,0;0,05;объём зерна;0,0031478028363600683;23,5;23,499999999997698;-2,3021584638627246e-12;20,84672388854605;21,116059412793327;13,0;12,999999999992982;-7,0183858724703896e-12;4,928341850168067;5,013123420280399
595,0;0,05;объём зерна;0,005650722789222399;23,5;23,49999933856337;-6,614366299118046e-07;20,846723888639897;21,116059412793327;13,0;12,999997987811964;-2,0121880357493183e-06;4,928341849717973;5,013123420280399
595,0;0,05;объём зерна;0,010000000000000002;23,5;23,498830970340233;-0,0011690296597670624;20,846723888628;21,116059412793327;13,0;12,996443638963868;-0,003556361036132216;4,928341850605553;5,013123420280399
595,0;0,05;объём зерна;0,01739032313049614;23,5;23,381532572557308;-0,11846742744269179;20,846723888719122;21,116059412793327;13,0;12,639604573343536;-0,3603954266564635;4,928341850449422;5,013123420280399
595,0;0,05;объём зерна;0,03083784553317597;23,5;22,6840981591999;-0,8159018408001018;20,846723888811194;21,116059412793327;13,0;10,51790599007842;-2,48209400992158;4,928341850908022;5,013123420280399
595,0;0,05;объём зерна;0,05471797549778011;23,5;22,17413560757744;-1,3258643924225595;20,84672388862617;21,116059412793327;13,0;8,966524523156288;-4,033475476843712;4,9283418503991525;5,013123420280399
595,0;0,05;объём зерна;0,09664553001728407;23,5;21,965093339102268;-1,5349066608977324;20,846723888387018;21,116059412793327;13,0;8,330587040880777;-4,669412959119223;4,928341849762466;5,013123420280399
595,0;0,05;объём зерна;0,10000000000000002;23,5;21,958079427851544;-1,541920572148456;20,846723888445172;21,116059412793327;13,0;8,309249686034484;-4,690750313965516;4,92834184987148;5,013123420280399
