T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;мольная доля P-фазы, %;объёмная доля P-фазы, %;движущая сила, Дж/м³
595,0;0,05;объём зерна;0,001;0,0;0,0;296809389,50905055
595,0;0,05;объём зерна;0,0017501240829663376;1,1452765318722106e-20;1,2320894927002814e-20;296809389,5091119
595,0;0,05;объём зерна;0,0031478028363600683;3,183739881523104e-11;3,425070143629772e-11;296809389,50895536
595,0;0,05;объём зерна;0,005650722789222399;9,126844490175269e-06;9,818667201427506e-06;296809338,6008507
595,0;0,05;объём зерна;0,010000000000000002;0,016128057818545802;0,017350366567526365;296719402,2151469
595,0;0,05;объём зерна;0,01739032313049614;1,6062242702407885;1,7258761625123547;287571094,27748454
595,0;0,05;объём зерна;0,03083784553317597;10,034165812616068;10,713279295478074;227794202,99649435
595,0;0,05;объём зерна;0,05471797549778011;15,268225287317591;16,237644556104115;177085809,01720434
595,0;0,05;объём зерна;0,09664553001728407;17,226157033352678;18,29305183303374;154171182,3693424
595,0;0,05;объём зерна;0,10000000000000002;17,29012615858976;18,36010406811536;153377916,55417773
595,0;0,05;объём зерна;0,1713343225656646;18,138589266376577;19,248853654128506;142563559,29171363
595,0;0,05;объём зерна;0,30357449740627035;19,321964946214752;20,4865364741618;126503103,22788754
595,0;0,05;объём зерна;0,5371100179671647;19,99270703745337;21,1870888418122;116843724,97571565
595,0;0,05;объём зерна;0,9507529980153181;20,363963220887417;21,574543421484265;111309485,85545903
595,0;0,05;объём зерна;1,0;20,38915212787255;21,600823574133397;110928952,37678386
595,0;0,05;объём зерна;1,684843613367019;20,920124449333642;22,154569031414674;102752649,70480542
595,0;0,05;объём зерна;2,981521317753822;22,103675008210256;23,387303771412228;83384898,432052
595,0;0,05;объём зерна;5,2839000475632645;22,875641031961326;24,190178454181527;69807601,89832544
595,0;0,05;объём зерна;9,35631668334559;23,58984935035398;24,932160783782688;56497662,47004229
595,0;0,05;объём зерна;10,0;23,660801383421646;25,005828890509424;55133145,445757985
595,0;0,05;объём зерна;16,56195604665538;24,133806778616602;25,496742271386196;45828905,03647774
595,0;0,05;объём зерна;29,36172210152484;24,53993874771096;25,917974637210726;37537622,05106366
595,0;0,05;объём зерна;51,97095279648239;24,85721322357989;26,246868589967836;30853384,340068404
595,0;0,05;объём зерна;92,10614356834087;25,107999171509153;26,50672916810088;25434472,62703484
595,0;0,05;объём зерна;100,0;25,140950150854476;26,54086526479237;24713289,1270845
595,0;0,05;объём зерна;162,9007045703542;25,311141135329667;26,717150712678244;20953537,100412887
595,0;0,05;объём зерна;200,0;25,372524835783683;26,78072158585333;19582936,796396833
595,0;0,05;объём зерна;288,9577106505097;25,473352376224412;26,885129132934836;17314553,42973797
595,0;0,05;объём зерна;511,09836207464605;25,60548131598529;27,021925774116212;14309289,48350604
595,0;0,05;объём зерна;905,0227581854344;25,71299406225011;27,13321677571226;11836016,581312569
595,0;0,05;объём зерна;1000,0;25,73019494943115;27,15102049224231;11437960,527576903
595,0;0,05;объём зерна;1604,561381588134;25,802234735086376;27,225580066606597;9763691,415884111
595,0;0,05;объём зерна;2840,1672396077097;25,874130352216696;27,299982467430834;8081146,035431285
595,0;0,05;объём зерна;5026,9208874906535;25,9336045138785;27,361524303293482;6680407,686673437
595,0;0,05;объём зерна;8907,73402834751;25,98235156090413;27,41196202851386;5526247,565744097
595,0;0,05;объём зерна;10000,0;25,990689298978076;27,420588575601894;5328287,6690211585
595,0;0,05;объём зерна;15759,06943475842;26,017741193121523;27,448576777857674;4684889,618808363
595,0;0,05;объём зерна;27929,65787728339;26,054719417465794;27,48683305512518;3802635,983580621
595,0;0,05;объём зерна;49463,61186658026;26,078595009527366;27,511532725541876;3231285,949024154
595,0;0,05;объём зерна;87600,0;26,10309946644812;27,536882054793153;2643485,4007335086
595,0;0,075;объём зерна;0,001;0,0;0,0;296809389,509098
595,0;0,075;объём зерна;0,001769908906321979;5,2749877730826894e-33;5,674836450820439e-33;296809389,50909966
595,0;0,075;объём зерна;0,0031463958959348382;1,2971223742618196e-18;1,3954453824892945e-18;296809389,5090995
595,0;0,075;объём зерна;0,005651071584567279;1,1487385296351833e-10;1,2358139129155582e-10;296809389,5084359
595,0;0,075;объём зерна;0,00985657404655783;3,3350750657028787e-06;3,587876657800765e-06;296809370,9065352
595,0;0,075;объём зерна;0,010000000000000002;4,529612829384167e-06;4,872961419020358e-06;296809364,24356127
595,0;0,075;объём зерна;0,01798332073484461;0,0030821404723579853;0,0033157616639851034;296792196,77272683
595,0;0,075;объём зерна;0,030683246248755;0,16495936951719656;0,1774412463523074;295886407,0515558
595,0;0,075;объём зерна;0,05474738541875333;2,0956069389803833;2,250880277108272;284640908,73200035
595,0;0,075;объём зерна;0,09667752133607464;6,210459118481201;6,649912331696639;257585119,8691367
595,0;0,075;объём зерна;0,10000000000000002;6,447935914456079;6,902956253437141;255877856,1383226
595,0;0,075;объём зерна;0,17079342142044848;9,64247697365396;10,298115378363999;231088786,09704402
595,0;0,075;объём зерна;0,302649587237634;12,023056561433403;12,81760049285468;210081981,94420105
595,0;0,075;объём зерна;0,5372511867694233;13,384217306849704;14,254139378259707;196917305,03256074
595,0;0,075;объём зерна;0,9507438355043324;15,915952340377034;16,91828593087425;169785333,20888558
595,0;0,075;объём зерна;1,0;16,223637701878776;17,241375050338295;166223418,40353712
595,0;0,075;объём зерна;1,6866716067883138;18,814879549466212;19,956448114309296;133532042,56198125
595,0;0,075;объём зерна;2,9821708012305335;20,60240868923136;21,823279340168973;107680925,09178822
595,0;0,075;объём зерна;5,286500218833133;21,860953098154525;23,134672549181413;87493462,16640271
595,0;0,075;объём зерна;9,359941726191472;22,779558790575003;24,090299514295825;71541565,48163268
595,0;0,075;объём зерна;10,0;22,86794629116783;24,182180181782684;69946944,17621261
595,0;0,075;объём зерна;16,56050297424773;23,459033359537596;24,796316691635674;58992864,57171339
595,0;0,075;объём зерна;29,333233005942382;23,99185880021771;25,349456451441043;48659782,60238021
595,0;0,075;объём зерна;51,9584435847514;24,411460966736417;25,78474745843457;40191938,718621545
595,0;0,075;объём зерна;91,97709067016793;24,74935268473421;26,13507531885216;33146807,497559596
595,0;0,075;объём зерна;100,0;24,791834748374683;26,17910847431632;32246141,695117008
595,0;0,075;объём зерна;163,03977310245634;25,01657772016844;26,41201088350524;27424099,626712855
595,0;0,075;объём зерна;200,0;25,099329666469128;26,49774757694662;25623858,809118815
595,0;0,075;объём зерна;288,6250649470122;25,233806863660433;26,637052667524397;22669249,177124195
595,0;0,075;объём зерна;511,5345981211665;25,409983797053954;26,81951240189416;18742688,881882742
595,0;0,075;объём зерна;906,192918272676;25,554943582018996;26,969605874890863;15463190,803702172
595,0;0,075;объём зерна;1000,0;25,57634973578931;26,99176737642527;14975108,538727066
595,0;0,075;объём зерна;1604,7745801215754;25,671160251419668;27,08991493934815;12801391,572893344
595,0;0,075;объём зерна;2839,2626057460616;25,766951249284375;27,189063442249427;10585158,909012057
595,0;0,075;объём зерна;5027,937061196276;25,845390547428117;27,27024154642002;8755135,868010337
595,0;0,075;объём зерна;8896,75893728213;25,910133543726303;27,337237993212305;7234164,686819511
595,0;0,075;объём зерна;10000,0;25,92175814679802;27,349266520333686;6960060,394849563
595,0;0,075;объём зерна;15770,059968795893;25,962994338138845;27,39193388298086;5985216,984244372
595,0;0,075;объём зерна;27919,062513226254;26,0066745615046;27,437127248969006;4948302,9574121665
595,0;0,075;объём зерна;49456,359034987574;26,04255638851339;27,474249875886116;4093184,61461131
595,0;0,075;объём зерна;87600,0;26,068592849895055;27,50118544292558;3470804,3115703803
595,0;0,1;объём зерна;0,001;0,0;0,0;296809389,5091215
595,0;0,1;объём зерна;0,001769908906321979;0,0;0,0;296809389,5090962
595,0;0,1;объём зерна;0,0031377521867919657;3,322990344965368e-28;3,574875913752806e-28;296809389,50906277
595,0;0,1;объём зерна;0,005628888866561699;1,3481270434005825e-17;1,4503162500707635e-17;296809389,50912017
595,0;0,1;объём зерна;0,009989253412390327;1,2130197290584935e-11;1,3049676833663254e-11;296809389,50904995
595,0;0,1;объём зерна;0,010000000000000002;1,2546697502590177e-11;1,3497748125301619e-11;296809389,50901574
595,0;0,1;объём зерна;0,01752248428726696;3,888058775479318e-08;4,182777024424806e-08;296809389,29224575
595,0;0,1;объём зерна;0,029860394613308198;5,718142749737445e-06;6,151582934872274e-06;296809357,61410373
595,0;0,1;объём зерна;0,054278788968632447;0,000235698029142295;0,0002535641001900894;296808074,81332517
595,0;0,1;объём зерна;0,09766213419012557;0,002549029288267655;0,0027422426348425503;296795170,70567364
595,0;0,1;объём зерна;0,10000000000000002;0,002759332838953757;0,002968486467887261;296793997,54546356
595,0;0,1;объём зерна;0,16993068743251835;0,012969326824649336;0,013952275955973566;296737030,8091452
595,0;0,1;объём зерна;0,3039149718048274;0,05303225281432779;0,057049850527681564;296513287,9259611
595,0;0,1;объём зерна;0,5380593320813152;0,2055330807844524;0,22107822464359;295658507,90116596
595,0;0,1;объём зерна;0,9508017543384139;0,9004113990928443;0,9680026882088519;291700533,28027475
595,0;0,1;объём зерна;1,0;1,0323605667659732;1,1097459801185041;290937045,061023
595,0;0,1;объём зерна;1,6886322533463534;4,125461602479357;4,424339681585772;271862579,95136505
595,0;0,1;объём зерна;2,9858613346831113;13,627110997565833;14,510175497042638;194470220,54252934
595,0;0,1;объём зерна;5,286154886541122;22,418551060839064;23,714898680046474;77942964,70232795
595,0;0,1;объём зерна;9,339645612826304;23,33492216182672;24,66741062915329;61335886,472768754
595,0;0,1;объём зерна;10,0;23,347133958277013;24,680095268621805;61106384,009958595
595,0;0,1;объём зерна;16,5635488059252;23,486460091495502;24,824799802610414;58471916,60037549
595,0;0,1;объём зерна;29,376020309021538;23,765517466079007;25,114539327477004;53104723,91719476
595,0;0,1;объём зерна;51,98977609617901;24,108780131968395;25,47077677762009;46330477,77367707
595,0;0,1;объём зерна;91,98521369897149;24,45100812444404;25,825759257634118;39378053,92511055
595,0;0,1;объём зерна;100,0;24,498141837995966;25,87463543011536;38404387,07494256
595,0;0,1;объём зерна;163,0569627196826;24,757945590361253;26,14398219054425;32964902,233361676
595,0;0,1;объём зерна;200,0;24,856644037489932;26,246278697721138;30865544,770092063
595,0;0,1;объём зерна;288,74099714335443;25,018544369604435;26,414048589691184;27381472,19834462
595,0;0,1;объём зерна;510,9978681294531;25,234173405101966;26,63743233016343;22661146,0125443
595,0;0,1;объём зерна;905,5192571934459;25,40969498355594;26,819213327888907;18749178,5276382
595,0;0,1;объём зерна;1000,0;25,43637687411911;26,84684258797128;18148896,922282577
595,0;0,1;объём зерна;1603,695458237068;25,552859302555518;26,967448010854834;15510661,829920013
595,0;0,1;объём зерна;2838,37265557901;25,670113750984626;27,088831680747127;12825491,706472069
595,0;0,1;объём зерна;5024,156622517727;25,76648545308856;27,18858135391785;10595984,913426574
595,0;0,1;объём зерна;8910,623477371157;25,84520895969153;27,270053629254594;8759388,40438971
595,0;0,1;объём зерна;10000,0;25,859009512760988;27,284335070311688;8435985,303367803
595,0;0,1;объём зерна;15774,833967067769;25,909595401228223;27,336681146658304;7246846,4035180565
595,0;0,1;объём зерна;27931,277318961682;25,96268633166494;27,39161519632115;5992512,954515817
595,0;0,1;объём зерна;49494,39566148974;25,999780533047772;27,429994596996465;5112253,499272716
595,0;0,1;объём зерна;87600,0;26,033526136075007;27,46490754220056;4308673,1667124275
595,0;0,125;объём зерна;0,001;0,0;0,0;296809389,50904256
595,0;0,125;объём зерна;0,001769908906321979;0,0;0,0;296809389,50909984
595,0;0,125;объём зерна;0,0031355141082460083;0,0;0,0;296809389,50909275
595,0;0,125;объём зерна;0,00551237951383641;1,3151850189762415e-27;1,4148771914399564e-27;296809389,5090835
595,0;0,125;объём зерна;0,009765102228429122;5,426200650279658e-20;5,837511396102695e-20;296809389,5090829
595,0;0,125;объём зерна;0,010000000000000002;1,0700904936158328e-19;1,1512042871141595e-19;296809389,50907344
595,0;0,125;объём зерна;0,01672617829489954;8,801754416512806e-16;9,468935084338e-16;296809389,50907457
595,0;0,125;объём зерна;0,03133833243696952;8,352455719444978e-13;8,985579153839486e-13;296809389,50907695
595,0;0,125;объём зерна;0,05641874738589717;5,674969180143743e-11;6,105136797680324e-11;296809389,50878125
595,0;0,125;объём зерна;0,09593302378337784;6,950282452573659e-10;7,477119929378009e-10;296809389,50518864
595,0;0,125;объём зерна;0,10000000000000002;8,160337138546881e-10;8,778897816803534e-10;296809389,5045609
595,0;0,125;объём зерна;0,17318274843411116;4,823767792231942e-09;5,189413601532202e-09;296809389,4822198
595,0;0,125;объём зерна;0,30301820162620646;1,9516659627320164e-08;2,099603946285725e-08;296809389,4002348
595,0;0,125;объём зерна;0,5351213420609844;6,793306303396625e-08;7,308244850696447e-08;296809389,1301809
595,0;0,125;объём зерна;0,952286874813536;2,641482052525702e-07;2,841708697288476e-07;296809388,0357596
595,0;0,125;объём зерна;1,0;3,0021708936991575e-07;3,229738067302258e-07;296809387,83444935
595,0;0,125;объём зерна;1,6831359411628095;1,3285947274662765e-06;1,4293033660994418e-06;296809382,09838736
595,0;0,125;объём зерна;2,9847748898133624;8,059474301543745e-06;8,67038943574907e-06;296809344,5544584
595,0;0,125;объём зерна;5,291734005611056;4,7728706139472885e-05;5,134658186958739e-05;296809123,28494835
595,0;0,125;объём зерна;9,350384464945996;0,0002629887440115483;0,00028292346397040103;296807922,5881053
595,0;0,125;объём зерна;10,0;0,00032087517426039966;0,00034519770860023285;296807599,70229864
595,0;0,125;объём зерна;16,57941374061888;0,0013792832096275142;0,0014838325295340837;296801695,8645253
595,0;0,125;объём зерна;29,35176727729578;0,0066899443751433085;0,007197011502127111;296772069,2589984
595,0;0,125;объём зерна;51,96587443983479;0,03104228963691003;0,033394536503862135;296636138,92742896
595,0;0,125;объём зерна;92,02181288880834;0,13758812667827428;0,14800199120937443;296039952,1277251
595,0;0,125;объём зерна;100,0;0,1701596295139119;0,18303426974858755;295857217,1140166
595,0;0,125;объём зерна;162,820655471403;0,5729727693924836;0,6161370058461673;293578624,60145956
595,0;0,125;объём зерна;200,0;0,9175748664371869;0,9864417426776104;291601439,6261698
595,0;0,125;объём зерна;288,04090687562586;1,9387576073099397;2,082656464364056;285586142,24415237
595,0;0,125;объём зерна;510,62381405193884;5,335402376492618;5,716710546775851;263729220,44246292
595,0;0,125;объём зерна;903,0275768421475;25,285258602969908;26,690344215802032;21529121,723199517
595,0;0,125;объём зерна;1000,0;25,32490541493644;26,73140593444032;20646880,666280795
595,0;0,125;объём зерна;1605,4270659095196;25,485469808048304;26,897675755287747;17040497,0919623
595,0;0,125;объём зерна;2845,3895360275287;25,635430397744376;27,052929126278606;13622866,927058723
595,0;0,125;объём зерна;5017,666223414947;25,747003069977296;27,168417237177934;11048359,804961061
595,0;0,125;объём зерна;8901,28518273877;25,837371582960746;27,261943024279095;8942857,925825443
595,0;0,125;объём зерна;10000,0;25,85374592603072;27,278888105529475;8559383,505425904
595,0;0,125;объём зерна;15744,300070589929;25,913846926821293;27,341080429095022;7146638,037496677
595,0;0,125;объём зерна;27974,458159901147;25,984987862468905;27,41468965988969;5463672,278850159
595,0;0,125;объём зерна;49473,65338845486;26,05348895930493;27,485560103311794;3832044,8046145905
595,0;0,125;объём зерна;87600,0;26,089969636944723;27,523299645759565;2958614,078537824
595,0;0,15;объём зерна;0,001;0,0;0,0;296809389,5090972
595,0;0,15;объём зерна;0,001769908906321979;0,0;0,0;296809389,5090683
595,0;0,15;объём зерна;0,0031355141082460083;0,0;0,0;296809389,50905746
595,0;0,15;объём зерна;0,005554586920350339;0,0;0,0;296809389,50905246
595,0;0,15;объём зерна;0,009835356723973405;8,981255588933965e-33;9,662042602315298e-33;296809389,50910175
595,0;0,15;объём зерна;0,010000000000000002;1,298009754613847e-32;1,3964000270466004e-32;296809389,50910544
595,0;0,15;объём зерна;0,0176446885455609;2,2541865664593383e-26;2,425055875876946e-26;296809389,5090962
595,0;0,15;объём зерна;0,030444227130387906;4,05124616436708e-23;4,358334159959845e-23;296809389,5090812
595,0;0,15;объём зерна;0,05421551486742558;4,044783814824001e-21;4,3513819586804145e-21;296809389,5091409
595,0;0,15;объём зерна;0,09893642977442703;1,1790335772848114e-19;1,26840535162169e-19;296809389,5090261
595,0;0,15;объём зерна;0,10000000000000002;1,240146235689676e-19;1,3341504028788974e-19;296809389,50914127
595,0;0,15;объём зерна;0,17544273149158318;9,635369182379872e-19;1,0365738577120316e-18;296809389,5090636
595,0;0,15;объём зерна;0,30520918763971633;4,19766602373009e-18;4,515852772472502e-18;296809389,5090595
595,0;0,15;объём зерна;0,5370395280084278;1,4407025851499283e-17;1,5499090986939222e-17;296809389,5091041
595,0;0,15;объём зерна;0,9493184244003702;4,664935143092962e-17;5,018541298962405e-17;296809389,5090758
595,0;0,15;объём зерна;1,0;5,2217286904770134e-17;5,617540283263387e-17;296809389,5090904
595,0;0,15;объём зерна;1,6839799672080749;1,8650729941549358e-16;2,00644715513454e-16;296809389,50904334
595,0;0,15;объём зерна;2,9819475778533655;1,0176538786032795e-15;1,094792930911721e-15;296809389,5091359
595,0;0,15;объём зерна;5,293285934953999;6,488919759548237e-15;6,980785541501594e-15;296809389,50911975
595,0;0,15;объём зерна;9,358109445884322;3,893946105600822e-14;4,189110619431846e-14;296809389,5091015
595,0;0,15;объём зерна;10,0;4,7645990928203964e-14;5,125759863075863e-14;296809389,5091376
595,0;0,15;объём зерна;16,571772959102425;2,1223878120027946e-13;2,2832666607854316e-13;296809389,5091
595,0;0,15;объём зерна;29,325121655282157;1,0083201068483096e-12;1,0847516511102716e-12;296809389,5090959
595,0;0,15;объём зерна;51,92110479029044;4,433397576757659e-12;4,769452982989672e-12;296809389,5090815
595,0;0,15;объём зерна;92,03811287324264;1,8268376584513756e-11;1,965313547608989e-11;296809389,50898826
595,0;0,15;объём зерна;100,0;2,2244506010757347e-11;2,3930658983606935e-11;296809389,508987
