T, °C;межфазная энергия, Дж/м²;места зарождения;узлов;до, ч;равновесие 12-2, мольн. %;равновесие двухфазной задачи, мольн. %;P-фаза в конце, мольн. %;доля равновесия 12-2 в конце, %;доля двухфазного равновесия в конце, %;радиус в конце, нм;число выделений в конце, 1/м³;выделения появились;первый узел с выделениями, ч;дошло до 90 % равновесия;первый узел на 90 % равновесия, ч;критический радиус в конце, нм;движущая сила в конце, Дж/м³
595,0;0,05;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;26,09309773241215;94,62675804893388;94,34208959876702;38,55325063226709;3,3125131822885304e+21;да;0,5349350979504871;да;51,90794917846054;34,67918813542374;2883573,848658038
595,0;0,05;объём зерна;40;87600,0;27,57475609480223;27,657960347693177;26,10309946644812;94,66302939074224;94,37825182443456;38,22978508151378;1,0451955559036815e+21;да;0,010000000000000002;да;92,10614356834087;37,82884519515493;2643485,4007335086
595,0;0,075;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;26,069815212396602;94,54232386596048;94,25790942162142;44,1135297219397;2,2042113773360115e+21;да;0,9481067346692702;да;92,03956626168745;43,58506982227318;3441545,479028827
595,0;0,075;объём зерна;41;87600,0;27,57475609480223;27,657960347693177;26,068592849895055;94,53789096183127;94,25348985312763;44,133061177247995;6,877755519759918e+20;да;0,030683246248755;да;163,03977310245634;43,21764828398863;3470804,3115703803
595,0;0,1;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;26,034301301565826;94,41353247898074;94,12950548154657;48,130133627262495;1,6693603703415122e+21;да;1,683710477689506;да;92,11025704092684;46,618058780092895;4290182,929826438
595,0;0,1;объём зерна;41;87600,0;27,57475609480223;27,657960347693177;26,033526136075007;94,41072133719528;94,12670279660135;48,15790597702427;5,203441134592741e+20;да;0,16993068743251835;да;288,74099714335443;46,41800207663525;4308673,1667124275
595,0;0,125;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;26,01342791957561;94,33783504790121;94,05403577326797;51,56166858428305;1,3548215148297378e+21;да;5,283277629344079;да;288,3876618805788;52,2183365998054;4787590,265771348
595,0;0,125;объём зерна;41;87600,0;27,57475609480223;27,657960347693177;26,089969636944723;94,61541399404297;94,330779670529;83,35718173691573;1,094957662739222e+20;да;51,96587443983479;да;903,0275768421475;84,49902331417027;2958614,078537824
595,0;0,15;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;26,06172358332431;94,51297952998713;94,22865336307419;80,52068195772064;3,259702405581025e+20;да;29,320733783285203;да;904,5719404962668;82,52723586282156;3635163,553746864
595,0;0,15;объём зерна;41;87600,0;27,57475609480223;27,657960347693177;26,012768057905646;94,33544205603685;94,05164998031118;59,71503232635024;2,6766816719049268e+20;да;5020,777845994578;да;5020,777845994578;62,45708698814662;4803297,98373298
595,0;0,175;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;25,972700452251857;94,19013667050221;93,90678172122739;60,060222873816016;8,506644262877878e+20;да;905,6739714087884;да;905,6739714087884;60,81468651305409;5755188,755677812
595,0;0,175;объём зерна;41;87600,0;27,57475609480223;27,657960347693177;6,984936903376803e-29;2,533091092215842e-28;2,5254707200270405e-28;0,9970000000000002;0,00019473866471356028;нет;;нет;;1,1792079778165752;296809389,5091017
595,0;0,2;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;25,952835762238934;94,11809726625643;93,8349590352332;63,58343691045696;7,060948736851432e+20;да;15771,948463279496;да;15771,948463279496;64,24944456602472;6225734,754624185
595,0;0,2;объём зерна;41;87600,0;27,57475609480223;27,657960347693177;0,0;0,0;0,0;0,0;1,3200409714783292e-22;нет;;нет;;1,3476662603617202;296809389,50911933
595,0;0,25;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;3,551571492493012e-31;1,2879792953680827e-30;1,2841046294974647e-30;0,9970000000000002;3,168547631683141e-06;нет;;нет;;1,6845828254523771;296809389,5090794
595,0;0,25;объём зерна;41;87600,0;27,57475609480223;27,657960347693177;0,0;0,0;0,0;0,0;4,181900393369889e-75;нет;;нет;;1,6845828254520578;296809389,5091356
595,0;0,5;границы зёрен;41;87600,0;27,57475609480223;27,657960347693177;0,0;0,0;0,0;0,0;1,265120461024714e-241;нет;;нет;;3,369165650904315;296809389,5091181
595,0;0,5;объём зерна;41;87600,0;27,57475609480223;27,657960347693177;0,0;0,0;0,0;0,0;0,0;нет;;нет;;3,3691656509041445;296809389,50913304
