набор фаз;T, °C;фаза;фазовый набор равновесия;в равновесии;в наборе фаз расчёта;до устойчивости, уточнённое, Дж/моль;до устойчивости, по выборке 13-А, Дж/моль;то же в RT;стартов в пределах 1 Дж/моль от лучшего;стартов;Ni в точке минимума, ат. % (Ni+Cr+Mo=100);Cr в точке минимума, ат. % (Ni+Cr+Mo=100);Mo в точке минимума, ат. % (Ni+Cr+Mo=100);прочие элементы в точке минимума, ат. %;x(AL) в точке минимума;x(C) в точке минимума;x(CR) в точке минимума;x(FE) в точке минимума;x(MN) в точке минимума;x(MO) в точке минимума;x(NB) в точке минимума;x(NI) в точке минимума;x(S) в точке минимума;x(SI) в точке минимума;x(TI) в точке минимума
полный;580,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;5543,652296960308;5543,652377903018;0,7815133532127222;32;32;54,70947560483745;0,0;45,29052439516255;0,0;0,0;0,0;0,0;0,0;0,0;0,45290524395162546;0,0;0,5470947560483745;0,0;0,0;0,0
полный;580,0;FCC_A1;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;2,6193412064074645e-10;464,24938776933413;3,6926019522367804e-14;28;33;73,04062171122008;24,02648467041677;2,9328936183631447;2,3857878867065163;0,005391345155871135;1,3494590893722145e-06;0,2345326370954857;0,007383644723910951;0,007202007547559013;0,028629209976862482;0,0005350549014405501;0,7129802740605866;9,531404620193525e-19;0,0030228206682933806;0,0003216564109007594
полный;580,0;GAMMA_PRIME;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;7,329945219680665e-07;427,50363317359006;1,0333350218662199e-10;27;32;93,94584305644422;5,329969594145287;0,7241873494105189;20,359732097022242;0,12141331910738763;0,0;0,042448020639245625;0,010868999868166123;0,0;0,005767447451900108;0,0006654911382517332;0,7481872109386318;0,0;0,00010044907348043095;0,07054906178293653
полный;580,0;M23C6;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;1,432350033829952e-06;160,4639490089976;2,0192476330569848e-10;28;32;21,712406964029178;65,987189517415;12,300403518555816;21,38764146339669;0,0;0,20689655172413793;0,518740860116582;0,00022119324079555416;9,299426784646566e-06;0,09669637315456069;0,0;0,17068635209489044;0,0;0,0;0,0067493702422487655
полный;580,0;MNS_Q;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;-1,4551915228366852e-10;0,000793547194916755;-2,0514482973659846e-14;32;32;;;;100,0;0,0;0,0;0,0;1,1187399420653423e-07;0,49999988812600576;0,0;0,0;0,0;0,5;0,0;0,0
полный;580,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;3328,3646454872974;3446,8143801886326;0,4692143870992267;26;32;46,23937208482926;29,191551423501235;24,569076491669502;1,2645867681363747;0,00015440222664805936;0,0;0,28822398926785914;0,01246504327636042;8,948529624737285e-07;0,24258379201302546;2,5527323478857525e-05;0,4565463510377517;0,0;1,9139354536447977e-12;0,0
полный;580,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;8,315380130495343e-12;2,2464446374215186e-06;1,1722561699234197e-15;33;33;41,861499844965316;36,70992872646326;21,428571428571427;0,0;0,0;0,0;0,3670992872646326;0,0;0,0;0,21428571428571427;0,0;0,41861499844965316;0,0;0,0;0,0
полный;580,0;SIGMA;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;2093,322136789312;2586,2212584761;0,29510494432951073;31;32;30,426113649251928;42,280189882968465;27,293696467779615;3,4943538837602692;0,0;0,0;0,4080277042573174;0,034725073454530075;0,00021846538175484048;0,2633995812523602;0,0;0,2936291756527198;0,0;1,3047034595368634e-12;1,3071677041647289e-14
полный;595,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;5563,853974964311;5563,853975848244;0,7708089854089619;32;32;54,70119291812717;0,0;45,29880708187283;0,0;0,0;0,0;0,0;0,0;0,0;0,4529880708187283;0,0;0,5470119291812717;0,0;0,0;0,0
полный;595,0;FCC_A1;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;-7,5669827746554e-10;488,619303285348;-1,0483198051898249e-13;28;33;72,79034162381937;24,107791764040705;3,101866612139923;2,3955972008475523;0,005565635471308865;1,737029529689983e-06;0,2353026617935519;0,007335192159570331;0,007121994686419834;0,03027558382405474;0,000530251133055093;0,7104657823739179;1,1674941670213435e-15;0,0029892537538686865;0,00041190777472185187
