набор фаз;T, °C;фаза;фазовый набор равновесия;в равновесии;в наборе фаз расчёта;до устойчивости, уточнённое, Дж/моль;до устойчивости, по выборке 13-А, Дж/моль;то же в RT;стартов в пределах 1 Дж/моль от лучшего;стартов;Ni в точке минимума, ат. % (Ni+Cr+Mo=100);Cr в точке минимума, ат. % (Ni+Cr+Mo=100);Mo в точке минимума, ат. % (Ni+Cr+Mo=100);прочие элементы в точке минимума, ат. %;x(AL) в точке минимума;x(C) в точке минимума;x(CR) в точке минимума;x(FE) в точке минимума;x(MN) в точке минимума;x(MO) в точке минимума;x(NB) в точке минимума;x(NI) в точке минимума;x(S) в точке минимума;x(SI) в точке минимума;x(TI) в точке минимума
полный;580,0;SIGMA;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;2093,322136789312;2586,2212584761;0,29510494432951073;31;32;30,426113649251928;42,280189882968465;27,293696467779615;3,4943538837602692;0,0;0,0;0,4080277042573174;0,034725073454530075;0,00021846538175484048;0,2633995812523602;0,0;0,2936291756527198;0,0;1,3047034595368634e-12;1,3071677041647289e-14
полный;595,0;SIGMA;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;2046,224849718219;2554,062529355215;0,28348128966487174;30;32;30,49021771555685;41,88483084947189;27,62495143497125;3,4805310412976693;0,0;0,0;0,40427016310161;0,034578100365705064;0,00022721004523059308;0,26663456425133675;0,0;0,29428996223407655;0,0;2,0374133426968654e-12;3,6227871770977385e-15
полный;664,0;SIGMA;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;1816,1803473867008;2384,845938680366;0,2330857254041667;31;32;30,732272227612516;40,39511761100905;28,872610161378443;3,3400534364763814;0,0;0,0;0,3904589909707386;0,03313098866975066;0,0002695456817016948;0,27908249553482894;0,0;0,29705797912966864;0,0;1,3311452682829852e-11;1,2894393022839243e-18
полный;700,0;SIGMA;FCC_A1 + M23C6 + MNS_Q + P_PHASE;нет;да;1688,6695702137424;2284,039928145561;0,20870396762944546;29;32;30,8277968438584;39,77529432162924;29,39690883451236;3,231861104745616;0,0;0,0;0,38489812055150413;0,03202600079771775;0,00029261021815413197;0,2844684157189223;0,0;0,2983148526821175;0,0;3,157136517341089e-11;1,2913111019359704e-14
полный;750,0;SIGMA;FCC_A1 + M23C6 + MNS_Q + P_PHASE;нет;да;1512,7689361111338;2139,627263105227;0,17782757423795656;30;32;30,950962481472686;39,08215938141296;29,96687813711436;3,033335103716332;0,0;0,0;0,3789666652160619;0,030007238948485147;0,00032611199324328425;0,29057882303093374;0,0;0,30012116071584105;0,0;9,54325215544922e-11;2,366671166561884e-15
без P;580,0;SIGMA;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;да;да;1,4745940764745075e-08;373,5611509976443;2,078800941330864e-12;31;33;28,940474875824222;38,07729955393679;32,98222557023899;3,5012527108814875;0,0;0,0;0,36744117071074106;0,03476247496214577;0,00025005214565330285;0,3182743450335194;0,0;0,27927195714692443;0,0;1,0155789267858936e-12;2,2629094628111835e-16
без P;595,0;SIGMA;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;да;да;5,665545662244162e-10;308,56892822877853;7,848972175317702e-14;32;33;28,83019775590837;37,68474150395396;33,48506074013766;2,418124018876689;0,0;0,0;0,36773477718195263;0,024020098130176047;0,00016114205455337088;0,3267535044364495;0,0;0,2813304781928311;0,0;4,037354136556214e-12;1,1554802790634872e-16
без P;664,0;SIGMA;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;да;да;1,6298145055770873e-10;358,1740632912624;2,091678267817878e-14;32;33;29,13382797527606;37,17352379693491;33,69264822778904;2,3336131299522984;0,0;0,0;0,36306037564743693;0,02314430208447314;0,00019182919491353377;0,32906392164916715;0,0;0,284539571403873;0,0;2,0135645384414177e-11;6,640160323227843e-16
без P;700,0;SIGMA;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;да;да;2,328306436538696e-11;392,7872195483287;2,8775717862985806e-15;32;33;29,30467174098686;36,89870960897394;33,79661865003921;2,3747352802506456;0,0;0,0;0,3602246293393239;0,023531258031333446;0,00021609472527994963;0,32994038423424954;0,0;0,28608763362392;0,0;4,589192645376906e-11;1,134182607257279e-15
без P;750,0;SIGMA;FCC_A1 + M6C + MNS_Q + SIGMA;да;да;-1,6298145055770876e-10;443,9203259769347;-1,9158640362464205e-14;32;33;29,548530137176986;36,506840049528506;33,944629813294505;2,436789432738459;0,0;0,0;0,3561724522897487;0,024116243094101552;0,00025165110234478096;0,33117470661021964;0,0;0,2882849467726472;0,0;1,3093825785848447e-10;5,6014019402880845e-27
FCC+σ;580,0;SIGMA;FCC_A1 + SIGMA;да;да;4,819594323635101e-09;282,8509515945334;6,794396760876142e-13;31;33;28,71802426315039;37,70486881904034;33,57710691780927;2,2348812911065137;0,0;0,0;0,3686220975996735;0,022199102729097173;0,00014971018051193545;0,32826698437208307;0,0;0,2807621051171781;0,0;1,3129127592254723e-12;1,431152558674983e-13
FCC+σ;595,0;SIGMA;FCC_A1 + SIGMA;да;да;-7,761021455128988e-12;295,1397531976181;-1,07520166785174e-15;31;33;28,788957922679636;37,60072892511102;33,61031315220934;2,25006152708551;0,0;0,0;0,3675468938966338;0,02234146381577405;0,0001591514517225589;0,3285406042683852;0,0;0,28141188656412586;0,0;3,3579967255023492e-12;4,917304097548449e-16
FCC+σ;664,0;SIGMA;FCC_A1 + SIGMA;да;да;7,099782427151997e-08;356,4878351541556;9,111748949522833e-12;32;33;29,120072422881;37,113515312867676;33,76641226425132;2,32441651340797;0,0;0,0;0,3625084263422918;0,023038271635661606;0,00020589348633747627;0,3298154020159565;0,0;0,2844320065076719;0,0;1,0863584362533555e-11;1,2170370047020764e-12
FCC+σ;700,0;SIGMA;FCC_A1 + SIGMA;да;да;8,537123600641886e-11;391,26540314988233;1,0551096549761462e-14;32;33;29,29529888083642;36,847491346620906;33,857209772542674;2,3664394332572556;0,0;0,0;0,3597551778122841;0,023432231673257687;0,000232162611915886;0,33055999409484593;0,0;0,28602043376029734;0,0;4,739853930510157e-11;4,421234423598859e-16
