набор фаз;T, °C;фаза;фазовый набор равновесия;в равновесии;в наборе фаз расчёта;до устойчивости, уточнённое, Дж/моль;до устойчивости, по выборке 13-А, Дж/моль;то же в RT;стартов в пределах 1 Дж/моль от лучшего;стартов;Ni в точке минимума, ат. % (Ni+Cr+Mo=100);Cr в точке минимума, ат. % (Ni+Cr+Mo=100);Mo в точке минимума, ат. % (Ni+Cr+Mo=100);прочие элементы в точке минимума, ат. %;x(AL) в точке минимума;x(C) в точке минимума;x(CR) в точке минимума;x(FE) в точке минимума;x(MN) в точке минимума;x(MO) в точке минимума;x(NB) в точке минимума;x(NI) в точке минимума;x(S) в точке минимума;x(SI) в точке минимума;x(TI) в точке минимума
полный;580,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;3328,3646454872974;3446,8143801886326;0,4692143870992267;26;32;46,23937208482926;29,191551423501235;24,569076491669502;1,2645867681363747;0,00015440222664805936;0,0;0,28822398926785914;0,01246504327636042;8,948529624737285e-07;0,24258379201302546;2,5527323478857525e-05;0,4565463510377517;0,0;1,9139354536447977e-12;0,0
полный;580,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;5543,652296960308;5543,652377903018;0,7815133532127222;32;32;54,70947560483745;0,0;45,29052439516255;0,0;0,0;0,0;0,0;0,0;0,0;0,45290524395162546;0,0;0,5470947560483745;0,0;0,0;0,0
полный;580,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;8,315380130495343e-12;2,2464446374215186e-06;1,1722561699234197e-15;33;33;41,861499844965316;36,70992872646326;21,428571428571427;0,0;0,0;0,0;0,3670992872646326;0,0;0,0;0,21428571428571427;0,0;0,41861499844965316;0,0;0,0;0,0
полный;595,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;3389,948711528537;3536,9071487638066;0,4696390197656994;21;32;45,752714914388726;28,06596831723101;26,18131676838025;1,7442569787566649;0,00014215612982445384;0,0;0,2757642570620208;0,017280004243776723;1,4277640600678935e-06;0,25724647323517397;1,8981647374451677e-05;0,4495466999152387;0,0;2,530956253220881e-12;0,0
полный;595,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;5563,853974964311;5563,853975848244;0,7708089854089619;32;32;54,70119291812717;0,0;45,29880708187283;0,0;0,0;0,0;0,0;0,0;0,0;0,4529880708187283;0,0;0,5470119291812717;0,0;0,0;0,0
полный;595,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;-8,315380130495343e-12;0,0013716487810597755;-1,152001786984007e-15;33;33;41,83596736156157;36,735461209867;21,428571428571427;0,0;0,0;0,0;0,36735461209867;0,0;0,0;0,21428571428571427;0,0;0,4183596736156157;0,0;0,0;0,0
полный;664,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;3424,7681393449266;3763,5827780037725;0,4395293491909612;30;32;44,43165619236924;12,125388626783723;43,44295518084704;9,50254197652103;2,2231637216128556e-06;0,0;0,10973168482707292;0,09498424277210568;3,8145164738627546e-05;0,39314770128945836;8,085130390829266e-07;0,40209519411825845;0,0;1,516052845973819e-10;0,0
полный;664,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;нет;да;5660,253200018529;5660,253275136682;0,7264279811175957;32;32;54,64999612122045;0,0;45,35000387877956;0,0;0,0;0,0;0,0;0,0;0,0;0,4535000387877956;0,0;0,5464999612122045;0,0;0,0;0,0
полный;664,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;да;да;-4,989228078297206e-11;0,00034496049920562655;-6,403096738217995e-15;33;33;41,710762893511905;36,86066567791668;21,428571428571427;0,0;0,0;0,0;0,36860665677916676;0,0;0,0;0,21428571428571427;0,0;0,41710762893511905;0,0;0,0;0,0
полный;700,0;MU_PHASE;FCC_A1 + M23C6 + MNS_Q + P_PHASE;нет;да;3414,863982787821;3800,2887237414907;0,4220456593130292;29;32;43,98318337307493;12,448164430207632;43,56865219671744;9,174460483402102;3,9672809957253625e-06;0,0;0,11306112503649315;0,09169386848297698;4,5933988151313964e-05;0,39571463417778685;8,350818585544007e-07;0,39947963595169883;0,0;3,8467900746421317e-14;0,0
полный;700,0;D_NIMO;FCC_A1 + M23C6 + MNS_Q + P_PHASE;нет;да;5711,002871031524;5711,002897945007;0,7058272259720816;32;32;54,60908838599637;0,0;45,390911614003635;0,0;0,0;0,0;0,0;0,0;0,0;0,4539091161400363;0,0;0,5460908838599637;0,0;0,0;0,0
полный;700,0;P_PHASE;FCC_A1 + M23C6 + MNS_Q + P_PHASE;да;да;4,9892280782972054e-11;0,0001176584919448942;6,1662252563541e-15;33;33;41,6405256015394;36,93090296988918;21,428571428571427;0,0;0,0;0,0;0,36930902969889173;0,0;0,0;0,21428571428571425;0,0;0,4164052560153939;0,0;0,0;0,0
полный;750,0;MU_PHASE;FCC_A1 + M23C6 + MNS_Q + P_PHASE;нет;да;3401,4803953886462;3871,4008267016397;0,3998475861653281;29;32;43,302216650841345;13,34238536836795;43,3553979807907;8,48906807743913;8,471021933138656e-06;0,0;0,1220974119129292;0,08482505100362212;5,624661952760757e-05;0,3967492873095671;9,121275567864865e-07;0,3962626200031124;0,0;1,7516560337101833e-12;0,0
полный;750,0;D_NIMO;FCC_A1 + M23C6 + MNS_Q + P_PHASE;нет;да;5778,597437160281;5778,59760897985;0,679280186298322;32;32;54,58052333053281;0,0;45,41947666946719;0,0;0,0;0,0;0,0;0,0;0,0;0,4541947666946719;0,0;0,5458052333053282;0,0;0,0;0,0
полный;750,0;P_PHASE;FCC_A1 + M23C6 + MNS_Q + P_PHASE;да;да;-5,820766091346741e-11;0,0001797377408365719;-6,84237155802293e-15;33;33;41,54473817018853;37,026690401240046;21,428571428571427;0,0;0,0;0,0;0,3702669040124005;0,0;0,0;0,21428571428571427;0,0;0,4154473817018853;0,0;0,0;0,0
без P;580,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;да;1691,6982977134357;2026,4755218176942;0,23848624308476307;28;32;43,231214407378026;8,960255130634458;47,80853046198752;12,442837430784651;1,823408970486136e-07;0,0;0,07845345151346073;0,12435527440542152;7,252274289436519e-05;0,41859792738555257;3,9478545738556907e-07;0,3785202467931403;0,0;3,317619663782709e-11;0,0
без P;580,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;да;3901,5948041546676;3901,59501235115;0,5500251954734166;32;32;51,197961354461675;0,0;48,80203864553833;0,0;0,0;0,0;0,0;0,0;0,0;0,4880203864553833;0,0;0,5119796135446167;0,0;0,0;0,0
без P;580,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;нет;-1469,7128462252856;-1469,7124178540616;-0,20719196536607043;32;32;41,132468144891035;37,438960426537534;21,428571428571427;0,0;0,0;0,0;0,3743896042653754;0,0;0,0;0,21428571428571427;0,0;0,4113246814489103;0,0;0,0;0,0
без P;595,0;MU_PHASE;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;да;1855,6242444653496;2045,7060613330395;0,2570757334057788;29;32;43,391098865152436;14,754063358608652;41,85483777623892;8,021760644619642;3,061485621023225e-06;0,0;0,13570527710625538;0,08017079727209286;4,237293638055544e-05;0,3849734287163519;1,3747381079140767e-06;0,3991036877311964;0,0;1,3994052050341032e-11;0,0
без P;595,0;D_NIMO;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;да;3636,372389576348;3636,372389987657;0,5037782308433941;32;32;51,0482150833247;0,0;48,95178491667531;0,0;0,0;0,0;0,0;0,0;0,0;0,48951784916675306;0,0;0,510482150833247;0,0;0,0;0,0
без P;595,0;P_PHASE;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;нет;нет;-1503,716578080718;-1503,7165732623107;-0,20832290982267718;32;32;41,22757093347557;37,343857637953;21,428571428571427;0,0;0,0;0,0;0,37343857637953;0,0;0,0;0,21428571428571427;0,0;0,4122757093347557;0,0;0,0;0,0
