набор фаз;T, °C;фазовый набор;σ, мольн. %;σ, масс. %;вершин σ;FCC_A1, мольн. %;GAMMA_PRIME, мольн. %;M23C6, мольн. %;MNS_Q, мольн. %;P_PHASE, мольн. %;матрица Ni, ат. % (Ni+Cr+Mo=100);матрица Cr, ат. % (Ni+Cr+Mo=100);матрица Mo, ат. % (Ni+Cr+Mo=100);матрица Ni, ат. % (все элементы);матрица Cr, ат. % (все элементы);матрица Mo, ат. % (все элементы);матрица: евклид, ат. % (до измеренной);матрица: Чебышёв, ат. % (до измеренной);матрица: ΔNi, ат. % (до измеренной);матрица: ΔCr, ат. % (до измеренной);матрица: ΔMo, ат. % (до измеренной);M23C6_WY, мольн. %;NI2CR, мольн. %;σ Ni, ат. % (Ni+Cr+Mo=100);σ Cr, ат. % (Ni+Cr+Mo=100);σ Mo, ат. % (Ni+Cr+Mo=100);σ прочие элементы, ат. %;σ: евклид, ат. % (до измеренной ТПУ);σ: Чебышёв, ат. % (до измеренной ТПУ);σ: ΔNi, ат. % (до измеренной ТПУ);σ: ΔCr, ат. % (до измеренной ТПУ);σ: ΔMo, ат. % (до измеренной ТПУ);σ y(FE) подрешётки 1;σ y(MN) подрешётки 1;σ y(NI) подрешётки 1;σ y(CR) подрешётки 2;σ y(MO) подрешётки 2;σ y(CR) подрешётки 3;σ y(FE) подрешётки 3;σ y(MN) подрешётки 3;σ y(MO) подрешётки 3;σ y(NI) подрешётки 3;M6C, мольн. %
полный;580,0;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;0,0;0,0;0;70,15210844374981;1,43307513301085;0,11945577750324672;0,07434385060443913;28,221016672713027;73,04062111509499;24,026485139102864;2,932893745802138;71,29802698383027;23,453264219577207;2,8629211284964287;10,288902650929211;8,140621115094987;8,140621115094987;-2,273514860897137;-5,8671062541978625;;;;;;;;;;;;;;;;;;;;;;
полный;595,0;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;0,0;0,0;0;70,94025139871913;1,2913308343307794;0,11931758346934175;0,0743438540327089;27,57475609480223;72,79034157983695;24,107791449521553;3,101866970641496;71,04657856615353;23,530265995472664;3,027558748157908;9,976571986186483;7,890341579836942;7,890341579836942;-2,1922085504784476;-5,698133029358505;;;;;;;;;;;;;;;;;;;;;;
полный;664,0;FCC_A1 + GAMMA_PRIME + M23C6 + MNS_Q + P_PHASE;0,0;0,0;0;75,0364103002809;0,49630953454644583;0,1181108536689048;0,07434386912640421;24,27482568697629;71,61412869895895;24,47803038375768;3,907840917283367;69,84035611921496;23,871746960505185;3,811049666855438;8,50484085443703;6,714128698958945;6,714128698958945;-1,8219696162423205;-4,892159082716634;;;;;;;;;;;;;;;;;;;;;;
полный;700,0;FCC_A1 + M23C6 + MNS_Q + P_PHASE;0,0;0,0;0;77,50216252218527;;0,11687480154170607;0,07434385197343389;22,30661887710223;70,97599788436311;24,67575786708099;4,3482442485559;69,17576198501736;24,0498817049979;4,237955339224501;7,705455344601632;6,075997884363105;6,075997884363105;-1,6242421329190115;-4,451755751444101;;;;;;;;;;;;;;;;;;;;;;
полный;750,0;FCC_A1 + M23C6 + MNS_Q + P_PHASE;0,0;0,0;0;80,71636788152864;;0,11367109947697746;0,07434385873950247;19,095616936837214;69,80072767291499;25,154343799126874;5,044928527958141;68,10020256772543;24,541519340685262;4,922021104186271;6,279348820922147;4,900727672914982;4,900727672914982;-1,1456562008731268;-3,75507147204186;;;;;;;;;;;;;;;;;;;;;;
без P;580,0;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;5,539207828131454;6,3188664357401825;1;51,34945726423684;1,9577233474424887;;0,07434393434981455;;67,99878949636404;27,07622141258966;4,924989091046304;66,19641798344153;26,35854084043413;4,794447648986801;5,022024050982722;3,875010908953697;3,0987894963640343;0,7762214125896598;-3,875010908953697;0,11972076689395938;40,959546886815495;28,94047489811827;38,077299434643265;32,982225667238474;3,501252784199181;19,97338897726007;16,29907765642149;-8,621962664319287;16,29907765642149;-7,677114992102183;0,003603496624986416;0,00025119290066715654;0,9961453104743644;0,9998110369908224;0,00018896300917782771;0,39022171835826525;0,05633590546583488;0,0003051122518578606;0,5304152510997436;0,02272201281674315;
без P;595,0;FCC_A1 + GAMMA_PRIME + M23C6_WY + MNS_Q + NI2CR + SIGMA;8,113567629382178;9,302509234898704;1;82,74438122811179;1,4461771033067072;;0,07434384734111533;;67,43124735884027;26,828259994311615;5,74049264684811;66,23982380267728;26,354239088870106;5,639065512821668;4,00585285017016;3,059507353151891;2,531247358840261;0,5282599943116146;-3,059507353151891;0,11935809936339228;7,502172207163932;28,830197706504922;37,684741969562346;33,485060323932736;2,418124049539208;19,512552263353054;15,906520191340569;-8,732239855932637;15,906520191340569;-7,174280335407921;0,002675023545580747;0,00016205573498872774;0,9971629207194407;0,999759892843497;0,00024010715650291678;0,3907224376068302;0,03884459813955987;0,0001965452219429798;0,5445358099747304;0,025700609050821825;
без P;664,0;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;6,30650023965304;7,243308163292051;1;92,75799673013665;0,6900242540118041;;0,07434385066630529;;66,48544758972;26,992800201738454;6,521752208541562;65,29090729335631;26,50782207913263;6,404576253525411;2,860774227121571;2,2782477914584387;1,5854475897199904;0,6928002017384536;-2,2782477914584387;;;29,133828018059983;37,17352414716516;33,69264783477486;2,333613065604549;18,88363319900657;15,395302368943383;-8,428609544377576;15,395302368943383;-6,966692824565797;0,003360154833154028;0,0002133523895300525;0,9964264927773127;0,9995834891989386;0,0004165108010613345;0,38297096791225793;0,03708043366129778;0,00022489196628965142;0,5483473054234499;0,0313764010031915;0,1711348552300912
без P;700,0;FCC_A1 + GAMMA_PRIME + M6C + MNS_Q + SIGMA;4,996527994362266;5,742972993219166;1;94,58065490561009;0,17887343205152995;;0,07434386543940893;;66,08474214176606;27,046626487635795;6,868631370598165;64,82158390527924;26,529651344663307;6,73734284607687;2,3856340534862626;1,9313686294018355;1,1847421417660513;0,746626487635794;-1,9313686294018355;;;29,30467181763894;36,89870906439236;33,796619117968696;2,3747354737613016;18,544993335712643;15,12048728617058;-8,257765744798618;15,12048728617058;-6,862721541371961;0,003851097604194123;0,00025215687593265916;0,995896745519865;0,9994611411854673;0,0005388588145327802;0,3782718963623454;0,03750716877119755;0,00024808705697711646;0,5497809005108093;0,034191947221996026;0,16959997986648556
без P;750,0;FCC_A1 + M6C + MNS_Q + SIGMA;3,0276713804345468;3,4836060349426505;1;96,73191019155682;;;0,07434384625911829;;65,3735201381215;27,223763839326494;7,402716022552005;64,09394057529295;26,69090325971454;7,2578199834238095;1,740679024313995;1,3972839774479962;0,4735201381215006;0,9237638393264938;-1,3972839774479962;;;29,54853013137289;36,50683969369802;33,944630174929095;2,4367895044720456;18,062176914846887;14,728617915476242;-8,01390743106467;14,728617915476242;-6,714710484411562;0,0045851667842091385;0,0003116230040750524;0,9951032102117069;0,9992467462962751;0,0007532537037248979;0,37156591508350933;0,03815588843202614;0,00028091873972279036;0,551790460112971;0,038206817412672026;0,16607466786923378
FCC+σ;580,0;FCC_A1 + SIGMA;9,63214697183739;11,052612721794562;1;90,36785309014559;;;;;68,03047745214484;26,418478797871227;5,551043749983934;66,63770821717654;25,877620554884178;5,437398759584165;4,513274090773866;3,248956250016067;3,130477452144831;0,1184787978712265;-3,248956250016067;;;28,718023899729392;37,704868463680725;33,57710763658988;2,2348813632966045;19,545837210748505;15,926646685458948;-8,844413662708167;15,926646685458948;-7,082233022750778;0,002331509329283615;0,00014723722522002732;0,9975212534454891;0,9997835937280615;0,000216406271938357;0,3921960244826054;0,03596227975426608;0,00018407782837090027;0,5470635616454425;0,024594056285682245;
FCC+σ;595,0;FCC_A1 + SIGMA;9,077865824147104;10,41917269547267;1;90,92213423026027;;;;;67,78360427542394;26,497701668595322;5,7186940559807296;66,39614130487479;25,9553200666898;5,6016380757420166;4,2247728800087065;3,081305944019271;2,8836042754239344;0,19770166859532168;-3,081305944019271;;;28,788958113521954;37,600728606661065;33,61031327981698;2,2500616285348163;19,416859966890293;15,822506828439288;-8,773479448915605;15,822506828439288;-7,049027379523679;0,002495396346802377;0,00016034980181934817;0,9973442538513708;0,9997545059109868;0,0002454940890129836;0,39041048269033196;0,03612670952048762;0,00019398599453274593;0,5475131210492885;0,025755700739745827;
