,"Радиус класса, нм","Число частиц в классе, 1/м³"
0,0.28000000000000003,0
1,0.44000000000000006,2.850489951112349e+22
2,0.59999999999999998,6.566010017202594e+22
3,0.76000000000000001,1.2216401581779105e+23
4,0.91999999999999993,1.9655507467910544e+23
5,1.0800000000000001,2.7774832240945831e+23
6,1.24,3.4150529230977959e+23
7,1.3999999999999999,3.6549941842683079e+23
8,1.5600000000000001,3.7515317113600685e+23
9,1.72,4.8916786453312101e+23
10,1.8800000000000001,9.1276833205763579e+23
11,2.04,3.2057803769157838e+23
12,2.1999999999999997,5.9559610228106632e+22
13,2.3600000000000003,1.1564568734604257e+22
14,2.52,2.107193230757403e+21
15,2.6799999999999997,3.5044515792536961e+20
16,2.8400000000000003,5.3070214672129942e+19
17,3,7.343191674143275e+18
18,3.1599999999999997,9.325004330930313e+17
19,3.3200000000000003,1.0915453682841701e+17
20,3.48,11825742725521330
21,3.6399999999999997,1190199069743867.2
22,3.8000000000000003,111653182568378.09
23,3.9600000000000004,9792437166727.375
24,4.1200000000000001,805098693506.974
25,4.2799999999999994,62200202223.493546
26,4.4400000000000004,4525366107.1577787
27,4.5999999999999996,310651484.85136265
28,4.7599999999999989,20156136.577170506
29,4.9200000000000008,1238061.0392909932
30,5.0800000000000001,72093.367857489211
31,5.2399999999999993,3982.9030686442788
32,5.4000000000000004,205.87352336045379
33,5.5599999999999996,6.0487762432417771
34,5.7199999999999989,0
35,5.8800000000000008,0
36,6.04,0
