file                           123c7e4            123c7e4_repeat     7bf1859            wave13-release     rel_repeat         rel_skip           rel_setup_only     rel_df_only        rel_setup_df      
db_parameters.txt              b8f888f481b6       b8f888f481b6       78f3853e1768       78f3853e1768       78f3853e1768       78f3853e1768       78f3853e1768       78f3853e1768       78f3853e1768      
ni15al_scan.csv                a84a20231415       a84a20231415       a84a20231415       a84a20231415       a84a20231415       a84a20231415       a84a20231415       a84a20231415       a84a20231415      
kwn_kinetics.csv               3ac535ee450a       3ac535ee450a       3ac535ee450a       0fef7c3e0d7d       0fef7c3e0d7d       3ac535ee450a       3ac535ee450a       3ac535ee450a       0fef7c3e0d7d      
kwn_summary.csv                2dd22f58327c       2dd22f58327c       2dd22f58327c       2dd22f58327c       2dd22f58327c       2dd22f58327c       2dd22f58327c       2dd22f58327c       2dd22f58327c      
kwn_matrix_composition.csv     23eb50c201aa       23eb50c201aa       23eb50c201aa       720a5afcb54a       720a5afcb54a       23eb50c201aa       23eb50c201aa       23eb50c201aa       720a5afcb54a      
kwn_interface_composition.csv  8e57b5e90e3b       8e57b5e90e3b       8e57b5e90e3b       35c7631d4a42       35c7631d4a42       8e57b5e90e3b       8e57b5e90e3b       8e57b5e90e3b       35c7631d4a42      
kwn_psd.csv                    224751ed6982       224751ed6982       224751ed6982       7fe5055fcb4c       7fe5055fcb4c       224751ed6982       224751ed6982       224751ed6982       7fe5055fcb4c      
kwn_npz_arrays.txt             c925384ae3cd       c925384ae3cd       c925384ae3cd       64fa3256b52b       64fa3256b52b       c925384ae3cd       c925384ae3cd       c925384ae3cd       64fa3256b52b      
kwn_quality.csv                7b8a379fa0bd       7b8a379fa0bd       7b8a379fa0bd       dcd1812d1699       dcd1812d1699       dcd1812d1699       dcd1812d1699       dcd1812d1699       dcd1812d1699      
kwn_settings.csv               ced52fb2d96b       ced52fb2d96b       02bbaf7381f0       d9d1e8efbefe       d9d1e8efbefe       d9d1e8efbefe       d9d1e8efbefe       d9d1e8efbefe       d9d1e8efbefe      
kwn_warnings.json              74234e98afe7       74234e98afe7       74234e98afe7       4f53cda18c2b       4f53cda18c2b       4f53cda18c2b       4f53cda18c2b       4f53cda18c2b       4f53cda18c2b      
