,"Радиус класса, нм","Число частиц в классе, 1/м³"
0,0.65833333333333344,8.4898587798757415e+20
1,0.97500000000000009,1.9913023712129382e+21
2,1.2916666666666667,3.1908899117787529e+21
3,1.6083333333333334,5.7664304687539846e+21
4,1.9249999999999998,9.5944494586924462e+21
5,2.2416666666666667,1.4700364238109368e+22
6,2.5583333333333331,2.062985293576841e+22
7,2.875,2.6155777248285642e+22
8,3.1916666666666664,2.9532464224850724e+22
9,3.5083333333333333,2.9466235742915083e+22
10,3.8249999999999993,2.6132600596138968e+22
11,4.1416666666666675,2.0758682593913188e+22
12,4.4583333333333339,1.483057310714696e+22
13,4.7749999999999995,9.5595714284063954e+21
14,5.0916666666666668,5.5739689431888476e+21
15,5.4083333333333341,2.9469243613300623e+21
16,5.7249999999999996,1.416200987879988e+21
17,6.041666666666667,6.2028589559515749e+20
18,6.3583333333333343,2.4817919486639987e+20
19,6.6749999999999998,9.1125114948970103e+19
20,6.9916666666666663,3.0794846152508625e+19
21,7.3083333333333327,9.5964174668890071e+18
22,7.6250000000000009,2.764656760717055e+18
23,7.9416666666666664,7.3817571239954611e+17
24,8.2583333333333329,1.8310454569644134e+17
25,8.5749999999999993,42290693175659504
26,8.8916666666666657,9114584761049782
27,9.2083333333333339,1836847960023953.5
28,9.5249999999999986,346826080098523.75
29,9.841666666666665,61471316590123.109
30,10.158333333333333,10245641026741.357
31,10.475,1608645157391.9521
32,10.791666666666666,238314748123.89139
33,11.108333333333333,33365216907.493465
34,11.424999999999999,4421212380.0654955
35,11.741666666666665,555284875.19303477
36,12.058333333333332,66192995.668803476
37,12.375,7498904.261989004
38,12.691666666666666,808375.87764866254
39,13.008333333333333,83014.334218998207
40,13.324999999999999,8125.7793673275683
41,13.641666666666666,754.10105105691048
42,13.958333333333332,57.609089202852218
43,14.275,0
