"Радиус класса, нм","Число частиц в классе, 1/м³"
0.1556875,0.0
0.26706250000000004,0.0
0.37843750000000004,3.6204844055135744e+18
0.48981250000000004,3.6158571025893524e+18
0.6011875,3.6112390191824353e+18
0.7125625,3.606630140894041e+18
0.8239375000000001,3.602030452571767e+18
0.9353125000000001,3.5974399386054856e+18
1.0466875,3.5928585827177636e+18
1.1580625,3.588286368156645e+18
1.2694375000000002,3.5837232776989435e+18
1.3808125,3.5791692936662994e+18
1.4921875,3.574624398038472e+18
1.6035625000000002,3.5700885723038853e+18
1.7149375,3.5655617977395046e+18
1.8263125,3.5610440552226785e+18
1.9376875000000002,3.556535325316377e+18
2.0490625,3.5520355883961196e+18
2.1604375,3.547544824520823e+18
2.2718125000000002,3.543063013514447e+18
2.3831875,3.5385901251778903e+18
2.4945625000000002,3.5341261702506537e+18
2.6059375,3.52967109281548e+18
2.7173125,3.5252248880755886e+18
2.8286875,3.5207875326997596e+18
2.9400625000000002,3.516359005517919e+18
3.0514375,3.5119392852415764e+18
3.1628125000000002,3.507528350535061e+18
3.2741875000000005,3.5031261798808074e+18
3.3855625,3.4987327517012454e+18
3.4969375,3.277840974812473e+18
3.6083125000000003,3.281307092737897e+18
3.7196875,3.293863500318312e+18
3.8310625,3.304881502980956e+18
3.9424375000000005,3.3145049472450386e+18
4.0538125,3.3228681260171776e+18
4.1651875,3.331384908649425e+18
4.276562500000001,3.3422081463322435e+18
4.3879375000000005,3.3562659547012255e+18
4.499312499999999,3.4044384993713367e+18
4.6106875,3.490594740958408e+18
4.7220625,3.700469985805162e+18
4.8334375,3.9187018311090396e+18
4.9448125,4.1455105258238316e+18
5.0561875,4.38112182425736e+18
5.1675625,4.625767064567622e+18
5.2789375000000005,4.879683243108055e+18
5.3903125,5.143113083989757e+18
5.5016875,5.416305103172903e+18
5.613062500000001,5.699513666336802e+18
5.7244375000000005,5.992999039709872e+18
5.8358125,6.297027432970706e+18
5.9471875,6.611871033252628e+18
6.0585625,6.937808029198902e+18
6.1699375,7.275122623927642e+18
6.2813125,7.624105035667251e+18
6.3926875,7.985051484716719e+18
6.5040625,8.358264165275283e+18
6.6154375000000005,8.744051200563503e+18
6.7268125,9.142726579525855e+18
6.8381875,9.554610073268204e+18
6.949562500000001,9.980027129232013e+18
7.0609375000000005,1.0419308740944202e+19
7.1723125,1.0872791291012317e+19
7.283687500000001,1.1340816364848464e+19
7.3950625,1.1823730532404853e+19
7.5064375,1.232188509499699e+19
7.6178124999999985,1.283563579406074e+19
7.729187499999999,1.3365342478447032e+19
7.840562499999998,1.3911368726606264e+19
7.951937499999999,1.4474081419732394e+19
8.0633125,1.5053850261646797e+19
8.1746875,1.5651047240898329e+19
8.286062499999998,1.6266046030215393e+19
8.397437499999999,1.6899221318101199e+19
8.508812499999998,1.7550948067000762e+19
8.620187499999998,1.822160069206567e+19
8.731562499999999,1.8911552154136625e+19
8.8429375,1.9621172960139063e+19
8.954312499999999,2.0350830063619965e+19
9.0656875,2.110088565768538e+19
9.177062499999998,2.1871695852112945e+19
9.288437499999999,2.266360922588444e+19
9.3998125,2.3476965245859942e+19
9.5111875,2.4312092541778026e+19
9.622562499999999,2.516930702719125e+19
9.7339375,2.6048909855386284e+19
9.845312499999999,2.6951185198776586e+19
9.9566875,2.7876397839667024e+19
10.0680625,2.88247905597366e+19
10.1794375,2.979658131505346e+19
10.2908125,3.079196018289987e+19
10.4021875,3.1811086066219545e+19
10.513562499999999,3.2854083141095916e+19
10.6249375,3.3921037032305263e+19
10.7363125,3.501199070175697e+19
10.847687500000001,3.6126940034533446e+19
10.9590625,3.726582910726072e+19
11.070437499999999,3.842854512379441e+19
11.1818125,3.961491300369787e+19
11.293187499999998,4.082468960970777e+19
11.404562499999999,4.205755760142208e+19
11.5159375,4.331311890374851e+19
11.627312499999999,4.4590887780080394e+19
11.7386875,4.589028350165747e+19
11.850062499999998,4.7210622605943865e+19
11.961437499999999,4.855111073808977e+19
12.0728125,4.991083407137152e+19
12.1841875,5.1288750306504114e+19
12.295562499999999,5.2683679258444775e+19
12.4069375,5.409429305491721e+19
12.518312499999999,5.551910599100327e+19
12.6296875,5.695646409817555e+19
12.7410625,5.840453448098899e+19
