"Радиус класса, нм","Число частиц в классе, 1/м³"
0.1556875,0.0
0.26706250000000004,0.0
0.37843750000000004,6.369285384257822e+18
0.48981250000000004,6.358223018289736e+18
0.6011875,6.347191492752562e+18
0.7125625,6.336190642525387e+18
0.8239375000000001,6.325220418794812e+18
0.9353125000000001,6.314280626052864e+18
1.0466875,6.303371147472511e+18
1.1580625,6.29249188892074e+18
1.2694375000000002,6.28164275157854e+18
1.3808125,6.270823636295121e+18
1.4921875,6.260034443068613e+18
1.6035625000000002,6.249275071545952e+18
1.7149375,5.332216080537718e+18
1.8263125,5.648262196348871e+18
1.9376875000000002,5.715984975806078e+18
2.0490625,5.772849559914162e+18
2.1604375,5.819925316444298e+18
2.2718125000000002,5.858511311416164e+18
2.3831875,5.889869339667527e+18
2.4945625000000002,5.915128726126778e+18
2.6059375,5.935262574725703e+18
2.7173125,5.951093264605172e+18
2.8286875,5.963308811051241e+18
2.9400625000000002,5.972481992238917e+18
3.0514375,5.97908876794411e+18
3.1628125000000002,5.983799341088622e+18
3.2741875000000005,5.987797922774349e+18
3.3855625,6.004811455566706e+18
3.4969375,6.079626467420273e+18
3.6083125000000003,6.569725654850756e+18
3.7196875,7.082843723624101e+18
3.8310625,7.622624422341202e+18
3.9424375000000005,8.190000806949337e+18
4.0538125,8.785936313072682e+18
4.1651875,9.411425256924846e+18
4.276562500000001,1.0067493285851195e+19
4.3879375000000005,1.0755197769384712e+19
4.499312499999999,1.1475628120645239e+19
4.6106875,1.2229906036745413e+19
4.7220625,1.30191856455823e+19
4.8334375,1.384465354498844e+19
4.9448125,1.470752871866621e+19
5.0561875,1.560906231162801e+19
5.1675625,1.655053724600761e+19
5.2789375000000005,1.753326765606697e+19
5.3903125,1.8558598118989394e+19
5.5016875,1.962790265561956e+19
5.613062500000001,2.0742583472650797e+19
5.7244375000000005,2.190406941486048e+19
5.8358125,2.3113814092851937e+19
5.9471875,2.4373293648338883e+19
6.0585625,2.568400411529605e+19
6.1699375,2.7047458331299635e+19
6.2813125,2.8465182349049856e+19
6.3926875,2.9938711293404926e+19
6.5040625,3.1469584604265316e+19
6.6154375000000005,3.3059340600293876e+19
6.7268125,3.4709510292748685e+19
6.8381875,3.6421610372664803e+19
6.949562500000001,3.81971352882286e+19
7.0609375000000005,4.003754832248014e+19
7.1723125,4.194427157452399e+19
7.283687500000001,4.391867474025985e+19
7.3950625,4.596206258139207e+19
7.5064375,4.807566096436616e+19
7.6178124999999985,5.026060134416919e+19
7.729187499999999,5.251790356221242e+19
7.840562499999998,5.4848456823769014e+19
7.951937499999999,5.725299872033781e+19
8.0633125,5.973209216913916e+19
8.1746875,6.228610016165991e+19
8.286062499999998,6.491515825674874e+19
8.397437499999999,6.76191448419108e+19
8.508812499999998,7.0397649356690915e+19
8.620187499999998,7.324993899125609e+19
8.731562499999999,7.617492495588594e+19
8.8429375,7.917113044386318e+19
8.954312499999999,8.223666412881176e+19
9.0656875,8.53692056786102e+19
9.177062499999998,8.856601320872693e+19
9.288437499999999,9.182396541012047e+19
9.3998125,9.51396483706881e+19
9.5111875,9.85094766925007e+19
9.622562499999999,1.019297774715267e+20
9.7339375,1.0539663830913098e+20
9.845312499999999,1.0890515018641066e+20
9.9566875,1.1244768190409045e+20
10.0680625,1.1601159291358567e+20
10.1794375,1.195787748221568e+20
10.2908125,1.2313004449329981e+20
10.4021875,1.2664925430831686e+20
10.513562499999999,1.3011843717109804e+20
10.6249375,1.3351784455076046e+20
10.7363125,1.3682692140853123e+20
10.847687500000001,1.4002063388302698e+20
10.9590625,1.4303034438226156e+20
11.070437499999999,1.4576465843959238e+20
11.1818125,1.4831957950418597e+20
11.293187499999998,1.5067820242496337e+20
11.404562499999999,1.528161360862889e+20
11.5159375,1.5470824201988578e+20
11.627312499999999,1.563288955494197e+20
11.7386875,1.5765224718606916e+20
11.850062499999998,1.5865252944395715e+20
11.961437499999999,1.59304411508769e+20
12.0728125,1.5958340215014552e+20
12.1841875,1.5946629957464074e+20
12.295562499999999,1.5893168511985284e+20
12.4069375,1.5796045543183732e+20
12.518312499999999,1.5653638527717648e+20
12.6296875,1.546467103308602e+20
12.7410625,1.5228271631801916e+20
12.8524375,1.494403178372778e+20
