"Время, с","Время, ч","Температура, °C","Объёмная доля, %","Средний радиус, нм","Плотность частиц, 1/м³","Скорость зарождения, 1/(м³·с)","Движущая сила, Дж/м³","Движущая сила, Дж/моль","Критический радиус, нм","Радиус зародыша, нм"
0.0,0.0,750.0,0.0,0.0,0.0,0.0,415556928.74833786,3033.565579862867,0.4572177404724838,0.0
0.01001,2.7805555555555557e-06,750.0,0.0,0.0,0.0,3.0146109521671027e-41,415556928.7483765,3033.5655798631487,0.45721774047244135,0.0
0.02003001,5.563891666666667e-06,750.0,0.0,0.0,3.020643195693082e-43,3.179031183102872e-07,415556928.7483656,3033.5655798630687,0.4572177404724534,0.5659948599594343
0.03006004001,8.350011113888889e-06,750.0,2.4014349615671154e-34,0.5678125,3.1885778042661425e-09,69712.74458006109,415556928.7484423,3033.5655798636285,0.45721774047236896,0.56599485995935
0.040100100050009996,1.1138916680558332e-05,750.0,5.271355448372904e-23,0.5678125,699.9201415020078,32645103240.081932,415556928.7483561,3033.5655798629996,0.4572177404724638,0.5659948599594448
0.043700100050009995,1.2138916680558332e-05,750.0,8.85111319049109e-18,0.5678128714804093,117523071.88970129,817378443141.8105,415556928.7482948,3033.565579862552,0.4572177404725313,0.5659948599595123
0.047300100050009994,1.3138916680558331e-05,750.0,2.308639377551841e-16,0.5681056970847741,3060085467.540645,12535257723537.719,415556928.7483952,3033.5655798632847,0.45721774047242075,0.5659948599594017
0.05090010005000999,1.4138916680558332e-05,750.0,3.635822895226219e-15,0.5681251519268713,48187013214.255104,130653319955113.7,415556928.74842787,3033.565579863524,0.45721774047238484,0.5659948599593657
0.05450010005000999,1.513891668055833e-05,750.0,3.9127388806726493e-14,0.5681356017967961,518538965391.46185,999128849785147.5,415556928.7486232,3033.5655798649495,0.4572177404721699,0.5659948599591509
0.05810010005000999,1.613891668055833e-05,750.0,3.105572504539746e-13,0.5681472722886511,4115402827477.5645,5937936052890693.0,415556928.7483825,3033.5655798631924,0.4572177404724347,0.5659948599594157
0.06170010005000999,1.7138916680558332e-05,750.0,1.923830970238205e-12,0.5681606227452898,25491972620694.07,2.8663362529327356e+16,415556928.74828184,3033.5655798624575,0.4572177404725455,0.5659948599595265
0.06530010005001,1.8138916680558332e-05,750.0,9.712096450966037e-12,0.5681755589972688,128680077797045.3,1.1631475319496013e+17,415556928.7481318,3033.5655798613625,0.4572177404727106,0.5659948599596916
0.06890010005001,1.9138916680558333e-05,750.0,4.131986300560461e-11,0.5681919572761205,547413189502360.56,4.077320522560632e+17,415556928.7478241,3033.565579859116,0.45721774047304914,0.5659948599600301
0.07250010005001001,2.0138916680558337e-05,750.0,1.5213097218770231e-10,0.568209706965857,2015248577735884.8,1.2618759266458276e+18,415556928.7465187,3033.5655798495864,0.4572177404744854,0.5659948599614664
0.07616876422101335,2.1157990061392595e-05,750.0,5.016719917091123e-10,0.5682327337588432,6644647579431412.0,3.575217352397183e+18,415556928.7401477,3033.5655798030784,0.45721774048149505,0.565994859968476
0.08022445668048821,2.2284571300135612e-05,750.0,1.59682940198842e-09,0.5682759791831534,2.1144629617552692e+16,1.0119528855764642e+19,415556928.72498035,3033.565579692357,0.45721774049818303,0.565994859985164
0.08471225358035918,2.353118155009977e-05,750.0,5.027991336787923e-09,0.5683265128284751,6.655901963854413e+16,2.8492710475436577e+19,415556928.67469996,3033.56557932531,0.45721774055350417,0.565994860040485
