file	b591f03_nicr_on	b591f03_nicr_on_repeat	3166def_nicr_on	3166def_nicr_on_repeat	b591f03_nicr_env	b591f03_nicr_env_repeat	3166def_nicr_off	3166def_nicr_off_repeat	3166def_nicr_env
prepare_projection.json	3ce50c6d3880	3ce50c6d3880	dee9a2b1cf76	dee9a2b1cf76	3ce50c6d3880	3ce50c6d3880	bafcdbaf7080	bafcdbaf7080	bafcdbaf7080
prepare_warnings.json	74234e98afe7	74234e98afe7	00ab9b1191cf	00ab9b1191cf	74234e98afe7	74234e98afe7	0fe5bcb0ddd4	0fe5bcb0ddd4	4f53cda18c2b
summary.json	ee922f0b4e8f	ee922f0b4e8f	831a7d82622c	831a7d82622c	622d79d770cf	622d79d770cf	1de5440ff275	1de5440ff275	3a961a0dfd2f
vrh_bounds.json	af372490fac5	af372490fac5	af372490fac5	af372490fac5	af372490fac5	af372490fac5	af372490fac5	af372490fac5	af372490fac5
vrh_phase_rows.json	0e3d080248d9	0e3d080248d9	0e3d080248d9	0e3d080248d9	0e3d080248d9	0e3d080248d9	0e3d080248d9	0e3d080248d9	0e3d080248d9
vrh_projection.json	a44b27d0ce2c	a44b27d0ce2c	a44b27d0ce2c	a44b27d0ce2c	a44b27d0ce2c	a44b27d0ce2c	a44b27d0ce2c	a44b27d0ce2c	a44b27d0ce2c
vrh_summary.json	022bf8361c09	022bf8361c09	022bf8361c09	022bf8361c09	022bf8361c09	022bf8361c09	022bf8361c09	022bf8361c09	022bf8361c09
xlsx_sheet_Voigt-Reuss-Hill.csv	aee3dd0b4b9f	aee3dd0b4b9f	aee3dd0b4b9f	aee3dd0b4b9f	aee3dd0b4b9f	aee3dd0b4b9f	aee3dd0b4b9f	aee3dd0b4b9f	aee3dd0b4b9f
xlsx_sheet_Входные значения по фазам.csv	74ffca1ce34e	74ffca1ce34e	3f864fea0d4a	3f864fea0d4a	74ffca1ce34e	74ffca1ce34e	3f864fea0d4a	3f864fea0d4a	3f864fea0d4a
xlsx_sheet_Итог.csv	35504f690ccc	35504f690ccc	35504f690ccc	35504f690ccc	35504f690ccc	35504f690ccc	35504f690ccc	35504f690ccc	35504f690ccc
