element	databases	element_density_now	old_trace_value	old_source	pdb_functions	pdb_own_dp	old_verdict	now_source
AL	ni,al,fe	2512.20155644795	2512.20155644795	FCC_A1 AL:VA <- DP(FCC_A1,AL:VA) = D0FCC_AL+DTALFCC	D0FCC_AL DTALFCC DTALLIQ	DP(LIQUID,AL) = D0FCC_AL+DTALLIQ | DP(BCC_A2,AL:VA) = D0FCC_AL+DTALFCC | DP(FCC_A1,AL:VA) = D0FCC_AL+DTALFCC | DP(HCP_A3,AL:VA) = D0FCC_AL+DTALFCC | DP(DIAMOND_A4,AL) = D0FCC_AL+DTALFCC	верно	matrix DP(FCC_A1,AL:VA)
B	ni,fe	2350.0	7713.1177930275	FCC_A1 B:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0TETR_B	DP(DIAMOND_A4,B) = D0BCC_FE+DTFEBCC	подмена (умолчание *)	function D0TETR_B | Плотность элемента B в правиле смеси взята по функции D0TETR_B физической базы — это плотность при 298,15 K; теплового расширения этого элемента в базе нет, и при других температурах оно не учтено.
C	ni,fe	3487.623260226924	7713.1177930275	FCC_A1 C:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0DIAM_C DTCDIAM	DP(LIQUID,C) = D0DIAM_C+DTFELIQ | DP(DIAMOND_A4,C) = D0DIAM_C+DTCDIAM	подмена (умолчание *)	phase DP(DIAMOND_A4,C) | Объём углерода — по алмазной модели базы (DP(DIAMOND_A4,C)); для графита это завышение плотности.
CO	ni,fe	12731.203678445652	12731.203678445652	FCC_A1 CO:VA <- DP(FCC_A1,CO:VA) = D0HCP_CO+DTCOFCC	D0FCC_CO D0HCP_CO DTCOFCC DTCOHCP	DP(LIQUID,CO) = D0HCP_CO+DTFELIQ | DP(BCC_A2,CO:VA) = D0FCC_CO+DTCOFCC | DP(FCC_A1,CO:VA) = D0HCP_CO+DTCOFCC | DP(HCP_A3,CO:VA) = D0HCP_CO+DTCOHCP	верно	matrix DP(FCC_A1,CO:VA)
CR	ni,al,fe	6749.752598744886	6749.752598744886	FCC_A1 CR:VA <- DP(FCC_A1,CR:VA) = D0BCC_CR+DTCRBCC	D0BCC_CR DTCRBCC	DP(LIQUID,CR) = D0BCC_CR+DTFELIQ | DP(BCC_A2,CR:VA) = D0BCC_CR+DTCRBCC | DP(FCC_A1,CR:VA) = D0BCC_CR+DTCRBCC	верно	matrix DP(FCC_A1,CR:VA)
CU	ni,al,fe	8534.727300086126	8534.727300086126	FCC_A1 CU:VA <- DP(FCC_A1,CU:VA) = D0FCC_CU+DTCUFCC	D0FCC_CU DTCUFCC	DP(LIQUID,CU) = D0FCC_CU+DTFELIQ | DP(BCC_A2,CU:VA) = 1.102*D0BCC_FE+DTFEBCC | DP(FCC_A1,CU:VA) = D0FCC_CU+DTCUFCC | DP(CU_S,CU) = D0FCC_CU+DTFEBCC	верно	matrix DP(FCC_A1,CU:VA)
FE	ni,al,fe	7713.1177930275	7713.1177930275	FCC_A1 FE:VA <- DP(FCC_A1,FE:VA) = D0BCC_FE+DTFEFCC	D0BCC_FE DTFEBCC DTFEFCC DTFELIQ	DP(LIQUID,FE) = D0BCC_FE+DTFELIQ | DP(BCC_A2,FE:VA) = D0BCC_FE+DTFEBCC | DP(FCC_A1,FE:VA) = D0BCC_FE+DTFEFCC	верно	matrix DP(FCC_A1,FE:VA)
H	fe		7713.1177930275	FCC_A1 H:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	—	—	подмена (умолчание *)	нет в PDB
HF	ni,fe		7713.117793027501	FCC_A1 HF:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	—	—	подмена (умолчание *)	нет в PDB
LA	ni,fe	6160.0	7713.1177930275	FCC_A1 LA:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0FCC_LA	—	подмена (умолчание *)	function D0FCC_LA | Плотность элемента LA в правиле смеси взята по функции D0FCC_LA физической базы — это плотность при 298,15 K; теплового расширения этого элемента в базе нет, и при других температурах оно не учтено.
