element	databases	element_density_now	old_trace_value	old_source	pdb_functions	pdb_own_dp	old_verdict	now_source
AL	ni,al,fe	2512.20155644795	2512.20155644795	FCC_A1 AL:VA <- DP(FCC_A1,AL:VA) = D0FCC_AL+DTALFCC	D0FCC_AL DTALFCC DTALLIQ	DP(LIQUID,AL) = D0FCC_AL+DTALLIQ | DP(BCC_A2,AL:VA) = D0FCC_AL+DTALFCC | DP(FCC_A1,AL:VA) = D0FCC_AL+DTALFCC | DP(HCP_A3,AL:VA) = D0FCC_AL+DTALFCC | DP(DIAMOND_A4,AL) = D0FCC_AL+DTALFCC	верно	
B	ni,fe	7713.1177930275	7713.1177930275	FCC_A1 B:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0TETR_B	DP(DIAMOND_A4,B) = D0BCC_FE+DTFEBCC	подмена (умолчание *)	
C	ni,fe	7713.1177930275	7713.1177930275	FCC_A1 C:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0DIAM_C DTCDIAM	DP(LIQUID,C) = D0DIAM_C+DTFELIQ | DP(DIAMOND_A4,C) = D0DIAM_C+DTCDIAM	подмена (умолчание *)	
CO	ni,fe	12731.203678445652	12731.203678445652	FCC_A1 CO:VA <- DP(FCC_A1,CO:VA) = D0HCP_CO+DTCOFCC	D0FCC_CO D0HCP_CO DTCOFCC DTCOHCP	DP(LIQUID,CO) = D0HCP_CO+DTFELIQ | DP(BCC_A2,CO:VA) = D0FCC_CO+DTCOFCC | DP(FCC_A1,CO:VA) = D0HCP_CO+DTCOFCC | DP(HCP_A3,CO:VA) = D0HCP_CO+DTCOHCP	верно	
CR	ni,al,fe	6749.752598744886	6749.752598744886	FCC_A1 CR:VA <- DP(FCC_A1,CR:VA) = D0BCC_CR+DTCRBCC	D0BCC_CR DTCRBCC	DP(LIQUID,CR) = D0BCC_CR+DTFELIQ | DP(BCC_A2,CR:VA) = D0BCC_CR+DTCRBCC | DP(FCC_A1,CR:VA) = D0BCC_CR+DTCRBCC	верно	
CU	ni,al,fe	8534.727300086126	8534.727300086126	FCC_A1 CU:VA <- DP(FCC_A1,CU:VA) = D0FCC_CU+DTCUFCC	D0FCC_CU DTCUFCC	DP(LIQUID,CU) = D0FCC_CU+DTFELIQ | DP(BCC_A2,CU:VA) = 1.102*D0BCC_FE+DTFEBCC | DP(FCC_A1,CU:VA) = D0FCC_CU+DTCUFCC | DP(CU_S,CU) = D0FCC_CU+DTFEBCC	верно	
FE	ni,al,fe	7713.1177930275	7713.1177930275	FCC_A1 FE:VA <- DP(FCC_A1,FE:VA) = D0BCC_FE+DTFEFCC	D0BCC_FE DTFEBCC DTFEFCC DTFELIQ	DP(LIQUID,FE) = D0BCC_FE+DTFELIQ | DP(BCC_A2,FE:VA) = D0BCC_FE+DTFEBCC | DP(FCC_A1,FE:VA) = D0BCC_FE+DTFEFCC	верно	
H	fe	7713.1177930275	7713.1177930275	FCC_A1 H:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	—	—	подмена (умолчание *)	
HF	ni,fe	7713.117793027501	7713.117793027501	FCC_A1 HF:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	—	—	подмена (умолчание *)	
LA	ni,fe	7713.1177930275	7713.1177930275	FCC_A1 LA:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0FCC_LA	—	подмена (умолчание *)	
MG	al	1608.6061148674999	1608.6061148674999	FCC_A1 MG:VA <- DP(FCC_A1,MG:VA) = D0HCP_MG+DTMGHCP	D0HCP_MG DTMGHCP DTMGLIQ	DP(LIQUID,MG) = D0HCP_MG+DTMGLIQ | DP(FCC_A1,MG:VA) = D0HCP_MG+DTMGHCP | DP(HCP_A3,MG:VA) = D0HCP_MG+DTMGHCP	верно	
MN	ni,al,fe	7020.577799464962	7020.577799464962	FCC_A1 MN:VA <- DP(FCC_A1,MN:VA) = D0BCC_MN+DTMNFCC	D0BCC_MN DTMNBCC DTMNFCC	DP(LIQUID,MN) = D0BCC_MN+DTFELIQ | DP(BCC_A2,MN:VA) = D0BCC_MN+DTMNBCC | DP(FCC_A1,MN:VA) = D0BCC_MN+DTMNFCC	верно	
MO	ni,fe	10089.710535035161	10089.710535035161	FCC_A1 MO:VA <- DP(FCC_A1,MO:VA) = D0BCC_MO+DTMOBCC	D0BCC_MO DTMOBCC	DP(LIQUID,MO) = D0BCC_MO+DTFELIQ | DP(BCC_A2,MO:VA) = D0BCC_MO+DTMOBCC | DP(FCC_A1,MO:VA) = D0BCC_MO+DTMOBCC	верно	
N	ni,fe	7713.1177930275	7713.1177930275	FCC_A1 N:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	—	DP(LIQUID,N) = D0DIAM_C+DTFELIQ	подмена (умолчание *)	
NB	ni,fe	8423.1177930275	8423.1177930275	FCC_A1 NB:VA <- DP(FCC_A1,NB:VA) = D0BCC_NB+DTFEFCC	D0BCC_NB DTNBBCC	DP(LIQUID,NB) = D0BCC_NB+DTFELIQ | DP(BCC_A2,NB:VA) = D0BCC_NB+DTNBBCC | DP(FCC_A1,NB:VA) = D0BCC_NB+DTFEFCC	верно	
