"Температура, K","Плотность сплава, кг/м³","Покрытие фаз, мол.%",Качество
373.15,8476.860532072638,100,с оценкой по правилу смеси для 43.55 % мольной доли фаз
473.15,8443.248571201615,100,с оценкой по правилу смеси для 36.94 % мольной доли фаз
573.15,8408.182928633489,100,с оценкой по правилу смеси для 26.72 % мольной доли фаз
673.15,8371.99821940022,100,с оценкой по правилу смеси для 7.41 % мольной доли фаз
773.15,8334.763847095648,100,полная по доступным прямым DP-моделям
873.15,8296.438699626306,100,полная по доступным прямым DP-моделям
973.15,8256.929797792109,100,полная по доступным прямым DP-моделям
1073.15,8216.118510228218,100,полная по доступным прямым DP-моделям
1173.15,8173.873630863171,100,полная по доступным прямым DP-моделям
1273.15,8130.058217195962,100,полная по доступным прямым DP-моделям
1373.15,8084.53350594347,100,полная по доступным прямым DP-моделям
