файл|wave15-validation|15-В|15-В, повтор|исход
db_parameters.txt|78f3853e1768|78f3853e1768|78f3853e1768|совпало
ni15al_scan.csv|a84a20231415|a84a20231415|a84a20231415|совпало
kwn_kinetics.csv|3ac535ee450a|3ac535ee450a|3ac535ee450a|совпало
kwn_summary.csv|2dd22f58327c|2dd22f58327c|2dd22f58327c|совпало
kwn_matrix_composition.csv|23eb50c201aa|23eb50c201aa|23eb50c201aa|совпало
kwn_interface_composition.csv|8e57b5e90e3b|8e57b5e90e3b|8e57b5e90e3b|совпало
kwn_psd.csv|224751ed6982|224751ed6982|224751ed6982|совпало
kwn_npz_arrays.txt|c925384ae3cd|c925384ae3cd|c925384ae3cd|совпало
kwn_quality.csv|dcd1812d1699|dcd1812d1699|dcd1812d1699|совпало
kwn_settings.csv|4458bc6ec3a6|ba24eaf9b5e5|ba24eaf9b5e5|РАЗЛИЧАЕТСЯ
kwn_warnings.json|4f53cda18c2b|4f53cda18c2b|4f53cda18c2b|совпало
