,"Радиус класса, нм","Число частиц в классе, 1/м³"
0,0.28000000000000003,0
1,0.44000000000000006,2.8504899510913619e+22
2,0.59999999999999998,6.5660100172668616e+22
3,0.76000000000000001,1.221640158218335e+23
4,0.91999999999999993,1.9655507469507983e+23
5,1.0800000000000001,2.7774832245956759e+23
6,1.24,3.4150529243574574e+23
7,1.3999999999999999,3.6549941863941973e+23
8,1.5600000000000001,3.7515317107275433e+23
9,1.72,4.8916786377470521e+23
10,1.8800000000000001,9.1276833055870267e+23
11,2.04,3.2057803900816014e+23
12,2.1999999999999997,5.9559610378662298e+22
13,2.3600000000000003,1.1564568750762867e+22
14,2.52,2.1071932330843699e+21
15,2.6799999999999997,3.5044515831561978e+20
16,2.8400000000000003,5.3070214735053988e+19
17,3,7.3431916832949176e+18
18,3.1599999999999997,9.3250043428149824e+17
19,3.3200000000000003,1.0915453696648565e+17
20,3.48,11825742739912750
21,3.6399999999999997,1190199071091653.2
22,3.8000000000000003,111653182681637.86
23,3.9600000000000004,9792437175218.8125
24,4.1200000000000001,805098694067.02991
25,4.2799999999999994,62200202254.920013
26,4.4400000000000004,4525366108.5218134
27,4.5999999999999996,310651484.87912697
28,4.7599999999999989,20156136.57462829
29,4.9200000000000008,1238061.0388689775
30,5.0800000000000001,72093.367817855702
31,5.2399999999999993,3982.9030657785156
32,5.4000000000000004,205.87352332894454
33,5.5599999999999996,6.0487764092215368
34,5.7199999999999989,0
35,5.8800000000000008,0
36,6.04,0
