file                             df5dbf3        df5dbf3_rep    7b7c009        7b7c009_rep    15D_5ff155a   
db_parameters.txt 78f3853e1768 78f3853e1768 78f3853e1768 78f3853e1768 78f3853e1768
ni15al_scan.csv a84a20231415 a84a20231415 a84a20231415 a84a20231415 a84a20231415
kwn_kinetics.csv 3ac535ee450a 3ac535ee450a 3ac535ee450a 3ac535ee450a 3ac535ee450a
kwn_summary.csv 2dd22f58327c 2dd22f58327c 2dd22f58327c 2dd22f58327c 2dd22f58327c
kwn_matrix_composition.csv 23eb50c201aa 23eb50c201aa 23eb50c201aa 23eb50c201aa 23eb50c201aa
kwn_interface_composition.csv 8e57b5e90e3b 8e57b5e90e3b 8e57b5e90e3b 8e57b5e90e3b 8e57b5e90e3b
kwn_psd.csv 224751ed6982 224751ed6982 224751ed6982 224751ed6982 224751ed6982
kwn_npz_arrays.txt c925384ae3cd c925384ae3cd c925384ae3cd c925384ae3cd c925384ae3cd
kwn_quality.csv dcd1812d1699 dcd1812d1699 dcd1812d1699 dcd1812d1699 dcd1812d1699
kwn_settings.csv 97ae09cf14eb 97ae09cf14eb 8285713a4afc 8285713a4afc 9c1828562743
kwn_warnings.json 4f53cda18c2b 4f53cda18c2b 4f53cda18c2b 4f53cda18c2b 4f53cda18c2b
