"Температура, K","Плотность сплава, кг/м³","Покрытие фаз, мол.%",Качество
373.15,7724.40262041309,100,с оценкой по правилу смеси для 10.06 % мольной доли фаз
473.15,7689.565400397561,100,с оценкой по правилу смеси для 8.39 % мольной доли фаз
573.15,7656.021483810342,100,с оценкой по правилу смеси для 7.07 % мольной доли фаз
673.15,7626.730810236196,100,оценочная: есть плотности связанных фаз
773.15,7595.716588033406,100,оценочная: есть плотности связанных фаз
873.15,7562.103164433922,100,оценочная: есть плотности связанных фаз
973.15,7526.453699075818,100,оценочная: есть плотности связанных фаз
1073.15,7489.059881063337,100,оценочная: есть плотности связанных фаз
1173.15,7509.012194507854,100,полная по доступным прямым DP-моделям
1273.15,7463.238048346245,100,полная по доступным прямым DP-моделям
1373.15,7418.222380811603,100,полная по доступным прямым DP-моделям
