"Температура, K","Плотность сплава, кг/м³","Покрытие фаз, мол.%",Качество
373.15,7701.791327317082,100,с оценкой по правилу смеси для 10.06 % мольной доли фаз
473.15,7668.232197008108,100,с оценкой по правилу смеси для 8.39 % мольной доли фаз
573.15,7634.008696580612,100,с оценкой по правилу смеси для 7.07 % мольной доли фаз
673.15,7616.407399481781,100,оценочная: есть плотности связанных фаз
773.15,7581.191309276019,100,оценочная: есть плотности связанных фаз
873.15,7542.309426001345,100,оценочная: есть плотности связанных фаз
973.15,7500.166877948507,100,оценочная: есть плотности связанных фаз
1073.15,7454.932122325379,100,оценочная: есть плотности связанных фаз
1173.15,7461.043147132647,100,полная по доступным прямым DP-моделям
1273.15,7399.252354523335,100,полная по доступным прямым DP-моделям
1373.15,7333.980758434298,100,полная по доступным прямым DP-моделям
