"Температура, K","Плотность сплава, кг/м³","Покрытие фаз, мол.%",Качество
373.15,7861.618321582826,100,оценочная: есть плотности связанных фаз
473.15,7824.685700372699,100,оценочная: есть плотности связанных фаз
573.15,7786.045601289487,100,оценочная: есть плотности связанных фаз
673.15,7745.800956724304,100,оценочная: есть плотности связанных фаз
773.15,7703.96362092963,100,оценочная: есть плотности связанных фаз
873.15,7660.506442693504,100,оценочная: есть плотности связанных фаз
973.15,7615.383242818344,100,оценочная: есть плотности связанных фаз
1073.15,7568.537612249689,100,оценочная: есть плотности связанных фаз
1173.15,7519.907169542231,100,оценочная: есть плотности связанных фаз
1273.15,7469.425743149555,100,полная по доступным прямым DP-моделям
1373.15,7417.024500934504,100,полная по доступным прямым DP-моделям
