"Температура, K","Плотность сплава, кг/м³","Покрытие фаз, мол.%",Качество
373.15,7859.833934353442,100,оценочная: есть плотности связанных фаз
473.15,7820.593880670324,100,оценочная: есть плотности связанных фаз
573.15,7779.384803586375,100,оценочная: есть плотности связанных фаз
673.15,7736.153168447579,100,оценочная: есть плотности связанных фаз
773.15,7690.842379760559,100,оценочная: есть плотности связанных фаз
873.15,7643.392160802992,100,оценочная: есть плотности связанных фаз
973.15,7593.737814763841,100,оценочная: есть плотности связанных фаз
1073.15,7541.80934592428,100,оценочная: есть плотности связанных фаз
1173.15,7487.530412808082,100,оценочная: есть плотности связанных фаз
1273.15,7430.817078330162,100,полная по доступным прямым DP-моделям
1373.15,7371.576303866982,100,полная по доступным прямым DP-моделям
