"Температура, °C","Температура, K","Доля расплава, %","Доля твёрдого, %","FCC_A1, %","GAMMA_PRIME, %","NIAL, %"
1800.0,2073.15,100.0,0.0,0.0,0.0,0.0
1800.0,2073.15,100.0,0.0,0.0,0.0,0.0
1790.0,2063.15,100.0,0.0,0.0,0.0,0.0
1780.0,2053.15,100.0,0.0,0.0,0.0,0.0
1770.0,2043.15,100.0,0.0,0.0,0.0,0.0
1760.0,2033.15,100.0,0.0,0.0,0.0,0.0
1750.0,2023.15,100.0,0.0,0.0,0.0,0.0
1740.0,2013.15,100.0,0.0,0.0,0.0,0.0
1730.0,2003.15,100.0,0.0,0.0,0.0,0.0
1720.0,1993.15,100.0,0.0,0.0,0.0,0.0
1710.0,1983.15,100.0,0.0,0.0,0.0,0.0
1700.0,1973.15,100.0,0.0,0.0,0.0,0.0
1690.0,1963.15,100.0,0.0,0.0,0.0,0.0
1680.0,1953.15,100.0,0.0,0.0,0.0,0.0
1670.0,1943.15,100.0,0.0,0.0,0.0,0.0
1660.0,1933.15,100.0,0.0,0.0,0.0,0.0
1650.0,1923.15,100.0,0.0,0.0,0.0,0.0
1640.0,1913.15,100.0,0.0,0.0,0.0,0.0
1630.0,1903.15,100.0,0.0,0.0,0.0,0.0
1620.0,1893.15,100.0,0.0,0.0,0.0,0.0
1610.0,1883.15,100.0,0.0,0.0,0.0,0.0
1600.0,1873.15,100.0,0.0,0.0,0.0,0.0
1590.0,1863.15,100.0,0.0,0.0,0.0,0.0
1580.0,1853.15,100.0,0.0,0.0,0.0,0.0
1570.0,1843.15,100.0,0.0,0.0,0.0,0.0
1560.0,1833.15,100.0,0.0,0.0,0.0,0.0
1550.0,1823.15,100.0,0.0,0.0,0.0,0.0
1540.0,1813.15,100.0,0.0,0.0,0.0,0.0
1530.0,1803.15,100.0,0.0,0.0,0.0,0.0
1520.0,1793.15,100.0,0.0,0.0,0.0,0.0
1510.0,1783.15,100.0,0.0,0.0,0.0,0.0
1500.0,1773.15,100.0,0.0,0.0,0.0,0.0
1490.0,1763.15,100.0,0.0,0.0,0.0,0.0
1480.0,1753.15,100.0,0.0,0.0,0.0,0.0
1470.0,1743.15,100.0,0.0,0.0,0.0,0.0
1460.0,1733.15,100.0,0.0,0.0,0.0,0.0
1450.0,1723.15,100.0,0.0,0.0,0.0,0.0
1440.0,1713.15,100.0,0.0,0.0,0.0,0.0
1430.0,1703.15,100.0,0.0,0.0,0.0,0.0
1420.0,1693.15,52.48521186715711,47.51478813284288,47.51478813284288,0.0,0.0
1413.0555555555557,1686.2055555555557,5.262660688347176,94.73733931165282,94.73733931165282,0.0,0.0
1406.1111111111113,1679.2611111111114,1.4351319204266022,98.5648680795734,98.5648680795734,0.0,0.0
1399.166666666667,1672.316666666667,0.5676047427193409,99.43239525728066,99.43239525728066,0.0,0.0
1392.2222222222226,1665.3722222222227,0.276196790938088,99.72380320906191,99.72380320906191,0.0,0.0
1385.2777777777783,1658.4277777777784,0.15367197496959362,99.8463280250304,99.8463280250304,0.0,0.0
1378.333333333334,1651.483333333334,0.09393442830538667,99.90606557169461,99.90606557169461,0.0,0.0
1371.3888888888896,1644.5388888888897,0.06156177020258946,99.93843822979741,99.93843822979741,0.0,0.0
1364.4444444444453,1637.5944444444453,0.04256777088772479,99.95743222911227,99.95743222911227,0.0,0.0
1357.500000000001,1630.650000000001,0.030711193560595262,99.96928880643941,99.96928880643941,0.0,0.0
1350.5555555555566,1623.7055555555567,0.02293320266897325,99.97706679733102,99.97706679733102,0.0,0.0
1343.6111111111122,1616.7611111111123,0.01725973785414725,99.98274026214585,99.98241369265571,0.00032656949013389725,0.0
1336.6666666666679,1609.816666666668,0.005453932516774618,99.99454606748323,99.99311212939348,0.00032656949013389725,0.001107368599607343
1336.6666666666679,1609.816666666668,0.0,100.0,99.99649274574442,0.00032656949013389725,0.002027843594784012
