"Температура, °C","Температура, K","Доля расплава, %","Доля твёрдого, %","FCC_A1, %"
1800.0,2073.15,100.0,0.0,0.0
1790.0,2063.15,100.0,0.0,0.0
1780.0,2053.15,100.0,0.0,0.0
1770.0,2043.15,100.0,0.0,0.0
1760.0,2033.15,100.0,0.0,0.0
1750.0,2023.15,100.0,0.0,0.0
1740.0,2013.15,100.0,0.0,0.0
1730.0,2003.15,100.0,0.0,0.0
1720.0,1993.15,100.0,0.0,0.0
1710.0,1983.15,100.0,0.0,0.0
1700.0,1973.15,100.0,0.0,0.0
1690.0,1963.15,100.0,0.0,0.0
1680.0,1953.15,100.0,0.0,0.0
1670.0,1943.15,100.0,0.0,0.0
1660.0,1933.15,100.0,0.0,0.0
1650.0,1923.15,100.0,0.0,0.0
1640.0,1913.15,100.0,0.0,0.0
1630.0,1903.15,100.0,0.0,0.0
1620.0,1893.15,100.0,0.0,0.0
1610.0,1883.15,100.0,0.0,0.0
1600.0,1873.15,100.0,0.0,0.0
1590.0,1863.15,100.0,0.0,0.0
1580.0,1853.15,100.0,0.0,0.0
1570.0,1843.15,100.0,0.0,0.0
1560.0,1833.15,100.0,0.0,0.0
1550.0,1823.15,100.0,0.0,0.0
1540.0,1813.15,100.0,0.0,0.0
1530.0,1803.15,100.0,0.0,0.0
1520.0,1793.15,100.0,0.0,0.0
1510.0,1783.15,100.0,0.0,0.0
1500.0,1773.15,100.0,0.0,0.0
1490.0,1763.15,100.0,0.0,0.0
1480.0,1753.15,100.0,0.0,0.0
1470.0,1743.15,100.0,0.0,0.0
1460.0,1733.15,100.0,0.0,0.0
1450.0,1723.15,100.0,0.0,0.0
1440.0,1713.15,100.0,0.0,0.0
1430.0,1703.15,100.0,0.0,0.0
1420.0,1693.15,52.48521177943055,47.51478822056946,47.51478822056946
1415.9375,1689.0875,0.0,100.0,100.0
