Temperature (°C),Temperature (K),NP(LIQUID),NP(FCC_A1),NP(GAMMA_PRIME),NP(NIAL),"X(FCC_A1,AL)","X(FCC_A1,CR)","X(FCC_A1,NI)","X(GAMMA_PRIME,AL)","X(GAMMA_PRIME,CR)","X(GAMMA_PRIME,NI)","X(LIQUID,AL)","X(LIQUID,CR)","X(LIQUID,NI)","X(NIAL,AL)","X(NIAL,CR)","X(NIAL,NI)"
1800.0,2073.15,1.0,0.0,0.0,0.0,,,,,,,,,,,,
1800.0,2073.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999999342995,0.08300000000946633,0.8189999999971036,,,
1790.0,2063.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999998679794,0.08300000001898966,0.8189999999942125,,,
1780.0,2053.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999998010839,0.08300000002857087,0.8189999999913207,,,
1770.0,2043.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999997335646,0.0830000000382119,0.8189999999884318,,,
1760.0,2033.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999996654839,0.08300000004791325,0.8189999999855385,,,
1750.0,2023.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999995967813,0.08300000005767387,0.818999999982648,,,
1740.0,2013.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999995274178,0.08300000006749866,0.8189999999797596,,,
1730.0,2003.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999994574879,0.08300000007738617,0.8189999999768651,,,
1720.0,1993.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999993868741,0.08300000008733951,0.8189999999739732,,,
1710.0,1983.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999993156164,0.08300000009735714,0.8189999999710814,,,
1700.0,1973.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999992437075,0.08300000010744232,0.818999999968187,,,
1690.0,1963.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999991711214,0.0830000001175975,0.8189999999652904,,,
1680.0,1953.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999990978289,0.08300000012782001,0.8189999999623971,,,
1670.0,1943.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999990238253,0.08300000013811379,0.8189999999595038,,,
1660.0,1933.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999990238295,0.08300000013811491,0.8189999999595022,,,
1650.0,1923.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999989483683,0.0830000001485563,0.8189999999566068,,,
1640.0,1913.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999988721592,0.08300000015907211,0.8189999999537121,,,
1630.0,1903.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999987951906,0.08300000016966419,0.8189999999508168,,,
1620.0,1893.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999987174415,0.08300000018033488,0.8189999999479209,,,
1610.0,1883.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999986389771,0.08300000019108056,0.8189999999450218,,,
1600.0,1873.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999985596677,0.08300000020190938,0.8189999999421239,,,
1590.0,1863.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999984795178,0.08300000021282215,0.818999999939226,,,
1580.0,1853.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999983985659,0.08300000022381948,0.8189999999363238,,,
1570.0,1843.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999983167461,0.08300000023490121,0.8189999999334242,,,
1560.0,1833.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999982340783,0.08300000024607122,0.818999999930521,,,
1550.0,1823.15,1.0,0.0,0.0,0.0,,,,,,,0.0979999998150582,0.08300000025732764,0.8189999999276142,,,
1540.0,1813.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999980661425,0.08300000026867799,0.8189999999247077,,,
1530.0,1803.15,1.0,0.0,0.0,0.0,,,,,,,0.0979999997980816,0.08300000028011939,0.8189999999217992,,,
1520.0,1793.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999978945216,0.08300000029165766,0.8189999999188902,,,
1510.0,1783.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999978072907,0.0830000003032931,0.8189999999159778,,,
1500.0,1773.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999977190511,0.08300000031502877,0.8189999999130663,,,
1490.0,1763.15,1.0,0.0,0.0,0.0,,,,,,,0.0979999997629881,0.08300000032686197,0.8189999999101499,,,
1480.0,1753.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999975397151,0.0830000003387987,0.8189999999072297,,,
1470.0,1743.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999974485073,0.08300000035084161,0.8189999999043076,,,
1460.0,1733.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999973562348,0.08300000036299278,0.8189999999013838,,,
1450.0,1723.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999972628934,0.08300000037525454,0.8189999998984561,,,
1440.0,1713.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999971684326,0.08300000038763174,0.8189999998955251,,,
1430.0,1703.15,1.0,0.0,0.0,0.0,,,,,,,0.09799999970728693,0.08300000040012284,0.8189999998925902,,,
1420.0,1693.15,0.5248521186715711,0.47514788132842883,0.0,0.0,0.09257652191478792,0.07870521669606159,0.8287182613891506,,,,0.10290986648809722,0.08688806201780458,0.8102020714940984,,,
1413.0555555555557,1686.2055555555557,0.05262660688347176,0.9473733931165282,0.0,0.0,0.10166307544349189,0.08606111046306096,0.8122758140934472,,,,0.11409748761540192,0.09430840781279191,0.7915941045718062,,,
1406.1111111111113,1679.2611111111114,0.014351319204266022,0.985648680795734,0.0,0.0,0.11014680607926684,0.09210221340933131,0.7977509805114019,,,,0.1246340431875811,0.10019237738171552,0.7751735794307034,,,
1399.166666666667,1672.316666666667,0.005676047427193409,0.9943239525728066,0.0,0.0,0.11811431405399575,0.09712043746606619,0.7847652484799381,,,,0.13459879821688192,0.10488753083011756,0.7605136709530005,,,
1392.2222222222226,1665.3722222222227,0.00276196790938088,0.9972380320906191,0.0,0.0,0.12563381122365705,0.10132674839701679,0.7730394403793263,,,,0.1440575196183069,0.10864441848999395,0.7472980618916992,,,
1385.2777777777783,1658.4277777777784,0.0015367197496959362,0.9984632802503041,0.0,0.0,0.13276007892407263,0.10487730504292136,0.762362616033006,,,,0.15306512716845422,0.11164799075442351,0.7352868820771222,,,
1378.333333333334,1651.483333333334,0.0009393442830538667,0.9990606557169461,0.0,0.0,0.13953782508072518,0.1078902305012212,0.7525719444180535,,,,0.16166780729653937,0.11403773626661957,0.7242944564368411,,,
1371.3888888888896,1644.5388888888897,0.0006156177020258946,0.9993843822979741,0.0,0.0,0.1460040472704675,0.11045662121316438,0.7435393315163682,,,,0.16990469759812027,0.11592088895815385,0.7141744134437259,,,
1364.4444444444453,1637.5944444444453,0.0004256777088772479,0.9995743222911228,0.0,0.0,0.15218974096395102,0.11264794322418223,0.7351623158118668,,,,0.17780921942672406,0.11738129733127446,0.7048094832420014,,,
1357.500000000001,1630.650000000001,0.0003071119356059526,0.999692888064394,0.0,0.0,0.15812115860562193,0.11452111855351796,0.7273577228408601,,,,0.18541012933904866,0.118485517874901,0.6961043527860503,,,
1350.5555555555566,1623.7055555555567,0.00022933202668973252,0.9997706679733103,0.0,0.0,0.16382075400465734,0.11612209834551897,0.7200571476498236,,,,0.19273234975167097,0.11928709172563091,0.687980558522698,,,
1343.6111111111122,1616.7611111111123,0.0001725973785414725,0.9998241369265571,3.2656949013389724e-06,0.0,0.16872570730014838,0.11870814122883244,0.7125661514710192,0.23400274564820098,0.05740916737433037,0.7085880869774688,0.19918822074014586,0.12100306367483968,0.6798087155850144,,,
1336.6666666666679,1609.816666666668,5.453932516774618e-05,0.9999311212939348,3.2656949013389724e-06,1.107368599607343e-05,0.16622785480862767,0.13680527281401708,0.6969668723773552,,,,0.19795384922280157,0.13739690836790577,0.6646492424092928,0.32178729935393824,0.042434166014307766,0.635778534631754
1336.6666666666679,1609.816666666668,0.0,0.9999649274574443,3.2656949013389724e-06,2.0278435947840122e-05,0.16622785480862767,0.13680527281401708,0.6969668723773552,,,,0.19795384922280157,0.13739690836790577,0.6646492424092928,0.32178729935393824,0.042434166014307766,0.635778534631754
