Temperature (°C),Temperature (K),NP(LIQUID),NP(FCC_A1),"X(FCC_A1,CR)","X(FCC_A1,NI)","X(LIQUID,CR)","X(LIQUID,NI)"
1800.0,2073.15,1.0,0.0,,,0.22008144776018482,0.7799185522398153
1790.0,2063.15,1.0,0.0,,,0.22008144776018726,0.7799185522398128
1780.0,2053.15,1.0,0.0,,,0.2200814477601888,0.7799185522398113
1770.0,2043.15,1.0,0.0,,,0.22008144776018687,0.7799185522398131
1760.0,2033.15,1.0,0.0,,,0.2200814477601866,0.7799185522398133
1750.0,2023.15,1.0,0.0,,,0.22008144776018698,0.779918552239813
1740.0,2013.15,1.0,0.0,,,0.22008144776018562,0.7799185522398145
1730.0,2003.15,1.0,0.0,,,0.2200814477601874,0.7799185522398127
1720.0,1993.15,1.0,0.0,,,0.22008144776018557,0.7799185522398143
1710.0,1983.15,1.0,0.0,,,0.2200814477601871,0.7799185522398128
1700.0,1973.15,1.0,0.0,,,0.2200814477601869,0.779918552239813
1690.0,1963.15,1.0,0.0,,,0.2200814477601892,0.7799185522398107
1680.0,1953.15,1.0,0.0,,,0.22008144776018515,0.779918552239815
1670.0,1943.15,1.0,0.0,,,0.22008144776018657,0.7799185522398135
1660.0,1933.15,1.0,0.0,,,0.22008144776018715,0.7799185522398129
1650.0,1923.15,1.0,0.0,,,0.22008144776018687,0.7799185522398132
1640.0,1913.15,1.0,0.0,,,0.22008144776018612,0.7799185522398139
1630.0,1903.15,1.0,0.0,,,0.22008144776018598,0.7799185522398139
1620.0,1893.15,1.0,0.0,,,0.2200814477601858,0.7799185522398142
1610.0,1883.15,1.0,0.0,,,0.2200814477601861,0.779918552239814
1600.0,1873.15,1.0,0.0,,,0.22008144776018543,0.7799185522398147
1590.0,1863.15,1.0,0.0,,,0.22008144776018757,0.7799185522398125
1580.0,1853.15,1.0,0.0,,,0.22008144776018618,0.7799185522398139
1570.0,1843.15,1.0,0.0,,,0.22008144776018557,0.7799185522398144
1560.0,1833.15,1.0,0.0,,,0.22008144776018693,0.7799185522398132
1550.0,1823.15,1.0,0.0,,,0.22008144776018757,0.7799185522398124
1540.0,1813.15,1.0,0.0,,,0.2200814477601855,0.7799185522398144
1530.0,1803.15,1.0,0.0,,,0.2200814477601852,0.7799185522398148
1520.0,1793.15,1.0,0.0,,,0.22008144765150325,0.7799185523484968
1510.0,1783.15,1.0,0.0,,,0.22008144765149742,0.7799185523485027
1500.0,1773.15,1.0,0.0,,,0.22008144765149332,0.7799185523485068
1490.0,1763.15,1.0,0.0,,,0.22008144776018732,0.7799185522398125
1480.0,1753.15,1.0,0.0,,,0.22008144765148285,0.779918552348517
1470.0,1743.15,1.0,0.0,,,0.22008144776018615,0.7799185522398138
1460.0,1733.15,1.0,0.0,,,0.22008144776018587,0.7799185522398142
1450.0,1723.15,1.0,0.0,,,0.22008144776018665,0.7799185522398133
1440.0,1713.15,1.0,0.0,,,0.2200814477601855,0.7799185522398145
1430.0,1703.15,1.0,0.0,,,0.22008144776018662,0.7799185522398134
1420.0,1693.15,0.5177076423318232,0.4822923576681768,0.21256011307304726,0.7874398869269528,0.2270882637903757,0.7729117362096243
1418.515625,1691.665625,0.0,1.0,0.2200814477601866,0.7799185522398134,,
