"Температура, °C","Температура, K","Доля расплава, %","Доля твёрдого, %","FCC_A1, %"
1800.0,2073.15,100.0,0.0,0.0
1800.0,2073.15,100.0,0.0,0.0
1790.0,2063.15,100.0,0.0,0.0
1780.0,2053.15,100.0,0.0,0.0
1770.0,2043.15,100.0,0.0,0.0
1760.0,2033.15,100.0,0.0,0.0
1750.0,2023.15,100.0,0.0,0.0
1740.0,2013.15,100.0,0.0,0.0
1730.0,2003.15,100.0,0.0,0.0
1720.0,1993.15,100.0,0.0,0.0
1710.0,1983.15,100.0,0.0,0.0
1700.0,1973.15,100.0,0.0,0.0
1690.0,1963.15,100.0,0.0,0.0
1680.0,1953.15,100.0,0.0,0.0
1670.0,1943.15,100.0,0.0,0.0
1660.0,1933.15,100.0,0.0,0.0
1650.0,1923.15,100.0,0.0,0.0
1640.0,1913.15,100.0,0.0,0.0
1630.0,1903.15,100.0,0.0,0.0
1620.0,1893.15,100.0,0.0,0.0
1610.0,1883.15,100.0,0.0,0.0
1600.0,1873.15,100.0,0.0,0.0
1590.0,1863.15,100.0,0.0,0.0
1580.0,1853.15,100.0,0.0,0.0
1570.0,1843.15,100.0,0.0,0.0
1560.0,1833.15,100.0,0.0,0.0
1550.0,1823.15,100.0,0.0,0.0
1540.0,1813.15,100.0,0.0,0.0
1530.0,1803.15,100.0,0.0,0.0
1520.0,1793.15,100.0,0.0,0.0
1510.0,1783.15,100.0,0.0,0.0
1500.0,1773.15,100.0,0.0,0.0
1490.0,1763.15,100.0,0.0,0.0
1480.0,1753.15,100.0,0.0,0.0
1470.0,1743.15,100.0,0.0,0.0
1460.0,1733.15,100.0,0.0,0.0
1450.0,1723.15,100.0,0.0,0.0
1440.0,1713.15,100.0,0.0,0.0
1430.0,1703.15,100.0,0.0,0.0
1420.0,1693.15,51.7707614025118,48.229238597488205,48.229238597488205
1417.6743196063862,1690.8243196063863,7.662637279907636,92.33736272009236,92.33736272009236
1415.3486392127725,1688.4986392127726,1.6011787562165036,98.3988212437835,98.3988212437835
1413.0229588191587,1686.1729588191588,0.42242823044156275,99.57757176955843,99.57757176955843
1410.697278425545,1683.847278425545,0.13236823003390796,99.8676317699661,99.8676317699661
1408.3715980319312,1681.5215980319313,0.047410876937103996,99.9525891230629,99.9525891230629
1406.0459176383174,1679.1959176383175,0.018909059267468997,99.98109094073253,99.98109094073253
1403.7202372447036,1676.8702372447037,0.00824048639862518,99.99175951360138,99.99175951360138
1403.7202372447036,1676.8702372447037,0.0,100.0,99.99640883160154
