faza,opisanie_en,klyuchi,struktura_vybor,struktura_confidence,klass_vybor,klass_confidence,dispersoid_vybor,dispersoid_confidence,uprochnenie_noul,tpu_noul,khrupkost_vybor,khrupkost_confidence,ustojchivost_vybor,ustojchivost_confidence,temperatura_vybor,temperatura_confidence,sluzhebnaya_vybor,sluzhebnaya_confidence,model
BETA_MN,Simple cubic Manganese modification between 1000 K and 1370 K.,S_CUB T_HIGH,S_CUB,0.99,not_stated,0.97,not_stated,0.99,0.11,0.08,not_stated,0.99,not_stated,0.93,T_HIGH,0.46,not_stated,0.93,jev-1.13.0
BETA_RHOMBO_B,Rhombohedral Boron.,S_RHO,S_RHO,0.99,not_stated,0.52,not_stated,0.96,0.12,0.11,not_stated,0.78,not_stated,0.97,not_stated,0.92,not_stated,0.96,jev-1.13.0
B_CHALC,"Cu2S, B-chalcosite.",C_SUL,not_stated,0.92,C_SUL,0.92,not_stated,0.95,0.14,0.11,not_stated,0.97,not_stated,0.98,not_stated,0.72,not_stated,0.41,jev-1.13.0
CHI_A12,"Alpha-Mn structure closely related to topologically close-packed sigma, Mu, and R-Phase. Unit cell contains 58 atoms plus interstitials (carbon).",C_CAR,not_stated,0.93,C_CAR,0.53,not_stated,0.95,0.13,0.12,not_stated,0.97,not_stated,0.98,not_stated,0.84,not_stated,0.97,jev-1.13.0
CORUND,"corund-structured (Al,Cr,Fe)2O3",C_OX,not_stated,0.91,C_OX,1.0,not_stated,0.93,0.14,0.12,not_stated,0.61,not_stated,0.98,not_stated,0.97,not_stated,0.96,jev-1.13.0
CR2B,Orthorhombic.,S_ORT,S_ORT,0.99,not_stated,0.51,not_stated,0.95,0.13,0.11,not_stated,0.98,not_stated,0.99,not_stated,0.96,not_stated,0.97,jev-1.13.0
CR3MN5,"Also called ""alpha prime Phase""",C_NIT,not_stated,0.95,C_NIT,0.5,not_stated,0.96,0.19,0.13,not_stated,0.97,not_stated,0.84,not_stated,0.89,not_stated,0.96,jev-1.13.0
CRB,relevance in bracing filler alloy,,not_stated,0.78,not_stated,0.37,not_stated,0.92,0.19,0.15,not_stated,0.95,not_stated,0.97,not_stated,0.98,not_stated,0.82,jev-1.13.0
DIGENITE,Use for equilibrium calculation only.,SL_EQ,not_stated,0.97,not_stated,0.94,not_stated,0.92,0.13,0.12,not_stated,0.99,not_stated,0.6,not_stated,0.89,SL_EQ,0.99,jev-1.13.0
DISULF,"Pyrite, FeS2.",C_SUL,not_stated,0.94,C_SUL,0.99,not_stated,0.92,0.13,0.1,not_stated,0.88,not_stated,0.98,not_stated,0.91,not_stated,0.95,jev-1.13.0
