Код фазы,Простыми словами,Описание по-русски,Примечание модели,Оригинал из базы (англ.)
ALN,,Описание фазы AlN основано на оценённом произведении растворимости; модель специально настроена для этой фазы. Параметры основаны на оценённом произведении растворимости.,,AlN phase description based on assessed solubility product.
ALN_EQU,,"Новое описание фазы, основанное на калориметрических данных.",,New phase description based on calorimetric data.
ALPHA_MN,,Объёмно-центрированная кубическая (ОЦК) структура.,,Body-centered cubic Manganese modification.
ANILITE,,Описание в исходной базе отсутствует.,,
A_CHALC,,Гексагональная плотноупакованная модификация Cu₂S — A-халькозин.,,"Hexagonal close-packed Cu2S, A-chalcosite."
BCC_A2,,Объёмно-центрированная кубическая (ОЦК) структура.,Разупорядоченная часть связанной модели BCC_B2.,Body-centered cubic phase.
BCC_B2,B2 / связанная ОЦК-модель,B2 / связанная ОЦК-модель. Объёмно-центрированная кубическая (ОЦК) структура. Матричная фаза или модель твёрдого раствора. Упорядоченная фаза. Используется подрешёточная модель.,Связанная order/disorder-модель с BCC_A2; одно имя фазы не всегда означает полное упорядочение.,Bcc_base ordered NiTi Matrix phase in shape memory alloys. 2 substitutional sublattices split model used.
BETA_MN,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Simple cubic Manganese modification between 1000 K and 1370 K.
BETA_RHOMBO_B,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Rhombohedral Boron.
BN_HP4,,Нитридная фаза.,,"Hexagonal Boron Nitride, graphite-type structure."
B_CHALC,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,"Cu2S, B-chalcosite."
CEMENTITE,цементит,цементит.,,"(Fe,M)C3; orthorhombic. Unit cell consists of four formula units. In particular Cr and Mn can dissolve into cementite in large quantities. W, V, Mo with limited solubilities."
CHI_A12,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,"Alpha-Mn structure closely related to topologically close-packed sigma, Mu, and R-Phase. Unit cell contains 58 atoms plus interstitials (carbon)."
CO3MO,,Описание в исходной базе отсутствует.,,
CO3V,,Описание в исходной базе отсутствует.,,
CORUND,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,"corund-structured (Al,Cr,Fe)2O3"
COV3,,Описание в исходной базе отсутствует.,,
COVELLITE,,Описание в исходной базе отсутствует.,,
CR2B,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Orthorhombic.
CR2VC2,,Описание в исходной базе отсутствует.,,
CR3MN5,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,"Also called ""alpha prime Phase"""
