Код фазы,Простыми словами,Описание по-русски,Примечание модели,Оригинал из базы (англ.)
AL11CR2,,Равновесная фаза.,,"Monoclinic eta-phase, high-temperatures equilibrium phase above 700C - pontential dispersoid only after solution treatment at high temperatures. [REF:C3]"
AL11MN4,,Описание в исходной базе отсутствует.,,
AL11TI5,,Описание в исходной базе отсутствует.,,
AL12MG2CR,,Интерметаллидная фаза. Дисперсоид.,,dispersoid in AA7xxx
AL12MN,,Объёмно-центрированная кубическая (ОЦК) структура. Метастабильная фаза.,,"Body-centered cubic. Occasionally observed metastable Mn- and Fe containing particles in aluminium alloyed with Mn. Example: Al-0.7at% Mn, ellipsoid to rod-like particle morphologies.[REF:C26]"
AL13CR2,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,"Common Cr-precipitate in 7xxx Al-alloys. Synonymous to Al7Cr; both are specific stoichiometries of equilibrium Al-Cr intermetallic phases with a composition range between 12.5 to 14 at.% Cr. Monoclinic, space group C2/m. [REFS:C1,C2]"
AL13CR4SI4,,Описание в исходной базе отсутствует.,,
AL13FE4,,Равновесная фаза.,,"Monoclinic equilibrium phase, space group C2/m. Intermetallic particles observed in Fe-containing cast alloys and 8xxx series. [REF:C16,C17]"
AL18CR2MG3,,Интерметаллидная фаза. Дисперсоид.,,"E-phase, dispersoid in overaging regime in 7xxx Al-alloys [C42,C43]. Contains some Cu and Zn [C44]"
AL23CUFE4,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,Precipitate observed in AA7xxx.
AL2CU3_D,,Интерметаллидная фаза.,,delta phase
AL2FE,,Описание в исходной базе отсутствует.,,
AL2SC,,Описание в исходной базе отсутствует.,,
AL2TI,,Описание в исходной базе отсутствует.,,
AL2ZR,,Описание в исходной базе отсутствует.,,
AL2ZR3,,Описание в исходной базе отсутствует.,,
AL3MG,,Упорядоченная фаза.,,"nonstoich, close to ordered AlMg L12 phase"
AL3M_D022,,Описание в исходной базе отсутствует.,,
AL3NI,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,Potential precipitate in Ni-containing Al-alloys. Simple description used
AL3NI2,,Описание в исходной базе отсутствует.,,
AL3NI5,,Описание в исходной базе отсутствует.,,
AL3SC,упрочняющая фаза Al₃Sc,"упрочняющая фаза Al₃Sc. Фаза-выделение, связанная с дисперсионным упрочнением. Упорядоченная фаза.",,"Ordered L12-type. Coherent, nano-scale precipitates in Sc-containing Al-alloys contribute to precipitation hardening. [REF:C28,C29]"
AL3TI_H,,Тетрагональная структура. Интерметаллидная фаза. Высокотемпературная модификация.,,Tetragonal high temperature modification with space group I4/mmm.
AL3TI_L,,Тетрагональная структура. Интерметаллидная фаза. Низкотемпературная модификация.,,"Tetragonal low-temperature modification, space group I4/mmm."
AL3ZR,фаза Al₃Zr,"фаза Al₃Zr. Фаза-выделение, связанная с дисперсионным упрочнением. Упорядоченная фаза.",,"tetragonal ordered D023 structure, Pd3Mn type. Coherent, nano-scale precipitates in Zr-Sc-containing Al-alloys contribute to precipitation hardening. [REF:C28,C30]"
AL3ZR2,,Описание в исходной базе отсутствует.,,
AL3ZR4,,Описание в исходной базе отсутствует.,,
AL3ZR5,,Описание в исходной базе отсутствует.,,
AL4CR,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,Orthorhombic epsilon-phase. Potential precipitate in Cr-containing Al-alloys. [REF:C1]
AL4MN,,Гексагональная структура. Интерметаллидная фаза.,,Hexagonal
AL4SI5ZR3,,Описание в исходной базе отсутствует.,,
AL4ZR5,,Описание в исходной базе отсутствует.,,
AL58CR31SI11,,Описание в исходной базе отсутствует.,,
AL5FE2,,Описание в исходной базе отсутствует.,,
AL5FE4,,Описание в исходной базе отсутствует.,,
AL6MN,,Равновесная фаза.,,"Orthorhombic equilibrium phase with 28 atoms per unit cell. At high Mn-alloying. Example: Hardenable Al-0.7 at.% Mn, ellipsoid to rod-like particle morphologies. [REF:C24,C25,C26]"
AL7CU2FE,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,"Tetragonal. Common precipitate in 2524 Al-alloys, observed also in 7075. [REFS:C4,C5]"
AL8CR5_H,,Описание в исходной базе отсутствует.,,
AL8CR5_L,,Описание в исходной базе отсутствует.,,
AL8FEMNSI2,,Интерметаллидная фаза.,,"Intermetallic alpha_AlMnSi phase reported to crystallize during undercooling of Al-Si-Fe-Mn alloys. [REF:C18] Has higher Si than cubic alpha-phase ALCRFEMNSI_A. Relevant in simulations of high-Si Al-alloys, such as A356."
AL8MN5_D810,,Описание в исходной базе отсутствует.,,
AL9CR3SI,,Описание в исходной базе отсутствует.,,
AL9CR4_H,,Описание в исходной базе отсутствует.,,
AL9CR4_L,,Описание в исходной базе отсутствует.,,
AL9CU11_Z,,Интерметаллидная фаза.,,zeta phase
AL9CU11_ZP,,Интерметаллидная фаза.,,zeta prime phase
ALCR,,Описание в исходной базе отсутствует.,,
ALCR2,,Описание в исходной базе отсутствует.,,
ALCRCU_TAU,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,"Quaternary extension Al16(Cr,Fe)3Cu of Al-Cr-Cu-type tau-phases [C45]. Precipitate observed in 7xxx Al-alloy."
ALCRFEMNSI_A,,Равновесная фаза.,,"Cubic Alpha-AlCr(Fe)MnSi equilibrium phase with compositions close to Al9Mn2Si. Important dispersoid phase in Fe-, Cr-, Mn-containing Al-alloys. [REF:76]"
ALCRSI,,"Метастабильная фаза. Фаза-выделение, связанная с дисперсионным упрочнением.",,"metastable, potential precipitate in 6xxx Al-alloys. Ideal extension, to be optimized"
ALCRSI_T3,,Описание в исходной базе отсутствует.,,
ALCU2,,Метастабильная фаза.,,"Metastable phase. Orthorhombic, space group cmcm"
ALCUMG_V,,Описание в исходной базе отсутствует.,,
ALCUMN_T1,,Ромбическая структура. Интерметаллидная фаза. Дисперсоид.,,"T1-phase with orthorhombic crystal structure, space group Bbmm or Cmcm. Crystallizes during casting of Cu-Mn containing 2xxx alloys and as rodlike dispersoids. Previously discribed as AL20CU2MN3 [REF:C5,C22,C23,C41], however experiments support stoichiometries close to Al20Cu3Mn4."
ALCUZN_T,,Метастабильная фаза.,,metastable in Al-Cu
ALCU_EPL,,Интерметаллидная фаза. Низкотемпературная модификация.,,epsilon prime phase low T
ALCU_EPS,,Интерметаллидная фаза.,,AlCu-epsilon
ALCU_ETH,,Интерметаллидная фаза. Высокотемпературная модификация.,,eta phase high T
