baza,faza,bylo,stalo
ni,BETA_MN,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Кубическая структура.
ni,BETA_RHOMBO_B,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбоэдрическая структура.
ni,B_CHALC,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Сульфидная фаза.
ni,CORUND,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза.
ni,CR2B,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
ni,CR3MN5,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
ni,CRB,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Боридная фаза.
ni,DIGENITE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Служебная фаза базы: только для расчёта равновесия.
ni,DISULF,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Сульфидная фаза.
ni,D_NIMO,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
ni,FC_MONO,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Моноклинная структура. Высокотемпературная модификация.
ni,FC_ORTHO,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Низкотемпературная модификация.
ni,HALITE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза.
ni,HF1O2_C,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Кубическая структура. Оксидная фаза.
ni,HF1O2_M,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Моноклинная структура. Оксидная фаза. Упрочняющий дисперсоид.
ni,HF1O2_T,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Оксидная фаза.
ni,LA2O3_A,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Оксидная фаза. Упрочняющий дисперсоид.
ni,LA2O3_C,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Кубическая структура. Оксидная фаза.
ni,M2B,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Боридная фаза.
ni,M6C_WY,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Карбидная фаза.
ni,MU_PHASE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Топологически плотноупакованная (ТПУ) фаза. Может охрупчивать сплав.
ni,O1_GAS,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Газовая фаза. Служебная фаза базы: только для расчёта термодинамических свойств.
ni,P_PHASE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Топологически плотноупакованная (ТПУ) фаза. Может охрупчивать сплав.
ni,R_PHASE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Топологически плотноупакованная (ТПУ) фаза. Может охрупчивать сплав.
ni,SIO2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза.
ni,TIO2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза.
al,AL12MG2CR,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза. Дисперсоид.
al,AL18CR2MG3,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза. Дисперсоид.
al,AL2CU3_D,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
al,AL3TI_H,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Интерметаллидная фаза. Высокотемпературная модификация.
al,AL3TI_L,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Интерметаллидная фаза. Низкотемпературная модификация.
al,AL4MN,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Интерметаллидная фаза.
al,AL8FEMNSI2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
al,AL9CU11_Z,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
al,AL9CU11_ZP,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
al,ALCUMN_T1,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Интерметаллидная фаза. Дисперсоид.
al,ALCU_EPL,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза. Низкотемпературная модификация.
al,ALCU_EPS,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
al,ALCU_ETH,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза. Высокотемпературная модификация.
al,ALCU_ETL,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза. Низкотемпературная модификация.
al,ALCU_G,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза. Высокотемпературная модификация.
al,ALFENI_T1,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Моноклинная структура. Интерметаллидная фаза. Упрочняющая фаза.
al,ALFESI_T5,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Интерметаллидная фаза.
al,ALFESI_T6,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Моноклинная структура. Интерметаллидная фаза. Дисперсоид.
al,BCC_A2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Объёмно-центрированная кубическая (ОЦК) структура.
al,PI_ALFEMGSI,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Интерметаллидная фаза. Может охрупчивать сплав. Равновесная фаза.
al,SI2TI,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Силицидная фаза.
al,SI3TI5,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Силицидная фаза.
al,SI4TI5,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Силицидная фаза.
