[1/130] f_startup_ni: снят, 12.2 с, пик 0.24 ГиБ, всего 0.2 мин
[2/130] f_startup_al: снят, 10.2 с, пик 0.23 ГиБ, всего 0.4 мин
[3/130] f_startup_fe: снят, 13.2 с, пик 0.25 ГиБ, всего 0.6 мин
[4/130] f_single_ni: снят, 19.9 с, пик 0.41 ГиБ, всего 0.9 мин
[5/130] f_single_al: снят, 22.9 с, пик 0.99 ГиБ, всего 1.3 мин
[6/130] f_single_fe: снят, 21.9 с, пик 0.70 ГиБ, всего 1.7 мин
[7/130] f_tscan_ni: снят, 22.4 с, пик 0.95 ГиБ, всего 2.0 мин
[8/130] f_tscan_al: снят, 39.2 с, пик 2.64 ГиБ, всего 2.7 мин
[9/130] f_tscan_fe: снят, 42.2 с, пик 2.06 ГиБ, всего 3.4 мин
[10/130] f_cscan_ni: снят, 28.6 с, пик 0.98 ГиБ, всего 3.9 мин
[11/130] f_cscan_al: снят, 40.3 с, пик 1.70 ГиБ, всего 4.6 мин
[12/130] f_cscan_fe: снят, 40.8 с, пик 1.09 ГиБ, всего 5.2 мин
[13/130] f_solid_ni_sravn: снят, 25.9 с, пик 0.47 ГиБ, всего 5.7 мин
[14/130] f_solid_ni_ravn: снят, 23.4 с, пик 0.44 ГиБ, всего 6.1 мин
[15/130] f_solid_ni_scheil: снят, 23.9 с, пик 0.45 ГиБ, всего 6.5 мин
[16/130] f_solid_al_sravn: снят, 84.5 с, пик 1.55 ГиБ, всего 7.9 мин
[17/130] f_solid_al_ravn: снят, 92.4 с, пик 1.52 ГиБ, всего 9.4 мин
[18/130] f_solid_al_scheil: снят, 95.0 с, пик 1.52 ГиБ, всего 11.0 мин
[19/130] f_solid_fe_sravn: снят, 90.8 с, пик 1.75 ГиБ, всего 12.5 мин
[20/130] f_solid_fe_ravn: снят, 80.0 с, пик 1.73 ГиБ, всего 13.8 мин
[21/130] f_solid_fe_scheil: снят, 65.6 с, пик 1.73 ГиБ, всего 14.9 мин
[22/130] f_energy_ni: снят, 13.7 с, пик 0.32 ГиБ, всего 15.2 мин
[23/130] f_energy_al: снят, 13.7 с, пик 0.41 ГиБ, всего 15.4 мин
[24/130] f_energy_fe: снят, 17.8 с, пик 0.35 ГиБ, всего 15.7 мин
[25/130] f_driving_ni: снят, 17.3 с, пик 0.43 ГиБ, всего 16.0 мин
[26/130] f_driving_al: снят, 21.4 с, пик 1.03 ГиБ, всего 16.3 мин
[27/130] f_driving_fe: снят, 25.5 с, пик 0.68 ГиБ, всего 16.7 мин
[28/130] f_tzero_ni: снят, 21.4 с, пик 0.30 ГиБ, всего 17.1 мин
[29/130] f_tzero_al: снят, 18.4 с, пик 0.29 ГиБ, всего 17.4 мин
[30/130] f_tzero_fe: снят, 59.2 с, пик 0.32 ГиБ, всего 18.4 мин
[31/130] f_density_ni: снят, 28.6 с, пик 0.41 ГиБ, всего 18.9 мин
[32/130] f_density_al: снят, 31.7 с, пик 0.99 ГиБ, всего 19.4 мин
[33/130] f_density_fe: снят, 39.9 с, пик 0.72 ГиБ, всего 20.1 мин
[34/130] f_density_warning_ni: снят, 71.0 с, пик 1.75 ГиБ, всего 21.3 мин
[35/130] f_density_t_ni: снят, 23.5 с, пик 0.44 ГиБ, всего 21.6 мин
[36/130] f_density_t_al: снят, 52.2 с, пик 2.58 ГиБ, всего 22.5 мин
[37/130] f_density_t_fe: снят, 39.7 с, пик 1.34 ГиБ, всего 23.2 мин
[38/130] f_elastic_ni: снят, 20.8 с, пик 0.43 ГиБ, всего 23.5 мин
[39/130] f_elastic_al: снят, 23.4 с, пик 0.99 ГиБ, всего 23.9 мин
[40/130] f_elastic_fe: снят, 34.7 с, пик 0.73 ГиБ, всего 24.5 мин
[41/130] f_strength_ni: снят, 13.2 с, пик 0.25 ГиБ, всего 24.7 мин
[42/130] f_strength_al: снят, 10.7 с, пик 0.24 ГиБ, всего 24.9 мин
[43/130] f_strength_fe: снят, 16.3 с, пик 0.26 ГиБ, всего 25.2 мин
[44/130] f_binary_ni: снят, 33.6 с, пик 0.42 ГиБ, всего 25.7 мин
[45/130] f_binary_al: снят, 54.1 с, пик 1.19 ГиБ, всего 26.6 мин
[46/130] f_binary_fe: снят, 44.9 с, пик 0.96 ГиБ, всего 27.4 мин
[47/130] f_isopleth_ni: снят, 102.6 с, пик 1.28 ГиБ, всего 29.1 мин
[48/130] f_isopleth_al: снят, 230.3 с, пик 1.92 ГиБ, всего 32.9 мин
[49/130] f_isopleth_fe: снят, 84.0 с, пик 1.50 ГиБ, всего 34.3 мин
[50/130] f_ternary_ni: снят, 52.0 с, пик 0.80 ГиБ, всего 35.2 мин
[51/130] f_ternary_al: снят, 139.2 с, пик 1.59 ГиБ, всего 37.5 мин
[52/130] f_ternary_fe: снят, 55.1 с, пик 0.92 ГиБ, всего 38.4 мин
[53/130] f_tmap_ni: снят, 33.2 с, пик 1.37 ГиБ, всего 39.0 мин
[54/130] f_tmap_al: снят, 87.4 с, пик 3.09 ГиБ, всего 40.4 мин
[55/130] f_tmap_fe: снят, 57.7 с, пик 2.90 ГиБ, всего 41.4 мин
[56/130] f_phasemap3_ni: снят, 13.8 с, пик 0.24 ГиБ, всего 41.6 мин
[57/130] f_phasemap3_al: снят, 11.2 с, пик 0.23 ГиБ, всего 41.8 мин
[58/130] f_phasemap3_fe: снят, 15.8 с, пик 0.25 ГиБ, всего 42.1 мин
[59/130] f_db_change: снят, 32.6 с, пик 0.44 ГиБ, всего 42.6 мин
[60/130] g_render_ni: снят, 12.7 с, пик 0.24 ГиБ, всего 42.8 мин
[61/130] g_render_al: снят, 10.2 с, пик 0.23 ГиБ, всего 43.0 мин
[62/130] g_render_fe: снят, 13.7 с, пик 0.25 ГиБ, всего 43.2 мин
[63/130] g_run_gate: снят, 28.5 с, пик 0.28 ГиБ, всего 43.7 мин
