случай,группа,slow,начало,секунд,пик_дерева_гиб,свободно_на_входе_гиб,мин_свободно_гиб,ждал_памяти_с,код_выхода,снят_по_памяти
f_startup_ni,А,False,2026-09-23T15:03:31+03:00,12.2,0.24,5.95,5.74,0,0,False
f_startup_al,А,False,2026-09-23T15:03:44+03:00,10.2,0.23,5.97,5.68,0,0,False
f_startup_fe,А,False,2026-09-23T15:03:54+03:00,13.2,0.25,5.91,5.74,0,0,False
f_single_ni,А,False,2026-09-23T15:04:07+03:00,19.9,0.41,6.21,5.83,0,0,False
f_single_al,А,False,2026-09-23T15:04:27+03:00,22.9,0.99,6.23,5.17,0,0,False
f_single_fe,А,False,2026-09-23T15:04:50+03:00,21.9,0.70,6.12,5.45,0,0,False
f_tscan_ni,А,False,2026-09-23T15:05:12+03:00,22.4,0.95,6.14,5.38,0,0,False
f_tscan_al,А,False,2026-09-23T15:05:34+03:00,39.2,2.64,6.25,3.46,0,0,False
f_tscan_fe,А,False,2026-09-23T15:06:13+03:00,42.2,2.06,5.99,4.23,0,0,False
f_cscan_ni,А,False,2026-09-23T15:06:56+03:00,28.6,0.98,6.20,5.42,0,0,False
f_cscan_al,А,False,2026-09-23T15:07:24+03:00,40.3,1.70,6.30,4.98,0,0,False
f_cscan_fe,А,False,2026-09-23T15:08:05+03:00,40.8,1.09,6.59,5.55,0,0,False
f_solid_ni_sravn,А,True,2026-09-23T15:08:45+03:00,25.9,0.47,6.54,6.16,0,0,False
f_solid_ni_ravn,А,True,2026-09-23T15:09:11+03:00,23.4,0.44,6.70,6.32,0,0,False
f_solid_ni_scheil,А,True,2026-09-23T15:09:35+03:00,23.9,0.45,6.80,6.37,0,0,False
f_solid_al_sravn,А,True,2026-09-23T15:09:59+03:00,84.5,1.55,6.80,5.30,0,0,False
f_solid_al_ravn,А,True,2026-09-23T15:11:23+03:00,92.4,1.52,6.83,5.30,0,0,False
f_solid_al_scheil,А,True,2026-09-23T15:12:55+03:00,95.0,1.52,6.95,5.37,0,0,False
f_solid_fe_sravn,А,True,2026-09-23T15:14:30+03:00,90.8,1.75,6.88,5.04,0,0,False
f_solid_fe_ravn,А,True,2026-09-23T15:16:01+03:00,80.0,1.73,6.78,5.05,0,0,False
f_solid_fe_scheil,А,True,2026-09-23T15:17:21+03:00,65.6,1.73,6.77,5.07,0,0,False
f_energy_ni,А,False,2026-09-23T15:18:27+03:00,13.7,0.32,6.93,6.61,0,0,False
f_energy_al,А,False,2026-09-23T15:18:40+03:00,13.7,0.41,6.92,6.53,0,0,False
f_energy_fe,А,False,2026-09-23T15:18:54+03:00,17.8,0.35,6.92,6.58,0,0,False
f_driving_ni,А,False,2026-09-23T15:19:12+03:00,17.3,0.43,6.92,6.50,0,0,False
