файл,строка,код,место,роль,текущее,целевое по нормам,сверка,класс
.streamlit/config.toml,4,#0D2768,три места: .streamlit/config.toml,[theme] chartCategoricalColors[0],#0D2768,#0D2768,совпадает,в шкале
.streamlit/config.toml,4,#4587DE,три места: .streamlit/config.toml,[theme] chartCategoricalColors[1],#4587DE,#4587DE,совпадает,в шкале
.streamlit/config.toml,4,#000000,три места: .streamlit/config.toml,[theme] chartCategoricalColors[2],#000000,#000000,совпадает,в шкале
.streamlit/config.toml,4,#D55E00,три места: .streamlit/config.toml,[theme] chartCategoricalColors[3],#D55E00,#D55E00,совпадает,в шкале
.streamlit/config.toml,4,#009E73,три места: .streamlit/config.toml,[theme] chartCategoricalColors[4],#009E73,#009E73,совпадает,в шкале
.streamlit/config.toml,4,#CC79A7,три места: .streamlit/config.toml,[theme] chartCategoricalColors[5],#CC79A7,#CC79A7,совпадает,в шкале
.streamlit/config.toml,4,#0072B2,три места: .streamlit/config.toml,[theme] chartCategoricalColors[6],#0072B2,#0072B2,совпадает,в шкале
.streamlit/config.toml,5,#00224E,три места: .streamlit/config.toml,[theme] chartSequentialColors[0] (cividis),#00224E,#00224E,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#123570,три места: .streamlit/config.toml,[theme] chartSequentialColors[1] (cividis),#123570,#123570,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#3B496C,три места: .streamlit/config.toml,[theme] chartSequentialColors[2] (cividis),#3B496C,#3B496C,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#575D6D,три места: .streamlit/config.toml,[theme] chartSequentialColors[3] (cividis),#575D6D,#575D6D,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#707173,три места: .streamlit/config.toml,[theme] chartSequentialColors[4] (cividis),#707173,#707173,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#8A8678,три места: .streamlit/config.toml,[theme] chartSequentialColors[5] (cividis),#8A8678,#8A8678,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#A59C74,три места: .streamlit/config.toml,[theme] chartSequentialColors[6] (cividis),#A59C74,#A59C74,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#C3B369,три места: .streamlit/config.toml,[theme] chartSequentialColors[7] (cividis),#C3B369,#C3B369,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#E1CC55,три места: .streamlit/config.toml,[theme] chartSequentialColors[8] (cividis),#E1CC55,#E1CC55,совпадает,шкала cividis (G-6)
.streamlit/config.toml,5,#FEE838,три места: .streamlit/config.toml,[theme] chartSequentialColors[9] (cividis),#FEE838,#FEE838,совпадает,шкала cividis (G-6)
.streamlit/config.toml,9,#1F60C1,три места: .streamlit/config.toml,[theme.light] primaryColor,#1F60C1,#1F60C1,совпадает,в шкале
.streamlit/config.toml,10,#FFFFFF,три места: .streamlit/config.toml,[theme.light] backgroundColor,#FFFFFF,#F8F8F9,расходится,в шкале
.streamlit/config.toml,11,#F1EFEA,три места: .streamlit/config.toml,[theme.light] secondaryBackgroundColor,#F1EFEA,#ECEDEF,расходится,тёплая нейтраль
.streamlit/config.toml,12,#2A2722,три места: .streamlit/config.toml,[theme.light] textColor,#2A2722,#232529,расходится,тёплая нейтраль
.streamlit/config.toml,13,#133B8B,три места: .streamlit/config.toml,[theme.light] linkColor,#133B8B,#133B8B,совпадает,в шкале
.streamlit/config.toml,14,#D8D4CC,три места: .streamlit/config.toml,[theme.light] borderColor,#D8D4CC,#CFD1D5,расходится,тёплая нейтраль
.streamlit/config.toml,15,#D8D4CC,три места: .streamlit/config.toml,[theme.light] dataframeBorderColor,#D8D4CC,#CFD1D5,расходится,тёплая нейтраль
.streamlit/config.toml,16,#F1EFEA,три места: .streamlit/config.toml,[theme.light] codeBackgroundColor,#F1EFEA,#ECEDEF,расходится,тёплая нейтраль
.streamlit/config.toml,17,#C93425,три места: .streamlit/config.toml,[theme.light] redColor,#C93425,#C93425,совпадает,в шкале
.streamlit/config.toml,18,#FDF0EE,три места: .streamlit/config.toml,[theme.light] redBackgroundColor,#FDF0EE,#FDF0EE,совпадает,в шкале
.streamlit/config.toml,19,#A62A1E,три места: .streamlit/config.toml,[theme.light] redTextColor,#A62A1E,#A62A1E,совпадает,в шкале
.streamlit/config.toml,20,#5A4500,три места: .streamlit/config.toml,[theme.light] yellowColor,#5A4500,#5A4500,совпадает,в шкале
.streamlit/config.toml,21,#FFF6D6,три места: .streamlit/config.toml,[theme.light] yellowBackgroundColor,#FFF6D6,#FFF6D6,совпадает,в шкале
.streamlit/config.toml,22,#2A2722,три места: .streamlit/config.toml,[theme.light] yellowTextColor,#2A2722,#232529,расходится,тёплая нейтраль
.streamlit/config.toml,23,#146C33,три места: .streamlit/config.toml,[theme.light] greenColor,#146C33,#146C33,совпадает,в шкале
.streamlit/config.toml,24,#EFFAF4,три места: .streamlit/config.toml,[theme.light] greenBackgroundColor,#EFFAF4,#EFFAF4,совпадает,в шкале
.streamlit/config.toml,25,#146C33,три места: .streamlit/config.toml,[theme.light] greenTextColor,#146C33,#146C33,совпадает,в шкале
.streamlit/config.toml,26,#1F60C1,три места: .streamlit/config.toml,[theme.light] blueColor,#1F60C1,#1F60C1,совпадает,в шкале
.streamlit/config.toml,27,#EFF6FA,три места: .streamlit/config.toml,[theme.light] blueBackgroundColor,#EFF6FA,#EFF6FA,совпадает,в шкале
.streamlit/config.toml,28,#133B8B,три места: .streamlit/config.toml,[theme.light] blueTextColor,#133B8B,#133B8B,совпадает,в шкале
.streamlit/config.toml,29,#8A857A,три места: .streamlit/config.toml,[theme.light] grayColor,#8A857A,#79808B,расходится,тёплая нейтраль
.streamlit/config.toml,30,#F1EFEA,три места: .streamlit/config.toml,[theme.light] grayBackgroundColor,#F1EFEA,#ECEDEF,расходится,тёплая нейтраль
.streamlit/config.toml,31,#57534A,три места: .streamlit/config.toml,[theme.light] grayTextColor,#57534A,#4B4F56,расходится,тёплая нейтраль
.streamlit/config.toml,35,#5C97E8,три места: .streamlit/config.toml,[theme.dark] primaryColor,#5C97E8,#5C97E8,совпадает,в шкале
.streamlit/config.toml,36,#1A1816,три места: .streamlit/config.toml,[theme.dark] backgroundColor,#1A1816,#17181B,расходится,тёплая нейтраль
