где,функция,цвета из thermogar_palette (D-1a),"grid / tick_params / spines (D-12, G-1)",cmap (G-6),элементы поверх шкалы (G-8),кегли pt → px при dpi 100 и ступень T-2 (G-7a),"размер, dpi",показ на экране,ряды (G-2…G-4),замечание
app/ThermoGar_app.py:3615,plot_density_temperature,да (chart_roles),style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"9,5×5,5 in, dpi 100","только PNG (figure_to_png, dpi 200); на экране вместо него st.line_chart (ThermoGar_app.py:1905)","1 ряд, primary #1F60C1 ✓ G-3","на экране — Vega st.line_chart: цвет из chartCategoricalColors[0] #0D2768, а не #1F60C1 (G-3); ось X в K, хром и формат чисел Vega — снимок 21-Б"
app/ThermoGar_app.py:3638,plot_phase_fraction_scan,"да (chart_roles, phase_styles)",style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×6,5 in, dpi 100","st.pyplot без width (stretch) :7758, :8115; через plot_solidification_phase_path — width=content :10560",фазы выше порога показа; число не ограничено кодом; цвет+линия+маркер,G-7a не проверяем при stretch
app/ThermoGar_app.py:3862,plot_isolated_phase_energies,да,style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×6,5 in, dpi 100",st.pyplot без width (stretch) :10854,"≤ 8 фаз (max_selections=8, :10725; ValueError :3798); цвет+линия+маркер; линия нуля danger #A62A1E пунктир ✓ G-3",
app/ThermoGar_app.py:4028,plot_driving_force,да,style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×6,5 in, dpi 100",st.pyplot без width (stretch) :11090,1 ряд primary_dark #0D2768 ✗ G-3 (одиночная — #1F60C1); линия нуля danger пунктир ✓,
app/ThermoGar_app.py:4218,plot_tzero,да,style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×6,5 in, dpi 100",st.pyplot без width (stretch) :11373,1 ряд primary_dark #0D2768 ✗ G-3,
app/ThermoGar_app.py:4948,plot_solidification_liquid_comparison,да,style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×6,5 in, dpi 100",st.pyplot(use_container_width=False) :10527 ✓,"≤ 2 ряда (методы): #0D2768 «-» o / #4587DE «--» s, ΔL* 37,9 ✓ G-4","use_container_width устарел в 1.62 (замена width='content') — предупреждение в журнал, не на экран"
app/ThermoGar_app.py:5015,plot_solidification_phase_path,да (через plot_phase_fraction_scan),style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×6,5 in, dpi 100",st.pyplot(use_container_width=False) :10560 ✓,фазы выше порога показа,
app/ThermoGar_app.py:5050,plot_liquid_composition_comparison,да,style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×6,5 in, dpi 100",st.pyplot(use_container_width=False) :10610 ✓,≤ 2 ряда (методы),
app/ThermoGar_app.py:5221,plot_binary_thermogar,да,"style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓; конноды muted #8A857A alpha 0,7 пунктир; инвариантные линии axis",—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×7,0 in, dpi 100",st.pyplot без width (stretch) :8498,"все фазы стратегии; число не ограничено (info при > 7, :8318); различие — цвет + тип линии, маркеров на линиях нет",форматтеры осей f'{…:g}' — точка (А-2)
app/ThermoGar_app.py:5767,plot_isopleth_thermogar,да,style_chart_axes (ThermoGar_app.py:3589): grid(False) — сетки нет; tick_params(colors=axis) ✓; spines=axis ✓; инвариантные линии axis,—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×7,0 in, dpi 100",st.pyplot без width (stretch) :8977,"все фазы стратегии (info при > 7, :8720); цвет + тип линии",форматтеры осей :g — точка
